file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,n2o_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,n2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,h2o_mean,dummy_mean,cell_t_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CH-CHA_201811261457.csv,2018-11-26,15:30,330.6457,1,36000,36000,-0.178418E-01,1,0.292249E-02,-18.9811,1,2.09979,186.752,1,31.5034,-1.97843,1,1.07389,4.18793,1,0.706465,-0.817849E-02,1,0.141717E-02,-0.927865E-04,2,0.949259E-04,-9999,-9999,-9999,-9999,-9999,-9999,0.493133E-09,0.926854E-11,0.234047E-11,0.369202E-12,17.9241,439.305,442.963,10.0000,0,336.887,8.25684,8.32559,-0.350000,0,0.850701E-01,2.08500,2.10236,8.50000,0,0.134195E-01,0.328902,0.331640,9.55000,0,284.652,283.908,96559.5,1.18120,1009.80,0.245092E-01,0.271378,0.607071E-02,795.400,1287.69,0.513944E-02,61.7698,492.285,276.837,-0.685725,0.717842E-01,-0.537736E-02,0.689493,-0.270507E-13,0.275123E-13,0.689493,1.73000,14.1378,174.024,-0.446855,-9999,0.122901,0.742883E-01,8.31733,0.241664,-0.101638,0.129480,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.175730E-01,1.01529,-9.99952,1.02987,142.763,1.30325,-2.15543,1.30325,3.20147,1.30325,-0.616570E-02,1.32645,-0.699511E-04,1.32645,800000000,800010000,800000000,800000011,800000010,800010010,811110111,811110111,81000,81000,80,81,11,3,2,11,0,0,0,0,0.709670E-01,0.601740E-01,0.174355E-01,0.230781E-01,0.127109E-01,4317.57,0.115717E-04,0.978278E-07,-0.838338E-02,-0.215543E-02,3.20147,-0.152372E-03,-0.172869E-05,16.0000,0.00000,248.405,52.5328,6.32785,96038.7,1.24969,21.9589,96.5146,0.499165,13.2914,0.687529E+09,294.079
CH-CHA_201811261457.csv,2018-11-26,16:00,330.6665,1,36000,36000,-0.384880E-02,0,0.125490E-02,-1.77529,1,1.79083,3.75810,1,1.87847,0.656396,0,0.457492,0.842737E-01,1,0.421239E-01,0.239512E-02,0,0.107732E-02,0.116279E-03,0,0.456182E-04,-0.389729E-01,7.37808,-0.198970E-01,0.165450,-0.185694E-04,-0.738551E-04,-0.589074E-13,-0.151322E-14,-0.279768E-15,-0.439588E-16,17.8937,438.942,443.948,-0.150000,0,459.656,11.2756,11.4042,-0.200000,0,0.849823E-01,2.08466,2.10844,1.40000,0,0.133529E-01,0.327554,0.331290,1.30000,0,284.900,283.884,96559.5,1.17996,1011.46,0.245305E-01,0.546094E-02,0.828301E-02,1085.16,1285.45,0.701971E-02,84.4188,200.289,281.327,-0.423458,0.526166E-01,0.103617E-01,0.426840,-0.114505E-13,-0.329207E-17,0.426840,1.37775,18.2605,172.917,1.39101,-9999,0.571121E-01,0.737220E-01,8.92834,0.225126,-0.472391,0.260449E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.377694E-02,1.01903,-1.55200,1.03604,2.81370,1.35881,0.524936,1.35881,0.630958E-01,1.35881,0.173131E-02,1.38341,0.840519E-04,1.38341,800000000,800010000,800000000,800000011,800000000,800000000,811110111,811110111,80011,80011,80,80,2,0,1,8,12,1,0,0,0.513561E-01,0.856962E-01,0.103917E-01,0.568732E-01,0.607376E-02,52.9182,0.193187E-04,0.776345E-07,-0.130038E-02,0.524936E-03,0.630958E-01,0.429527E-04,0.208527E-05,16.0000,0.00000,248.000,50.0000,6.45518,96093.4,1.25275,21.9589,96.5145,0.499054,13.2919,0.690931E+09,294.100
CH-CHA_201811261457.csv,2018-11-26,16:30,330.6873,1,36000,36000,-0.150544E-01,1,0.269384E-02,-6.02252,1,3.29470,4.49596,1,0.646646,2.48348,1,0.496331,0.100935,1,0.145173E-01,0.183970E-02,1,0.534714E-03,0.336501E-03,1,0.846422E-04,1.89863,0.133230,0.239800,0.299105E-02,-0.194389E-03,0.653450E-05,0.484548E-10,0.123837E-11,0.227456E-12,0.358134E-13,17.9969,443.336,448.417,0.150000,0,459.949,11.3304,11.4603,0.150000,0,0.844806E-01,2.08110,2.10495,5.70000,0,0.133017E-01,0.327674,0.331429,2.45000,0,286.102,285.077,96559.5,1.17500,1011.52,0.246341E-01,0.654059E-02,0.828829E-02,1090.42,1391.22,0.705385E-02,78.3783,300.806,281.398,-0.835150,-0.287657E-01,0.550664E-01,0.837457,-0.420593E-15,0.269240E-14,0.837457,2.14681,5.79432,181.973,3.77016,-9999,0.113191,0.936033E-01,20.4894,0.980997E-01,-1.33954,0.447666E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.148514E-01,1.01367,-5.65954,1.02696,3.77265,1.27480,2.16410,1.27480,0.846966E-01,1.27480,0.141816E-02,1.29724,0.259397E-03,1.29724,800000000,800010000,800000000,800000011,800000000,800011001,800110111,811110111,80000,80000,80,80,2,0,1,0,9,1,0,0,0.106494,0.648223E-01,0.158905E-01,0.141519,0.604016E-02,5.68299,0.421554E-05,0.140934E-06,-0.476179E-02,0.216410E-02,0.846966E-01,0.353340E-04,0.646300E-05,16.0000,0.00000,248.000,50.0000,6.25758,96102.1,1.25053,21.9850,96.5112,0.505629,13.2912,0.686310E+09,294.121
CH-CHA_201811261457.csv,2018-11-26,17:00,330.7082,1,36000,36000,-0.887768E-02,0,0.194221E-02,-1.36537,0,1.49426,2.92048,0,0.409590,3.00299,0,0.473601,0.656158E-01,0,0.920247E-02,-0.115742E-02,0,0.987755E-03,0.259623E-03,0,0.606774E-04,1.27586,0.135373,0.150374,0.304149E-02,-0.342458E-04,-0.601088E-05,0.566457E-10,0.144583E-11,0.264178E-12,0.415941E-13,18.0578,446.099,451.237,0.200000,0,460.910,11.3863,11.5175,0.100000,0,0.842160E-01,2.08047,2.10443,2.45000,0,0.132596E-01,0.327564,0.331336,1.95000,0,286.914,285.881,96559.5,1.17167,1011.56,0.247040E-01,0.425190E-02,0.830560E-02,1095.78,1466.75,0.708866E-02,74.7080,370.970,281.470,-0.677617,0.194132,0.226571E-01,0.705241,-0.193277E-13,0.313691E-14,0.705241,1.98091,26.1752,164.013,1.84104,-9999,0.870455E-01,0.109675,41.1026,0.489020E-01,-0.467516,0.132344E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.876832E-02,1.01247,-1.19449,1.02303,2.41059,1.23206,2.47275,1.23206,0.541600E-01,1.23206,-0.925578E-03,1.25049,0.207617E-03,1.25049,800000000,800010000,800000000,800000011,800000000,800001000,811110111,811110111,80000,80011,80,81,2,10,1,4,36,17,0,0,0.105029,0.941728E-01,0.201475E-01,0.305886E-01,0.464139E-02,1.95847,0.114747E-04,0.851026E-07,-0.100782E-02,0.247275E-02,0.541600E-01,-0.231279E-04,0.518784E-05,16.0000,0.00000,248.000,50.0000,6.04613,96123.1,1.24850,21.9811,96.5131,0.505978,13.2908,0.682126E+09,294.123
CH-CHA_201811261457.csv,2018-11-26,17:30,330.7290,0,36000,36000,-0.366255E-02,0,0.121686E-02,0.454788,1,0.712989,2.79939,0,3.71988,1.86175,0,0.558130,0.629321E-01,0,0.836253E-01,-0.532442E-02,0,0.347027E-02,0.682173E-04,0,0.316799E-04,0.964059,-0.537896,0.237725,-0.120923E-01,0.104351E-02,0.131305E-04,-0.346696E-11,-0.859179E-13,-0.161596E-13,-0.252286E-14,18.1975,450.476,455.562,-0.450000,0,450.969,11.1637,11.2897,10.0000,0,0.848191E-01,2.09969,2.12339,6.55000,0,0.132421E-01,0.327805,0.331506,2.95000,0,287.505,286.490,96559.5,1.16928,1011.45,0.247548E-01,0.407800E-02,0.812645E-02,1074.42,1526.33,0.694996E-02,70.3928,451.902,281.180,-0.211895,0.118429,0.451833E-02,0.242786,-0.150441E-13,-0.190519E-15,0.242786,1.07791,30.8361,150.799,1.06635,-9999,0.559671E-01,0.345343E-01,-32.7987,-0.612830E-01,0.162460,-0.687089E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.355107E-02,1.03139,0.581496,1.03182,2.30814,1.18767,1.52321,1.18767,0.518885E-01,1.18767,-0.444031E-02,1.19911,0.568900E-04,1.19911,800000000,800010000,800000000,800000011,800010000,800110010,811110111,811110111,80111,80111,80,81,8,6,0,23,17,0,0,0,0.411424E-01,0.212784E-01,0.664783E-02,0.121173E-01,0.997638E-02,175.787,0.218449E-03,0.636082E-07,0.491680E-03,0.152321E-02,0.518885E-01,-0.111156E-03,0.142415E-05,16.0000,0.00000,248.000,50.0000,6.28408,96177.9,1.25149,22.0000,96.5063,0.506292,13.2909,0.683343E+09,294.129
CH-CHA_201811261457.csv,2018-11-26,18:00,330.7498,0,36000,36000,-0.185396E-02,0,0.679070E-03,0.465797,2,2.99519,-16.3064,2,24.3383,4.32948,1,2.06019,-0.366735,2,0.547373,-0.215595E-02,2,0.325312E-02,0.235853E-03,0,0.652533E-04,0.700070,-15.7847,0.716632,-0.355001,0.384106E-02,0.158194E-03,0.258262E-10,0.257923E-12,0.120890E-12,0.184210E-13,18.7401,463.665,465.822,0.400000,0,187.155,4.63056,4.65210,-1.00000,0,0.877206E-01,2.17037,2.18047,2.85000,0,0.133667E-01,0.330717,0.332255,1.90000,0,287.354,286.933,96559.5,1.17034,1007.89,0.247419E-01,-0.237645E-01,0.337253E-02,446.587,1571.33,0.288165E-02,28.4210,1124.74,268.910,-0.133316,-0.293730,0.469694E-02,0.322603,0.308354E-13,0.137813E-14,0.322603,1.19147,304.317,245.588,0.834229,-9999,0.398010E-01,0.442967E-01,-11.5050,-0.174707,-0.285652E-01,-0.992148E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.182139E-02,1.01788,-0.300171,1.03044,-12.5584,1.29336,3.45883,1.29336,-0.282440,1.29336,-0.164142E-02,1.31347,0.179565E-03,1.31347,800000000,800000000,800000000,800000111,800000000,800110000,811110111,811110111,80111,80111,80,81,7,5,5,15,10,0,0,0,0.246540E-01,0.587644E-01,0.517510E-02,0.451175,0.295960,18086.3,0.869192E-03,0.214592E-06,-0.254473E-03,0.345883E-02,-0.282440,-0.408005E-04,0.446342E-05,16.0000,0.00000,251.658,72.8609,6.44402,96202.0,1.25109,21.9961,96.5079,0.506487,13.2922,0.693431E+09,294.141
CH-CHA_201811261457.csv,2018-11-26,18:30,330.7707,0,36000,36000,-0.453582E-02,0,0.892965E-03,9.06132,1,6.98090,-9999,-9999,-9999,2.16530,2,3.03452,-9999,-9999,-9999,-0.151984E-02,2,0.226601E-02,0.221852E-03,0,0.485723E-04,-3.17978,-9999,0.149890E-01,-9999,-0.342039E-02,0.272827E-04,0.634533E-10,-9999,0.288308E-12,0.453006E-13,18.9105,463.938,463.938,0.650000,0,-9999,-9999,-9999,-9999,0,0.859223E-01,2.10796,2.10796,4.40000,0,0.135006E-01,0.331215,0.331215,1.50000,0,284.932,284.932,96559.5,1.18062,1005.36,0.245333E-01,-9999,-9999,-9999,1378.33,-9999,-9999,-9999,-9999,0.296734,-0.613546,0.511611E-02,0.681554,0.383262E-13,0.335545E-14,0.681554,1.49910,251.471,295.810,0.430097,-9999,0.619829E-01,0.817318E-01,-2.23201,-0.900535,-9999,-0.123164,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.446587E-02,1.01566,8.86940,1.02164,-9999,-9999,1.41435,1.17272,-9999,-9999,-0.128249E-02,1.18507,0.187206E-03,1.18507,800000000,800000100,800000000,800000111,800000100,800000100,811110111,811110111,80111,81111,80,81,1,8,2,4,17,2,0,0,0.608952E-01,0.938056E-01,0.876273E-02,1.36250,0.817346,-9999,0.122963E-03,0.102487E-06,0.747240E-02,0.141435E-02,-9999,-0.314638E-04,0.459278E-05,16.0000,0.00000,255.000,93.7500,6.28224,96224.5,1.24735,21.9350,96.5293,0.504933,13.2927,0.696618E+09,294.127
CH-CHA_201811261457.csv,2018-11-26,19:00,330.7915,0,35993,35993,-0.352930E-02,2,0.158893E-02,-8.75738,1,4.55054,92.3534,1,24.1469,-21.4696,1,5.62283,2.06598,1,0.540176,-0.323975E-01,1,0.106561E-01,-0.202853E-03,1,0.648488E-04,-5.75761,-9999,-0.639165,-9999,0.137070E-03,-0.632300E-04,0.113637E-09,0.783230E-12,0.530103E-12,0.829088E-13,18.6566,452.410,453.825,10.0000,0,128.588,3.11817,3.12793,10.0000,0,0.870303E-01,2.11043,2.11703,9.30000,0,0.136117E-01,0.330074,0.331107,9.85000,0,281.634,281.356,96559.5,1.19422,1006.96,0.242494E-01,0.133875,0.231715E-02,300.872,1084.70,0.194030E-02,27.7378,783.829,263.776,-0.359661,-0.694368,0.186842E-01,0.782210,0.632844E-13,0.609102E-14,0.782210,2.55364,306.375,242.617,1.36872,-9999,0.543628E-01,0.188390,1.55877,1.28948,-0.948247E-01,0.133960,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.340498E-02,1.03651,-5.09323,1.07420,52.5568,1.75457,-12.4935,1.75457,1.17572,1.75457,-0.178977E-01,1.81015,-0.112064E-03,1.81015,800000000,800010000,800000000,800000111,800000000,800101010,811110111,811110111,81111,81111,80,81,3,0,0,7,28,0,0,0,0.319404,0.476864E-01,0.968942E-02,0.633147,1.42200,13058.8,0.314206E-02,0.162538E-06,-0.423541E-02,-0.124935E-01,1.17572,-0.435364E-03,-0.272599E-05,16.0000,0.00000,254.680,91.7527,6.16884,96281.9,1.24727,21.9472,96.5258,0.505989,13.2923,0.693857E+09,294.099
CH-CHA_201811261900.csv,2018-11-26,19:30,330.8123,0,36000,36000,-0.888415E-02,0,0.150432E-02,-2.52016,1,0.614234,23.4990,1,9.24568,-2.36655,1,1.43161,0.525142,1,0.206617,-0.291173E-02,2,0.137018E-02,-0.712191E-04,2,0.906072E-04,-1.73631,-3.26982,-1.53823,-0.730722E-01,-0.261067E-02,0.257007E-04,0.269786E-10,0.114687E-12,0.131059E-12,0.209928E-13,17.5917,424.782,425.551,10.0000,0,74.7833,1.80577,1.80904,0.450000,0,0.854585E-01,2.06354,2.06727,9.85000,0,0.136886E-01,0.330536,0.331134,10.0000,0,280.442,280.281,96559.5,1.19939,1006.24,0.241467E-01,0.340292E-01,0.134759E-02,174.311,1008.02,0.112356E-02,17.2925,833.705,257.036,-0.511856,-0.971903,0.247064E-01,1.09873,-0.859521E-13,0.153359E-14,1.09873,2.24664,303.803,242.226,1.28848,-9999,0.860651E-01,0.844494E-01,21.4884,0.935386E-01,-0.107245,0.242627E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.878053E-02,1.01180,-1.36629,1.02366,18.9179,1.24123,-1.98067,1.24123,0.422767,1.24123,-0.230496E-02,1.26324,-0.563780E-04,1.26324,800000000,800010000,800000000,800000011,800000000,800010000,800110111,811110111,81011,81011,80,81,6,0,4,2,13,0,0,0,0.103388,0.528380E-01,0.126728E-01,0.121080E-01,0.947241E-01,1943.54,0.501789E-04,0.270025E-06,-0.113209E-02,-0.198067E-02,0.422767,-0.557579E-04,-0.136380E-05,16.0000,0.00000,255.000,93.7500,5.52403,96310.4,1.23971,21.9928,96.5084,0.505683,13.2895,0.673365E+09,294.073
