file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--
not_enough_data,2015-05-18,11:30,138.479,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
CH-CHA_201505181105.csv,2015-05-18,12:00,138.4999,1,36000,36000,-0.430079E-01,1,0.891818E-02,96.2030,0,6.05522,146.579,0,11.8649,3.34796,0,0.271002,-0.270007E-02,1,0.377279E-02,0.833583E-04,0,0.373369E-04,-9999,-9999,-9999,-9999,-9999,-0.438974E-11,-0.708958E-12,-0.112086E-12,478.096,12.5189,12.6776,2.05000,0,0.772142E-01,2.02184,2.04748,0.900000,0,0.122075E-01,0.319652,0.323704,3.00000,0,304.113,302.909,96559.5,1.10534,1012.61,0.261849E-01,0.216948,0.861528E-02,1204.33,4171.87,0.779427E-02,28.8679,2967.54,282.870,-1.20329,-0.462522,0.650119E-01,1.29076,-0.153904E-12,-0.918171E-14,1.29076,4.50859,351.569,201.026,2.88704,-9999,0.197255,0.821814,-6.79261,-0.295910,0.656323,-0.435738,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.425141E-01,1.01161,102.776,1.01990,124.400,1.17829,2.84138,1.17829,-0.229152E-02,1.17829,0.707454E-04,1.17829,800009000,800009000,800009000,800009011,800009000,800009010,800009011,800109011,80100,80100,80,81,2,16,1,14,0,0,0,1.13656,0.432253,0.748191E-01,0.508339,0.453044,0.905312E-04,0.138591E-06,0.918241E-01,0.753410E-01,-0.607610E-04,0.187586E-05,22.0000,96.5078,0.507833,296.238,4242.35
CH-CHA_201505181105.csv,2015-05-18,12:30,138.5207,1,36000,36000,-0.136657,1,0.244696E-01,123.507,1,10.6131,258.024,1,26.4984,5.89432,1,0.605332,-0.329312E-02,2,0.411719E-02,-0.307868E-03,1,0.134290E-03,0.226799,0.814218,0.186001E-01,-0.126452E-02,-0.351090E-04,-0.389718E-11,-0.600662E-12,-0.960741E-13,493.661,12.9346,13.1041,2.15000,0,0.760867E-01,1.99358,2.01970,0.500000E-01,0,0.121698E-01,0.318867,0.323046,1.45000,0,304.306,303.061,96559.5,1.10461,1012.84,0.262014E-01,0.381952,0.889578E-02,1244.16,4208.24,0.805330E-02,29.5650,2964.08,283.355,-0.617575,-0.915398E-01,0.741289E-01,0.628707,-0.209259E-13,-0.789444E-14,0.628707,4.31690,2.02123,188.431,6.77131,-9999,0.351732,1.01379,-29.9999,-0.670002E-01,0.478665,-0.313855,0,35.7327,-5.42258,12.2659,30.5438,46.5812,65.3309,97.8775,-0.134449,1.01642,135.600,1.02209,219.528,1.17536,5.01493,1.17536,-0.280180E-02,1.17536,-0.261936E-03,1.17536,800009000,800009000,800009000,800009000,800009000,800009010,800009011,800009011,80111,80111,80,81,7,3,4,4,0,0,0,1.51860,0.422496,0.864932E-01,0.629592,0.865354,0.516177E-04,0.164442E-06,0.121201,0.133113,-0.743695E-04,-0.695267E-05,22.0000,96.5068,0.506833,296.294,4265.64
CH-CHA_201505181105.csv,2015-05-18,13:00,138.5415,1,36000,36000,-0.530697E-01,1,0.177772E-01,101.825,0,7.84364,212.118,0,20.6303,4.84780,0,0.471488,0.102099E-01,1,0.550819E-02,0.490057E-03,1,0.163742E-03,0.679667,0.271372,0.620200E-02,-0.742594E-03,-0.350727E-04,-0.133013E-10,-0.201140E-11,-0.323624E-12,498.191,13.0735,13.2466,1.90000,0,0.753360E-01,1.97696,2.00314,2.80000,0,0.121212E-01,0.318082,0.322295,0.200000,0,304.775,303.515,96559.5,1.10290,1012.93,0.262419E-01,0.314138,0.897741E-02,1257.46,4319.26,0.813981E-02,29.1129,3061.80,283.515,-0.517754,-0.688764,0.557032E-01,0.863463,-0.731870E-13,-0.266991E-13,0.863463,4.64316,304.348,233.067,3.69880,-9999,0.219359,1.10107,-8.82680,-0.227716,0.480039,-0.415512,0,23.8610,-3.62100,8.19072,20.3960,31.1053,43.6256,65.3590,-0.523489E-01,1.01377,111.939,1.02061,180.528,1.17499,4.12584,1.17499,0.868934E-02,1.17499,0.417075E-03,1.17499,800009000,800009000,800009000,800009011,800009000,800009000,800009011,800009011,80100,80100,80,81,8,3,2,22,0,0,0,1.32158,0.788236,0.923236E-01,0.504947,0.674808,0.921760E-04,0.202829E-06,0.100200,0.109698,0.231033E-03,0.110892E-04,22.0000,96.5068,0.506792,296.354,4294.57
CH-CHA_201505181105.csv,2015-05-18,13:30,138.5624,1,36000,36000,-0.235987,1,0.303652E-01,143.294,1,18.8169,267.701,1,40.5203,6.11891,1,0.926182,-0.371663E-01,2,0.103035E-01,-0.140654E-02,1,0.300039E-03,0.202711,0.580881,0.132773E-01,-0.965708E-03,-0.421507E-04,-0.149574E-10,-0.218734E-11,-0.354768E-12,509.249,13.3709,13.5521,2.30000,0,0.744714E-01,1.95533,1.98182,0.950000,0,0.120787E-01,0.317138,0.321436,4.50000,0,304.940,303.651,96559.5,1.10229,1013.10,0.262560E-01,0.396506,0.917666E-02,1285.95,4352.82,0.832512E-02,29.5428,3066.88,283.851,0.105267,0.146130,0.725515E-01,0.194162,0.236625E-12,-0.293715E-13,0.194162,3.49229,116.285,54.2324,21.9418,-9999,0.462697,0.565432,-58.8682,-0.341441E-01,0.535274,-0.277321,0,36.6329,-5.55918,12.5749,31.3133,47.7547,66.9766,100.343,-0.227560,1.03703,153.567,1.03560,224.164,1.19422,5.12376,1.19422,-0.311218E-01,1.19422,-0.117779E-02,1.19422,800009000,800009000,800009000,800009011,800009010,800009010,800009011,800109011,80111,80111,81,81,10,2,4,15,1,0,0,0.487323,0.502891,0.140650,0.624753,0.787816,0.692876E-04,0.175793E-06,0.137516,0.136345,-0.828164E-03,-0.313415E-04,22.0000,96.5076,0.507611,296.419,4352.49
CH-CHA_201505181105.csv,2015-05-18,14:00,138.5832,1,36000,36000,-0.446923E-01,0,0.946022E-02,102.710,0,8.26791,217.687,0,20.4286,4.97952,0,0.467297,0.278637E-02,0,0.337431E-02,0.206278E-03,1,0.112916E-03,1.16592,0.348264,0.796643E-02,-0.251857E-03,-0.343497E-04,0.619734E-11,0.891732E-12,0.144698E-12,514.708,13.5498,13.7359,2.25000,0,0.740611E-01,1.94967,1.97645,0.500000E-01,0,0.120177E-01,0.316366,0.320712,4.40000,0,305.742,304.433,96559.5,1.09938,1013.22,0.263251E-01,0.322673,0.927504E-02,1303.08,4551.12,0.843660E-02,28.6320,3248.05,284.049,-1.07486,-0.484275,0.803633E-01,1.18165,0.277712E-12,0.120405E-13,1.18165,4.13943,341.471,204.254,3.89965,-9999,0.201624,0.692411,-6.79600,-0.295762,0.471824,-0.457317,0,23.4967,-3.56572,8.06567,20.0846,30.6304,42.9595,64.3612,-0.441632E-01,1.01198,113.233,1.01993,184.930,1.17713,4.23022,1.17713,0.236709E-02,1.17713,0.175238E-03,1.17713,800009000,800009000,800009000,800009011,800009010,800009010,800009011,800009011,80100,80100,80,81,0,20,1,13,1,0,0,0.800389,0.503376,0.810571E-01,0.468774,0.771964,0.703972E-04,0.198592E-06,0.101653,0.112885,0.631664E-04,0.467626E-05,22.0000,96.5078,0.507847,296.489,4356.67
CH-CHA_201505181105.csv,2015-05-18,14:30,138.6040,1,36000,36000,-0.301077E-01,0,0.535990E-02,81.7598,0,6.53764,189.078,0,16.2771,4.32611,0,0.372421,-0.129017E-02,0,0.107586E-02,-0.128187E-03,1,0.105818E-03,0.358825,0.605748,0.138596E-01,-0.404698E-03,-0.409364E-04,-0.682374E-11,-0.955320E-12,-0.155290E-12,526.074,13.8613,14.0561,2.45000,0,0.736501E-01,1.94057,1.96785,1.05000,0,0.119721E-01,0.315446,0.319880,2.20000,0,306.014,304.673,96559.5,1.09838,1013.40,0.263486E-01,0.280332,0.947985E-02,1332.91,4613.70,0.863072E-02,28.8902,3280.79,284.390,-0.887889,-0.709422E-01,0.796225E-01,0.894271,0.255597E-13,-0.129711E-13,0.894271,3.57204,355.156,184.568,5.10817,-9999,0.165562,0.603034,-4.72728,-0.425192,0.432414,-0.443652,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.297058E-01,1.01353,91.0107,1.02050,160.905,1.17509,3.68152,1.17509,-0.109793E-02,1.17509,-0.109087E-03,1.17509,800009000,800009000,800009000,800009011,800009000,800019000,800009011,800009011,80000,80000,80,81,3,0,0,39,0,0,0,0.343244,0.808626,0.541988E-01,0.398780,0.674140,0.807552E-05,0.192304E-06,0.817630E-01,0.983604E-01,-0.293338E-04,-0.291452E-05,22.0000,96.5072,0.507250,296.565,4369.56
CH-CHA_201505181400.csv,2015-05-18,15:00,138.6249,1,36000,36000,-0.196496,1,0.297107E-01,94.4647,1,12.8291,245.695,1,36.0428,5.62296,1,0.824873,-0.665991E-02,1,0.336107E-02,0.187772E-02,1,0.346044E-03,0.388558,1.00302,0.229550E-01,0.106273E-03,-0.439770E-04,0.442261E-11,0.597656E-12,0.967269E-13,545.120,14.3778,14.5875,2.15000,0,0.736657E-01,1.94296,1.97131,0.900000,0,0.119223E-01,0.314457,0.319044,2.70000,0,306.326,304.934,96559.5,1.09723,1013.69,0.263754E-01,0.364368,0.982307E-02,1382.34,4682.31,0.895258E-02,29.5227,3299.97,284.941,0.911116E-01,0.226537,0.754953E-01,0.255578,0.409275E-13,0.811308E-14,0.255578,2.84803,121.632,68.0903,17.1810,-9999,0.423182,0.547269,-68.3312,-0.294155E-01,0.384479,-0.200695,0,37.8625,-5.74578,12.9970,32.3643,49.3576,69.2248,103.711,-0.190729,1.03024,105.618,1.03105,206.944,1.18726,4.73609,1.18726,-0.560950E-02,1.18726,0.158156E-02,1.18726,800009000,800009000,800009000,800009011,800009000,800019000,800009011,800009011,80111,80111,81,81,7,5,1,9,0,0,0,0.584746,0.401460,0.108332,0.556963,0.895177,0.131377E-04,0.240547E-06,0.949583E-01,0.126731,-0.150102E-03,0.423202E-04,22.0000,96.5077,0.507653,296.633,4332.83
CH-CHA_201505181400.csv,2015-05-18,15:30,138.6457,1,36000,36000,-0.956620E-01,1,0.153261E-01,45.3812,1,4.90240,61.9255,1,13.9752,1.41768,1,0.319938,-0.697635E-03,2,0.215376E-02,0.898797E-03,1,0.232810E-03,0.493134,0.150726,0.345061E-02,-0.865231E-05,-0.550152E-04,0.157869E-12,0.212170E-13,0.342065E-14,547.459,14.4555,14.6675,2.35000,0,0.735765E-01,1.94277,1.97126,5.00000,0,0.118622E-01,0.313218,0.317812,0.400000,0,306.667,305.266,96559.5,1.09601,1013.75,0.264047E-01,0.918657E-01,0.986521E-02,1389.78,4770.89,0.900102E-02,29.1304,3381.11,285.022,-0.398652,-0.270232,0.744140E-01,0.487326,-0.214509E-12,0.288366E-15,0.487326,3.38622,327.846,214.132,8.78335,-9999,0.295435,0.613945,-48.3981,-0.415305E-01,0.732836,-0.138252,0,37.1817,-5.64246,12.7633,31.7823,48.4701,67.9799,101.846,-0.938532E-01,1.01927,47.9849,1.02386,52.6059,1.17716,1.20432,1.17716,-0.592643E-03,1.17716,0.763531E-03,1.17716,800009000,800009000,800009000,800009011,800009000,800019010,800009011,801009011,80111,80111,80,81,0,2,3,38,2,0,0,0.773873,0.398768,0.552494E-01,0.342253,0.842250,0.162637E-04,0.342668E-06,0.431879E-01,0.322642E-01,-0.158771E-04,0.204552E-04,22.0000,96.5075,0.507542,296.706,4266.30
