file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,cell_t_mean,int_p_mean,status_word_qcl_mean,vici_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--
not_enough_data,2016-09-02,18:00,246.749,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
CH-CHA_201609021739.csv,2016-09-02,18:30,246.7707,1,36000,36000,0.121178E-02,1,0.803696E-03,3.33636,1,0.870083,-4.40643,1,3.06673,-0.100252,1,0.697722E-01,0.608065E-03,1,0.402312E-03,-0.175668E-03,1,0.118864E-03,-9999,-9999,-9999,-9999,-9999,0.101908E-11,0.994707E-13,0.167193E-13,762.564,19.7474,20.1452,0.500000E-01,0,0.744323E-01,1.92750,1.96633,0.350000,0,0.125108E-01,0.323980,0.330506,0.500000E-01,0,300.759,298.884,96559.5,1.11720,1016.49,0.258960E-01,-0.649634E-02,0.137414E-01,1895.34,3296.97,0.122998E-01,57.4875,1401.63,289.814,0.347943E-01,0.272904,0.676889E-02,0.275197,0.607453E-13,0.133639E-14,0.275197,0.787972,101.767,82.7342,1.40942,-9999,0.329341E-01,0.351683E-01,-0.912641,-2.20240,-0.757157,-0.892052E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.117803E-02,1.02865,3.02059,1.02999,-3.71638,1.18568,-0.845527E-01,1.18568,0.512842E-03,1.18568,-0.148159E-03,1.18568,800009000,800109000,800009000,800009000,800009000,800109000,811119011,811119111,80010,80010,80,81,1,0,0,2,0,0,0,0.367818E-01,0.315415E-01,0.201323E-02,0.781569E-01,0.343805,0.150281E-04,0.121093E-05,0.265984E-02,-0.223342E-02,0.135465E-04,-0.391354E-05,34.0000,96.5043,0.504306,0.00000,0.00000,883771.,956905.
CH-CHA_201609021739.csv,2016-09-02,19:00,246.7915,1,36000,36000,-0.326369E-02,1,0.653255E-03,-1.71524,1,1.32354,9.40363,1,2.68811,0.213825,1,0.611236E-01,-0.430012E-03,2,0.165872E-02,0.112656E-02,1,0.217423E-03,-0.886352,-0.496326E-01,-0.112857E-02,0.129822E-05,0.395287E-04,-0.263298E-11,-0.257328E-12,-0.433681E-13,763.095,19.7225,20.1193,4.70000,0,0.745792E-01,1.92753,1.96631,2.70000,0,0.125690E-01,0.324851,0.331387,4.85000,0,300.171,298.302,96559.5,1.11939,1016.46,0.258454E-01,0.138558E-01,0.137510E-01,1892.97,3185.00,0.122843E-01,59.4340,1292.03,289.794,0.633283E-01,0.267646,0.143701E-01,0.275411,-0.329402E-13,-0.345040E-14,0.275411,0.750733,112.036,76.6880,2.99088,-9999,0.539961E-01,0.315243E-01,7.82329,0.256925,-0.182402,0.279182E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.319767E-02,1.02065,-1.21858,1.03625,6.96810,1.34953,0.158444,1.34953,-0.318640E-03,1.34953,0.834782E-03,1.34953,800009000,800109000,800009000,800009011,800109010,800109010,811119111,811119111,80000,80000,80,81,0,0,4,0,0,0,0,0.283282E-01,0.332320E-01,0.148839E-02,0.988728E-01,0.240514,0.441705E-03,0.310387E-05,-0.107098E-02,0.417695E-02,-0.840005E-05,0.220067E-04,33.9760,96.5079,0.502238,0.00000,0.00000,884243.,956905.
CH-CHA_201609021739.csv,2016-09-02,19:30,246.8123,0,36000,36000,-0.121084E-01,1,0.256264E-02,-5.02467,1,1.97465,-7.15681,2,2.87561,-0.162564,2,0.653184E-01,0.168408E-02,2,0.244632E-02,0.838811E-03,1,0.283704E-03,-1.65575,-2.51666,-0.571651E-01,0.106690E-01,0.574694E-04,0.803246E-11,0.940300E-12,0.141846E-12,717.413,18.4672,18.8146,4.55000,0,0.839822E-01,2.16182,2.20249,0.500000E-01,0,0.126688E-01,0.326113,0.332249,3.50000,0,298.962,297.219,96559.5,1.12400,1015.74,0.257414E-01,-0.105342E-01,0.129278E-01,1773.20,2985.60,0.115016E-01,59.3917,1212.40,288.770,-0.319670,0.136478E-01,0.217569E-01,0.320700,-0.137282E-12,0.111964E-13,0.320700,2.34783,71.8054,177.555,3.89006,-9999,0.103791,0.257621,18.9623,0.106000,0.702083,0.424034E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.118959E-01,1.01787,-5.25880,1.03030,-5.53784,1.29235,-0.125790,1.29235,0.130312E-02,1.29235,0.649061E-03,1.29235,800009000,800109000,800009000,800009000,800009000,800019100,811119011,811119111,80100,80100,80,81,0,0,2,0,0,0,0,0.402808,0.110316,0.211846E-02,0.270822,0.246178,0.271565E-02,0.535200E-05,-0.460617E-02,-0.329858E-02,0.341715E-04,0.170203E-04,34.0000,96.5008,0.500833,0.00000,0.00000,884536.,956905.
CH-CHA_201609021739.csv,2016-09-02,20:00,246.8332,0,36000,36000,0.633977E-03,1,0.302890E-03,-1.36466,2,0.549031,-1.60189,2,0.960325,-0.363674E-01,2,0.218021E-01,-0.979304E-02,1,0.195978E-02,0.198045E-02,1,0.345154E-03,-0.821475,-0.107986,-0.245159E-02,-0.358026E-02,0.199005E-03,-0.242683E-12,-0.274577E-13,-0.435556E-14,716.631,18.4134,18.7589,5.00000,0,0.810812E-01,2.08334,2.12242,0.500000E-01,0,0.128617E-01,0.330475,0.336675,1.50000,0,298.418,296.682,96559.5,1.12605,1015.69,0.256945E-01,-0.235661E-02,0.129137E-01,1768.07,2890.83,0.114681E-01,61.1613,1122.76,288.725,0.100216,0.965155E-01,0.923333E-03,0.139138,-0.347288E-13,-0.338644E-15,0.139138,0.544243,157.173,43.9224,0.380224,-9999,0.237278E-01,0.298931E-01,0.834173,2.40957,0.851908,0.502859E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.584753E-03,1.08418,-1.21581,1.16603,-0.606485,2.64127,-0.137689E-01,2.64127,-0.370770E-02,2.64127,0.749809E-03,2.64127,800009000,800109000,800009000,800009011,800009000,800109001,811119111,811119111,80000,80000,80,81,0,0,4,1,1,0,0,0.190242E-01,0.398827E-01,0.879307E-03,0.522381E-01,0.688736E-01,0.679825E-03,0.191572E-04,-0.106303E-02,-0.360383E-03,-0.970442E-04,0.196253E-04,34.0000,96.5005,0.500528,0.00000,0.00000,884725.,956905.
CH-CHA_201609021739.csv,2016-09-02,20:30,246.8540,0,36000,36000,-0.840674E-03,1,0.240124E-03,-0.113233,1,0.389091,-0.300702,2,0.973834,-0.682322E-02,2,0.220972E-01,0.420258E-02,1,0.275898E-02,-0.587120E-03,1,0.196699E-03,-0.825052,-1.26187,-0.286331E-01,0.416832E-03,0.118152E-03,0.109195E-11,0.128456E-12,0.204466E-13,693.649,17.7871,18.1092,0.500000E-01,0,0.816002E-01,2.09246,2.13035,0.500000E-01,0,0.129884E-01,0.333060,0.339091,4.95000,0,297.818,296.145,96559.5,1.12836,1015.33,0.256428E-01,-0.442145E-03,0.124995E-01,1708.27,2798.56,0.110776E-01,61.0409,1090.30,288.189,-0.233441E-01,0.202088,0.288333E-02,0.203452,0.742813E-13,0.157421E-14,0.203452,0.502593,95.2137,96.5893,0.812027,-9999,0.272954E-01,0.299120E-01,15.3021,0.131354,0.376563,0.362099E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.822687E-03,1.02186,-0.124480,1.03469,-0.227423,1.32221,-0.516045E-02,1.32221,0.317844E-02,1.32221,-0.444043E-03,1.32221,800009000,800109000,800009000,800009011,800009000,811109010,811119111,811119111,80000,80000,80,81,0,0,0,0,0,0,0,0.158415E-01,0.433221E-01,0.660470E-03,0.473243E-01,0.114685,0.150949E-02,0.745674E-05,-0.108654E-03,-0.134712E-03,0.829719E-04,-0.115916E-04,33.9849,96.5034,0.499903,0.00000,0.00000,547933.,942912.
CH-CHA_201609021739.csv,2016-09-02,21:00,246.8748,0,36000,36000,0.354560E-02,1,0.100332E-02,1.13760,1,0.490230,5.56372,1,1.35829,0.126189,1,0.308069E-01,0.982516E-01,1,0.239221E-01,0.395347E-02,1,0.109105E-02,-0.724016,-1.00760,-0.228531E-01,0.101080E-01,0.944732E-04,-0.102703E-10,-0.137419E-11,-0.199086E-12,675.368,17.2880,17.5922,4.85000,0,0.903661E-01,2.31319,2.35388,4.75000,0,0.130918E-01,0.335123,0.341019,4.60000,0,297.297,295.673,96559.5,1.13037,1015.04,0.255979E-01,0.817702E-02,0.121701E-01,1660.60,2719.83,0.107665E-01,61.0555,1059.22,287.750,0.142128,0.247269,0.114110E-01,0.285434,0.352762E-13,-0.152069E-13,0.285434,1.06550,137.721,60.1102,2.29116,-9999,0.560060E-01,0.606110E-01,-13.1561,-0.152781,0.204467,-0.177031E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.344935E-02,1.02790,1.40808,1.02950,4.69536,1.18494,0.106494,1.18494,0.829169E-01,1.18494,0.333643E-02,1.18494,800009000,800109000,800009000,800009011,800009000,800009000,811119111,811119111,80111,80111,80,81,1,0,2,1,0,0,0,0.107927,0.122925E-01,0.100273E-02,0.312827E-01,0.915199E-01,0.550098E-01,0.118512E-03,0.122721E-02,0.277372E-02,0.215964E-02,0.869003E-04,33.9893,96.5025,0.499972,0.00000,0.00000,239457.,907256.
CH-CHA_201609021739.csv,2016-09-02,21:30,246.8956,0,36000,36000,-0.105935E-02,1,0.835228E-04,-2.00198,1,1.05044,-9.98736,1,1.87969,-0.226398,1,0.426095E-01,0.142368E-01,1,0.528131E-02,0.205475E-02,1,0.532335E-03,-0.855736,-1.37419,-0.311508E-01,0.109651E-02,-0.200263E-03,0.205347E-12,0.288944E-13,0.408932E-14,650.212,16.6092,16.8898,2.05000,0,0.914912E-01,2.33708,2.37655,5.00000,0,0.129484E-01,0.330759,0.336345,5.00000,0,296.674,295.117,96559.5,1.13279,1014.65,0.255443E-01,-0.146706E-01,0.117168E-01,1595.75,2629.44,0.103433E-01,60.6878,1033.69,287.134,0.235022E-01,-0.137187,-0.287500E-04,0.139186,0.200793E-13,0.315816E-15,0.139186,0.904489,276.546,279.721,-0.118349E-01,-9999,0.305806E-01,0.345352E-01,1.21685,1.65181,0.200451,0.569569E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.989908E-03,1.07015,-2.03650,1.13796,-4.24942,2.35029,-0.963276E-01,2.35029,0.605745E-02,2.35029,0.874255E-03,2.35029,800009000,800109000,800009000,800009000,800009000,800109000,811119111,811119111,80011,80011,80,81,2,0,1,0,0,0,0,0.525344E-01,0.152712E-01,0.126488E-02,0.133551,0.197364,0.328451E-02,0.328730E-04,-0.177181E-02,-0.250197E-02,0.157334E-03,0.227075E-04,34.0000,96.5000,0.500000,0.00000,0.00000,273187.,900033.
CH-CHA_201609021739.csv,2016-09-02,22:00,246.9165,0,36000,36000,-0.999285E-02,1,0.163114E-02,-5.81359,1,1.21845,-5.90837,1,0.911365,-0.133912,1,0.206559E-01,0.910555E-01,1,0.210817E-01,0.173337E-02,1,0.642497E-03,-0.250671,-2.18205,-0.494558E-01,0.156296E-01,0.533693E-03,-0.668956E-11,-0.115309E-11,-0.147456E-12,608.603,15.5325,15.7775,0.750000,0,0.104906,2.67737,2.71961,0.500000E-01,0,0.134153E-01,0.342379,0.347780,2.95000,0,296.409,294.954,96559.5,1.13387,1014.05,0.255215E-01,-0.867751E-02,0.109670E-01,1492.81,2603.60,0.967221E-02,57.3363,1110.79,286.111,0.253631,0.196478,0.186094E-01,0.321370,-0.484019E-13,-0.109917E-13,0.321370,1.00995,142.604,37.7636,3.31966,-9999,0.938779E-01,0.113178,12.1205,0.165835,0.983958,0.538589E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.980248E-02,1.01942,-5.92411,1.03472,-4.41437,1.33844,-0.100051,1.33844,0.680310E-01,1.33844,0.129507E-02,1.33844,800009000,800109000,800009000,800009011,800009000,811009000,811119111,811119111,80000,80000,80,81,0,1,1,0,1,0,0,0.194596,0.306779E-01,0.108289E-02,0.131943,0.321606E-01,0.422484E-01,0.526169E-04,-0.515229E-02,-0.259355E-02,0.176352E-02,0.335712E-04,33.9938,96.5014,0.499931,0.00000,0.00000,154446.,926485.
