file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--
CH-CHA_201701010100.csv,2017-01-01,01:30,1.0624,0,36000,36000,-0.249483E-01,0,0.367826E-02,12.3575,0,0.903439,0.399785,1,0.415415,0.893474E-02,1,0.928406E-02,0.315761E-01,0,0.165135E-01,0.289043E-03,0,0.409757E-04,-9999,-9999,-9999,-9999,-9999,-0.994033E-12,-0.588678E-12,-0.850671E-13,155.650,3.76166,3.77586,2.15000,0,0.921775E-01,2.22770,2.23611,1.25000,0,0.133201E-01,0.321914,0.323130,1.20000,0,280.683,280.349,96559.5,1.19822,1007.29,0.241675E-01,0.578971E-03,0.280481E-02,362.888,1012.65,0.234081E-02,35.8354,649.765,266.184,0.990502,-1.26845,-0.183014E-02,1.60937,-0.209505E-12,-0.638635E-14,1.60937,3.34670,238.020,307.985,-0.651554E-01,-9999,0.144295,0.289030,-20.6590,-0.972943E-01,30.9105,-0.709560E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.246778E-01,1.01096,12.1479,1.02012,0.338096,1.18246,0.755606E-02,1.18246,0.267038E-01,1.18246,0.244442E-03,1.18246,800009000,800009111,800009000,800009011,800009010,800119010,800019111,810019111,80000,80000,80,81,6,2,3,28,5,0,0,0.274817,0.268332,0.349110E-01,0.210966E-01,0.367170E-02,0.307164E-02,0.215008E-06,0.100649E-01,0.183300E-03,0.647797E-03,0.592985E-05,21.9572,96.5197,0.503661,298.693,4522.61
CH-CHA_201701010100.csv,2017-01-01,02:00,1.0833,0,36000,36000,-0.187610E-01,1,0.249791E-02,11.8918,0,0.689544,0.434823,0,0.143742,0.971627E-02,0,0.321196E-02,0.286127E-02,1,0.843742E-02,0.236910E-03,0,0.135733E-03,-0.267951,0.158187,0.353473E-02,0.240225E-04,0.452615E-04,-0.448279E-12,-0.260491E-12,-0.377430E-13,158.753,3.83449,3.84925,3.65000,0,0.922504E-01,2.22819,2.23677,3.50000,0,0.133663E-01,0.322847,0.324089,1.10000,0,280.524,280.183,96559.5,1.19890,1007.33,0.241538E-01,0.629615E-03,0.286074E-02,369.905,1001.21,0.238614E-02,36.9457,631.308,266.433,0.894359,-1.71541,-0.699472E-02,1.93457,0.341942E-13,-0.282374E-14,1.93457,3.80740,248.910,297.536,-0.207161,-9999,0.125094,0.236312,-13.9879,-0.143696,27.3486,-0.787153E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.185624E-01,1.01070,11.6860,1.02071,0.366142,1.18758,0.818156E-02,1.18758,0.240933E-02,1.18758,0.199489E-03,1.18758,800009000,800009111,800009000,800009011,800009000,800009000,800019111,800019111,80000,80000,80,80,11,8,6,49,10,0,0,0.318772,0.121432,0.324200E-01,0.257907E-01,0.176408E-02,0.117001E-02,0.592711E-06,0.967641E-02,0.198375E-03,0.584181E-04,0.483694E-05,21.9628,96.5177,0.503743,298.801,4511.40
CH-CHA_201701010100.csv,2017-01-01,02:30,1.1041,0,36000,36000,-0.172614E-01,0,0.297963E-02,11.3692,0,0.955090,-0.365944,1,0.218888,-0.817505E-02,1,0.488988E-02,0.640011E-02,1,0.270552E-02,0.178861E-03,1,0.883520E-04,-0.433734,0.110859,0.247656E-02,0.370890E-02,0.953224E-04,0.366919E-12,0.217626E-12,0.306729E-13,161.016,3.88547,3.90063,3.20000,0,0.955012E-01,2.30454,2.31353,0.700000,0,0.134602E-01,0.324809,0.326076,0.900000,0,280.260,279.915,96559.5,1.20002,1007.35,0.241310E-01,-0.529743E-03,0.290150E-02,374.817,982.956,0.241787E-02,38.1317,608.138,266.605,0.622882,-1.01638,-0.544361E-02,1.19208,0.779334E-13,0.227878E-14,1.19208,2.90339,245.418,301.502,-0.261642,-9999,0.119934,0.177306,-12.8940,-0.155886,-31.0683,-0.784186E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.170577E-01,1.01194,11.1428,1.01993,-0.310851,1.17723,-0.694430E-02,1.17723,0.543658E-02,1.17723,0.151934E-03,1.17723,800009000,800009111,800009000,800009011,800009000,800019000,800019011,800119111,80000,80000,80,80,13,2,0,62,6,0,0,0.190875,0.137765,0.259720E-01,0.201710E-01,0.201744E-02,0.862407E-04,0.334890E-06,0.921777E-02,-0.168226E-03,0.131702E-03,0.368061E-05,21.9496,96.5226,0.292285,298.624,4513.14
CH-CHA_201701010100.csv,2017-01-01,03:00,1.1249,0,36000,36000,-0.158860E-01,0,0.254080E-02,8.63863,0,0.786778,0.540336,0,0.358567,0.120688E-01,0,0.800887E-02,0.244019E-01,0,0.122887E-01,0.222627E-03,0,0.415797E-04,-0.293625,0.204858E-01,0.457566E-03,0.722794E-03,0.337804E-04,-0.383751E-12,-0.228524E-12,-0.320708E-13,161.510,3.89489,3.91012,3.85000,0,0.961794E-01,2.31941,2.32848,0.500000E-01,0,0.134977E-01,0.325504,0.326777,2.35000,0,280.079,279.734,96559.5,1.20080,1007.35,0.241155E-01,0.782059E-03,0.291041E-02,375.724,970.772,0.242373E-02,38.7037,595.047,266.636,0.766391,-0.860883,-0.166806E-03,1.15259,-0.182977E-13,-0.237602E-14,1.15259,2.81777,237.154,311.677,-0.829194E-02,-9999,0.115020,0.251245,-14.9680,-0.134287,15.9875,-0.620901E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.156961E-01,1.01209,8.50670,1.01996,0.459137,1.17685,0.102552E-01,1.17685,0.207349E-01,1.17685,0.189172E-03,1.17685,800009000,800009111,800009000,800009011,800009010,800019010,800119111,800119111,80111,80111,80,80,0,6,2,48,8,0,0,0.175411,0.305354,0.217248E-01,0.191628E-01,0.186123E-02,0.201807E-02,0.241696E-06,0.703252E-02,0.248275E-03,0.501985E-03,0.457979E-05,21.9172,96.5355,0.504477,298.879,4514.65
CH-CHA_201701010100.csv,2017-01-01,03:30,1.1458,0,36000,36000,-0.180593E-01,0,0.239830E-02,11.3480,0,0.704425,-0.710482,1,0.301054,-0.158684E-01,1,0.672396E-02,0.152388E-02,2,0.337668E-02,0.217555E-03,0,0.391155E-04,-0.769995E-01,-0.176647,-0.394537E-02,0.813524E-03,0.412394E-04,-0.142925E-11,-0.875505E-12,-0.122305E-12,158.176,3.81374,3.82834,1.10000,0,0.968922E-01,2.33615,2.34509,0.200000,0,0.135355E-01,0.326352,0.327602,1.65000,0,280.025,279.686,96559.5,1.20104,1007.31,0.241108E-01,-0.102828E-02,0.285033E-02,367.906,967.601,0.237322E-02,38.0225,599.695,266.363,0.787125,-1.30677,-0.507153E-02,1.52553,0.476154E-13,-0.903587E-14,1.52553,3.25997,245.550,301.062,-0.190476,-9999,0.122623,0.203793,-13.8064,-0.145585,-15.9723,-0.764946E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.178613E-01,1.01108,11.1039,1.02002,-0.601459,1.18126,-0.134334E-01,1.18126,0.129004E-02,1.18126,0.184171E-03,1.18126,800009000,800009111,800009000,800009011,800009000,800009000,800019111,810119111,80000,80000,80,80,15,3,9,50,7,0,0,0.251914,0.130000,0.256726E-01,0.238847E-01,0.218535E-02,0.325421E-03,0.232791E-06,0.917820E-02,-0.325130E-03,0.312228E-04,0.445749E-05,21.9022,96.5396,0.502987,298.936,4517.19
CH-CHA_201701010100.csv,2017-01-01,04:00,1.1666,0,36000,36000,-0.651689E-02,0,0.205676E-02,10.7040,0,0.894667,3.32800,1,1.02337,0.743274E-01,1,0.228559E-01,-0.860491E-02,0,0.509827E-02,0.393759E-03,0,0.570435E-04,-0.578322E-01,0.286820,0.640584E-02,-0.172545E-02,-0.644005E-06,0.248680E-11,0.145008E-11,0.205688E-12,163.654,3.94548,3.96111,1.20000,0,0.954286E-01,2.30066,2.30977,0.450000,0,0.135361E-01,0.326339,0.327632,2.40000,0,280.001,279.650,96559.5,1.20113,1007.38,0.241087E-01,0.481642E-02,0.294904E-02,380.599,965.222,0.245522E-02,39.4312,584.623,266.804,0.276082,-0.397238,0.445306E-02,0.483776,0.819094E-13,0.151955E-13,0.483776,1.60231,243.087,304.799,0.527403,-9999,0.736589E-01,0.110020,-3.17265,-0.633540,3.21635,-0.120099,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.639308E-02,1.01937,10.6310,1.02391,2.82697,1.17723,0.631376E-01,1.17723,-0.730946E-02,1.17723,0.334480E-03,1.17723,800009000,800009111,800009000,800009011,800019000,800019010,810119111,811119111,80111,80111,80,81,1,1,0,51,3,0,0,0.116823,0.910108E-01,0.122050E-01,0.236722E-01,0.701111E-02,0.362091E-03,0.262088E-06,0.878600E-02,0.152819E-02,-0.176919E-03,0.809578E-05,21.9867,96.5110,0.505962,298.968,4517.87
CH-CHA_201701010100.csv,2017-01-01,04:30,1.1874,0,36000,36000,-0.165073E-01,0,0.219777E-02,8.56970,0,0.647620,0.829023,1,0.277114,0.185168E-01,1,0.618952E-02,0.445785E-01,0,0.183271E-01,0.132978E-03,0,0.429514E-04,0.124937,0.326752,0.729821E-02,0.295397E-02,0.226903E-04,0.489099E-12,0.282002E-12,0.390270E-13,169.827,4.09563,4.11248,4.55000,0,0.979177E-01,2.36143,2.37114,1.55000,0,0.135511E-01,0.326806,0.328150,1.65000,0,280.091,279.728,96559.5,1.20073,1007.46,0.241165E-01,0.119989E-02,0.306028E-02,395.064,970.361,0.254868E-02,40.7131,575.297,267.292,1.35680,-0.580324,0.146999E-01,1.47577,0.249362E-13,0.287999E-14,1.47577,2.74625,210.519,336.843,0.570723,-9999,0.117251,0.136017,-15.9839,-0.125751,10.3371,-0.604195E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.163249E-01,1.01117,8.45354,1.01997,0.702214,1.18058,0.156844E-01,1.18058,0.377597E-01,1.18058,0.112637E-03,1.18058,800009000,800009000,800009000,800009011,800009000,800009000,800019011,800119111,80000,80000,80,80,1,2,1,13,4,0,0,0.144098,0.103857,0.240783E-01,0.110446E-01,0.172514E-02,0.513881E-02,0.256803E-06,0.698820E-02,0.379807E-03,0.914372E-03,0.272758E-05,21.9706,96.5145,0.503505,298.980,4515.55
CH-CHA_201701010100.csv,2017-01-01,05:00,1.2082,0,36000,36000,-0.123211E-01,0,0.217050E-02,11.6665,0,1.00228,1.51497,1,0.487264,0.338366E-01,1,0.108829E-01,0.426229E-01,0,0.187353E-01,0.368801E-03,0,0.540241E-04,-0.658913E-01,-0.647609E-01,-0.144642E-02,0.747522E-04,-0.185441E-05,0.185862E-11,0.108018E-11,0.149374E-12,168.619,4.06588,4.08248,0.950000,0,0.979966E-01,2.36297,2.37262,2.30000,0,0.135516E-01,0.326768,0.328102,1.70000,0,280.048,279.687,96559.5,1.20092,1007.44,0.241128E-01,0.219261E-02,0.303852E-02,392.198,967.648,0.253016E-02,40.5311,575.450,267.197,1.07244,-0.532471,0.131558E-01,1.19743,0.170945E-14,0.110226E-13,1.19743,2.46219,214.459,333.595,0.629508,-9999,0.101290,0.138062,-7.56942,-0.265542,7.70081,-0.952006E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.121759E-01,1.01192,11.5280,1.01992,1.28684,1.17728,0.287412E-01,1.17728,0.362044E-01,1.17728,0.313264E-03,1.17728,800009000,800009111,800009000,800009011,800009000,800009000,800019111,810119111,80000,80000,80,80,5,7,1,9,6,0,0,0.136537,0.116179,0.234090E-01,0.161992E-01,0.244564E-02,0.467636E-02,0.244134E-06,0.952840E-02,0.695856E-03,0.876548E-03,0.758448E-05,21.9328,96.5262,0.500989,298.966,4509.53
CH-CHA_201701010100.csv,2017-01-01,05:30,1.2291,0,36000,36000,-0.914003E-02,0,0.134616E-02,12.2719,0,0.932896,-0.187787,1,0.162745,-0.419362E-02,1,0.363439E-02,-0.324787E-01,1,0.152878E-01,0.104568E-03,1,0.300872E-04,-0.224062,-0.202861,-0.453026E-02,-0.298123E-02,0.798118E-05,0.552013E-12,0.319819E-12,0.454273E-13,164.843,3.97274,3.98859,4.80000,0,0.955048E-01,2.30168,2.31086,4.95000,0,0.135656E-01,0.326932,0.328236,1.50000,0,279.901,279.549,96559.5,1.20156,1007.39,0.241001E-01,-0.271747E-03,0.297047E-02,383.225,958.474,0.247219E-02,39.9828,575.249,266.894,0.901318,-0.701686,-0.313583E-02,1.14226,-0.469097E-13,0.334872E-14,1.14226,2.44285,225.597,322.099,-0.157294,-9999,0.872171E-01,0.148546,-4.59396,-0.437531,-65.3502,-0.116244,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.903043E-02,1.01214,12.0376,1.01997,-0.159580,1.17675,-0.356372E-02,1.17675,-0.276003E-01,1.17675,0.888611E-04,1.17675,800009000,800009111,800009000,800009011,800009000,800009010,800119111,800119111,80111,80111,80,81,4,6,1,8,7,0,0,0.859594E-01,0.188732,0.224008E-01,0.206133E-01,0.190440E-02,0.264842E-02,0.254656E-06,0.994485E-02,-0.862284E-04,-0.667821E-03,0.215010E-05,21.9356,96.5252,0.501087,298.990,4508.86
