file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,ch4_strg,n2o_strg,ch4_v-adv,n2o_v-adv,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,ch4_var,n2o_var,w/ts_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--
CH-CHA_201901010100.csv,2019-01-01,01:30,1.0624,0,36000,36000,-0.409138E-02,1,0.409412E-03,-0.467557,1,0.218454,0.275992E-02,1,0.105889E-02,0.459275E-03,1,0.137658E-03,-9999,-9999,-9999,-0.151314E-12,-0.243439E-13,0.835480E-01,2.07251,2.07251,3.50000,0,0.134415E-01,0.333432,0.333432,2.40000,0,288.102,288.102,96559.5,1.16763,1005.43,0.248062E-01,-9999,-9999,-9999,1694.84,-9999,-9999,-9999,-9999,-0.123238,0.581612,0.757681E-02,0.594573,0.492565E-13,-0.181110E-14,0.594573,1.13969,83.9886,101.963,0.730155,-9999,0.591945E-01,0.315643E-01,37.6800,0.533439E-01,-9999,0.672812E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.403753E-02,1.01334,-0.456570,1.02406,0.216572E-02,1.27436,0.360396E-03,1.27436,800009900,800119900,800009900,800009911,800009900,800119910,811119911,811119911,80011,80011,80,80,0,0,3,6,0,0,0.174489E-01,0.429257E-01,0.275400E-02,0.611911E-02,0.992800E-04,0.313036E-05,-0.388909E-03,0.537234E-04,0.894005E-05,21.9833,96.5398,0.533584,293.984,3498.06
CH-CHA_201901010100.csv,2019-01-01,02:00,1.0833,0,36000,36000,-0.322183E-02,1,0.438338E-03,-1.04185,1,0.353707,-0.233412E-02,1,0.119830E-02,-0.834466E-03,1,0.272320E-03,0.184652,-0.576284E-03,-0.137418E-04,-0.306251E-12,-0.495252E-13,0.830104E-01,2.06001,2.06001,0.500000E-01,0,0.134240E-01,0.333134,0.333134,0.500000E-01,0,288.219,288.219,96559.5,1.16716,1005.43,0.248163E-01,-9999,-9999,-9999,1707.71,-9999,-9999,-9999,-9999,-0.177724,0.341836,0.148356E-01,0.385561,-0.324838E-13,-0.368931E-14,0.385561,0.851469,70.2103,117.470,2.20516,-9999,0.525395E-01,0.257770E-01,11.8237,0.169997,-9999,0.168980E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.316349E-02,1.01844,-1.00770,1.03389,-0.169187E-02,1.37961,-0.604857E-03,1.37961,800009900,800119900,800009900,800009911,800109901,800109901,811119911,811119911,80000,80000,80,81,0,2,0,23,0,0,0.155860E-01,0.331353E-01,0.283276E-02,0.616535E-02,0.126003E-03,0.341042E-05,-0.858714E-03,-0.419861E-04,-0.150103E-04,21.9828,96.5384,0.531958,293.988,3498.96
CH-CHA_201901010100.csv,2019-01-01,02:30,1.1041,0,36000,36000,0.558437E-03,1,0.314020E-03,0.332855E-01,2,0.121813,0.162398E-02,1,0.144917E-02,-0.147516E-03,2,0.316655E-03,0.101864,0.117710E-02,0.188297E-03,-0.162293E-12,-0.262416E-13,0.840203E-01,2.08555,2.08555,5.00000,0,0.135855E-01,0.337218,0.337218,0.500000E-01,0,288.284,288.284,96559.5,1.16690,1005.44,0.248219E-01,-9999,-9999,-9999,1714.85,-9999,-9999,-9999,-9999,-0.229038,-0.231263E-02,0.249531E-01,0.230405,0.253488E-13,-0.193159E-14,0.230405,0.539166,7.33154,180.579,6.21738,-9999,0.218762E-01,0.197395E-01,-26.7153,-0.752377E-01,-9999,-0.129687E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.540793E-03,1.03263,0.322333E-01,1.03264,0.134094E-02,1.21107,-0.121806E-03,1.21107,800009900,800119900,800009900,800009911,800009900,800019900,811119911,811119911,80011,80011,80,81,0,0,0,15,0,0,0.154224E-01,0.231298E-01,0.926795E-03,0.238896E-02,0.245547E-03,0.210424E-04,0.274738E-04,0.332847E-04,-0.302346E-05,21.9628,96.5464,0.532519,293.988,3498.00
CH-CHA_201901010100.csv,2019-01-01,03:00,1.1249,0,36000,36000,-0.948948E-02,1,0.938922E-03,0.693115,2,0.503625,-0.785546E-02,2,0.450080E-02,-0.889537E-03,2,0.635403E-03,0.271289,-0.467330E-03,-0.389097E-04,-0.656346E-12,-0.106378E-12,0.835616E-01,2.07540,2.07540,5.00000,0,0.135433E-01,0.336373,0.336373,0.500000E-01,0,288.457,288.457,96559.5,1.16620,1005.44,0.248368E-01,-9999,-9999,-9999,1734.00,-9999,-9999,-9999,-9999,-0.452085E-01,0.114505,0.199661E-01,0.124715,-0.218487E-13,-0.785463E-14,0.124715,1.16538,81.7019,111.545,9.21233,-9999,0.902059E-01,0.959849E-01,-89.9507,-0.223456E-01,-9999,-0.655303E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.902436E-02,1.05154,0.663012,1.04540,-0.637437E-02,1.23235,-0.721822E-03,1.23235,800009900,800109900,800009900,800009900,800009900,800009910,811119911,811119911,80001,80001,80,81,0,0,0,8,0,0,0.259635E-01,0.164017,0.198911E-02,0.145733E-01,0.681064E-03,0.196328E-04,0.565449E-03,-0.158319E-03,-0.179277E-04,22.0000,96.5318,0.531750,293.986,3499.95
CH-CHA_201901010100.csv,2019-01-01,03:30,1.1458,0,36000,36000,-0.558689E-02,1,0.110484E-02,0.837563,1,0.524594,0.242492E-02,2,0.356792E-02,-0.249935E-03,2,0.270712E-03,0.202583,-0.210988E-03,-0.128532E-03,0.823616E-12,0.132674E-12,0.833399E-01,2.07082,2.07082,5.00000,0,0.134250E-01,0.333583,0.333583,0.500000E-01,0,288.586,288.586,96559.5,1.16568,1005.44,0.248479E-01,-9999,-9999,-9999,1748.43,-9999,-9999,-9999,-9999,-0.141537,0.196750,0.228982E-01,0.243449,-0.649356E-14,0.988261E-14,0.243449,1.12490,63.5997,125.730,5.39708,-9999,0.692303E-01,0.962676E-01,-33.6494,-0.597337E-01,-9999,-0.103225E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.541716E-02,1.03133,0.811767,1.03178,0.200460E-02,1.20968,-0.206613E-03,1.20968,800009900,800109900,800009900,800009900,800119900,800119910,811119911,811119911,80010,80010,80,81,0,0,6,17,0,0,0.584418E-01,0.132171,0.192212E-02,0.201100E-01,0.463424E-03,0.480785E-05,0.692623E-03,0.498101E-04,-0.513390E-05,22.0000,96.5311,0.531056,293.982,3500.70
CH-CHA_201901010100.csv,2019-01-01,04:00,1.1666,0,36000,36000,-0.605950E-02,1,0.140066E-02,-1.45698,0,0.582176,0.613288E-02,1,0.448927E-02,0.345424E-03,1,0.165038E-03,0.146674,-0.109398E-02,-0.724146E-04,-0.116140E-13,-0.188365E-14,0.823570E-01,2.04706,2.04706,2.30000,0,0.133573E-01,0.332010,0.332010,2.05000,0,288.679,288.679,96559.5,1.16530,1005.44,0.248560E-01,-9999,-9999,-9999,1758.94,-9999,-9999,-9999,-9999,0.722548,0.425692,0.208575E-01,0.838883,-0.104040E-12,-0.141020E-15,0.838883,2.74237,159.187,30.5046,1.42472,-9999,0.721107E-01,0.121577,21.8602,0.919481E-01,-9999,0.172448E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.597826E-02,1.01359,-1.41899,1.02677,0.467152E-02,1.31282,0.263115E-03,1.31282,800009900,800009900,800009900,800009900,800109900,800109900,811119911,811119911,80000,80000,80,81,2,6,3,30,0,0,0.140926,0.938447E-01,0.838419E-02,0.224550E-01,0.956943E-03,0.141296E-05,-0.121112E-02,0.116115E-03,0.653999E-05,22.0000,96.5287,0.528722,293.979,3498.00
CH-CHA_201901010100.csv,2019-01-01,04:30,1.1874,0,36000,36000,-0.727952E-02,2,0.191255E-02,-7.96254,1,1.23188,0.121073E-01,1,0.383862E-02,0.498084E-03,1,0.829300E-04,0.303675,-0.397909E-02,-0.921492E-04,0.128575E-11,0.216419E-12,0.788249E-01,1.96058,1.96058,2.15000,0,0.132679E-01,0.330007,0.330007,1.95000,0,288.873,288.873,96559.5,1.16452,1005.45,0.248726E-01,-9999,-9999,-9999,1780.91,-9999,-9999,-9999,-9999,0.839991,0.971819,0.364253E-01,1.28505,0.115809E-12,0.163115E-13,1.28505,3.64051,130.619,49.1615,1.62430,-9999,0.790640E-01,0.327078,5.27220,0.381245,-9999,0.860138E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.711064E-02,1.02375,-7.58963,1.04913,0.770218E-02,1.57193,0.316861E-03,1.57193,800009900,800009900,800009900,800009900,800009900,800009900,801119911,801119911,80011,80011,80,81,3,6,0,0,0,0,0.458391,0.161908,0.338558E-01,0.180221E-01,0.135273E-03,0.114533E-06,-0.648210E-02,0.191574E-03,0.788116E-05,22.0000,96.5235,0.523500,293.974,3496.09
CH-CHA_201901010100.csv,2019-01-01,05:00,1.2082,0,36000,36000,-0.204007E-01,1,0.380759E-02,1.84619,2,1.09649,-0.938034E-02,1,0.271813E-02,0.132593E-03,1,0.228105E-03,0.217355E-01,-0.851680E-04,0.297621E-04,0.856195E-12,0.144534E-12,0.787467E-01,1.95873,1.95873,3.20000,0,0.132932E-01,0.330654,0.330654,1.60000,0,288.887,288.887,96559.5,1.16446,1005.45,0.248738E-01,-9999,-9999,-9999,1782.49,-9999,-9999,-9999,-9999,-0.207617,0.342229,0.343158E-01,0.401750,0.339409E-12,0.108728E-13,0.401750,1.71330,60.9294,121.244,4.89994,-9999,0.132361,0.250277,-106.687,-0.188402E-01,-9999,-0.119133E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.199629E-01,1.02193,1.80017,1.02557,-0.781689E-02,1.20001,0.110493E-03,1.20001,800009900,800009900,800009900,800009900,800009901,800109901,811119911,811119911,80011,80011,80,81,1,0,6,4,0,0,0.253028,0.242164,0.536136E-02,0.309565E-01,0.145444E-03,0.145451E-05,0.153755E-02,-0.194436E-03,0.274838E-05,22.0000,96.5186,0.518583,293.970,3494.73
CH-CHA_201901010100.csv,2019-01-01,05:30,1.2291,0,36000,36000,-0.266724E-02,1,0.833958E-03,-0.878830,0,0.375726,-0.325616E-02,2,0.238046E-02,0.156085E-03,2,0.941685E-04,0.614914E-01,0.109005E-02,0.630372E-04,0.415131E-13,0.695277E-14,0.796884E-01,1.98243,1.98243,4.45000,0,0.133465E-01,0.332024,0.332024,1.50000,0,288.926,288.926,96559.5,1.16430,1005.45,0.248772E-01,-9999,-9999,-9999,1786.97,-9999,-9999,-9999,-9999,-0.765640,0.146734,0.347240E-01,0.780347,0.228741E-14,0.520942E-15,0.780347,1.60443,23.2962,169.151,2.55040,-9999,0.478628E-01,0.104640,10.5974,0.189670,-9999,0.156849E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.262256E-02,1.01703,-0.849740,1.03423,-0.232746E-02,1.39902,0.111568E-03,1.39902,800009900,800019900,800009900,800009900,800009900,800109911,811119911,811119911,80011,80011,80,81,0,6,6,2,0,0,0.757052E-01,0.129612,0.396397E-02,0.156708E-01,0.430204E-03,0.315457E-05,-0.725872E-03,-0.579008E-04,0.277550E-05,22.0000,96.5154,0.515417,293.963,3494.94
