file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,ch4_strg,n2o_strg,ch4_v-adv,n2o_v-adv,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,ch4_var,n2o_var,w/ts_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--
CH-CHA_202001010100.csv,2020-01-01,01:30,1.0624,0,36000,36000,-0.353971E-01,1,0.612402E-02,6.93063,1,0.763113,-0.151595E-02,1,0.799178E-03,0.348321E-03,1,0.605657E-04,-9999,-9999,-9999,0.612624E-12,0.903548E-13,0.903903E-01,2.21868,2.21868,1.35000,0,0.133315E-01,0.327230,0.327230,1.85000,0,285.075,285.075,96559.5,1.18003,1005.37,0.245456E-01,-9999,-9999,-9999,1391.37,-9999,-9999,-9999,-9999,0.167450,0.349373,0.118922E-01,0.387611,0.123993E-12,0.677754E-14,0.387611,1.81047,122.680,64.3923,1.75816,-9999,0.173195,0.233337,-63.6662,-0.315709E-01,-9999,-0.337302E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.346189E-01,1.02248,6.75551,1.02592,-0.120261E-02,1.26055,0.276325E-03,1.26055,800009900,800009900,800009900,800009900,800019900,800019900,810119911,811119911,80001,80001,80,81,1,0,0,21,0,0,0.348279,0.105248,0.131472E-01,0.102480E-01,0.895392E-05,0.145302E-06,0.569430E-02,-0.295188E-04,0.678255E-05,22.0000,96.5056,0.505639,293.869,3603.82
CH-CHA_202001010100.csv,2020-01-01,02:00,1.0833,0,36000,36000,-0.355952E-01,1,0.627417E-02,3.97639,1,0.796682,0.189444E-02,1,0.490870E-03,-0.150844E-03,2,0.564359E-04,0.101344,-0.115409E-03,-0.384194E-05,-0.296121E-11,-0.437152E-12,0.902613E-01,2.21601,2.21601,0.500000,0,0.133249E-01,0.327141,0.327141,0.500000E-01,0,285.138,285.138,96559.5,1.17977,1005.37,0.245511E-01,-9999,-9999,-9999,1397.23,-9999,-9999,-9999,-9999,-0.239239,-0.874241E-01,0.567781E-01,0.260964,-0.164384E-12,-0.328071E-13,0.260964,1.98824,359.330,200.074,12.5664,-9999,0.173699,0.226296,-111.938,-0.179564E-01,-9999,-0.193006E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.345659E-01,1.02978,3.85779,1.03074,0.149230E-02,1.26947,-0.118825E-03,1.26947,800009900,800009900,800009900,800009900,800009900,800119910,811119911,811119911,80011,80011,80,81,7,0,1,14,0,0,0.180720,0.254700,0.171723E-01,0.755057E-02,0.299276E-05,0.172697E-06,0.325250E-02,0.366377E-04,-0.291728E-05,22.0000,96.5076,0.507556,293.867,3603.43
CH-CHA_202001010100.csv,2020-01-01,02:30,1.1041,0,36000,36000,-0.109966E-01,0,0.224818E-02,1.46912,0,0.289279,-0.576269E-03,1,0.317694E-03,0.336025E-03,0,0.599403E-04,0.319697,0.543175E-04,-0.118770E-04,0.175858E-12,0.259247E-13,0.902488E-01,2.21727,2.21727,2.95000,0,0.133043E-01,0.326866,0.326866,1.65000,0,285.340,285.340,96559.5,1.17894,1005.37,0.245684E-01,-9999,-9999,-9999,1415.90,-9999,-9999,-9999,-9999,-0.285773,0.709971,0.162617E-01,0.765500,-0.137501E-12,0.194859E-14,0.765500,2.26877,74.2989,111.925,1.21724,-9999,0.965791E-01,0.126187,-52.0797,-0.385947E-01,-9999,-0.128338E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.108376E-01,1.01467,1.43879,1.02108,-0.460102E-03,1.25248,0.268287E-03,1.25248,800009900,800019900,800009900,800009900,800009900,800009900,810119911,811119911,80001,80001,80,81,0,0,0,9,0,0,0.963651E-01,0.141941,0.140690E-01,0.509379E-02,0.314549E-05,0.175017E-06,0.121389E-02,-0.113040E-04,0.659140E-05,22.0000,96.5061,0.506056,293.856,3606.07
CH-CHA_202001010100.csv,2020-01-01,03:00,1.1249,0,36000,36000,-0.172056E-01,1,0.495949E-02,3.93799,1,0.654385,-0.173950E-01,1,0.137995E-01,0.413891E-03,1,0.723446E-04,0.360770E-02,0.730298E-03,0.537843E-05,0.987069E-12,0.144466E-12,0.909363E-01,2.23418,2.23418,4.35000,0,0.133093E-01,0.326991,0.326991,1.60000,0,285.342,285.342,96559.5,1.17893,1005.37,0.245686E-01,-9999,-9999,-9999,1416.11,-9999,-9999,-9999,-9999,-0.699121,0.605845E-01,0.438658E-01,0.703111,0.728128E-13,0.108545E-13,0.703111,2.62147,30.8571,175.047,3.57690,-9999,0.120807,0.378501,-38.0255,-0.528593E-01,-9999,-0.275024E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.169449E-01,1.01538,3.85519,1.02148,-0.138824E-01,1.25302,0.330314E-03,1.25302,800009900,800009900,800009900,800009900,800009910,800109910,801119911,811119911,80011,80011,80,81,0,0,0,18,0,0,0.330137,0.408756,0.181098E-01,0.657123E-02,0.185205E-02,0.155799E-06,0.325262E-02,-0.341072E-03,0.811537E-05,22.0000,96.5040,0.503972,293.858,3606.43
CH-CHA_202001010100.csv,2020-01-01,03:30,1.1458,0,36000,36000,-0.190166E-01,0,0.355188E-02,6.33280,0,0.666589,0.131692E-01,1,0.137494E-01,0.502427E-03,0,0.638498E-04,-0.238082,0.102145E-02,0.111701E-04,-0.691390E-12,-0.100210E-12,0.919467E-01,2.25782,2.25782,2.90000,0,0.133268E-01,0.327249,0.327249,2.35000,0,285.192,285.192,96559.5,1.17955,1005.37,0.245557E-01,-9999,-9999,-9999,1402.20,-9999,-9999,-9999,-9999,-1.31293,-0.374466,0.864046E-01,1.36802,0.788907E-14,-0.751947E-14,1.36802,2.82344,352.726,195.919,3.62124,-9999,0.126972,0.206174,-27.4538,-0.732138E-01,-9999,-0.420579E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.188021E-01,1.01141,6.20918,1.01991,0.105100E-01,1.25302,0.400972E-03,1.25302,800009900,800009900,800009900,800009900,800009900,800009910,800119911,800119911,80011,80011,80,80,0,1,1,3,0,0,0.222145,0.166100,0.241034E-01,0.858025E-02,0.276999E-02,0.155731E-06,0.523594E-02,0.258079E-03,0.984615E-05,22.0000,96.5032,0.503222,293.854,3606.62
CH-CHA_202001010100.csv,2020-01-01,04:00,1.1666,0,36000,36000,-0.193775E-01,1,0.243499E-02,5.47970,1,0.497450,0.125272E-01,1,0.892364E-02,0.381326E-03,1,0.544865E-04,-0.499236,-0.109189E-02,-0.148982E-04,-0.956912E-12,-0.140116E-12,0.910191E-01,2.23258,2.23258,1.35000,0,0.133275E-01,0.326905,0.326905,1.25000,0,284.878,284.878,96559.5,1.18085,1005.36,0.245287E-01,-9999,-9999,-9999,1373.44,-9999,-9999,-9999,-9999,-0.835746,-1.46536,0.682058E-01,1.68832,0.161424E-12,-0.105133E-13,1.68832,3.08506,305.293,240.302,2.31531,-9999,0.128101,0.275894,-32.5814,-0.616917E-01,-9999,-0.360321E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.191692E-01,1.01087,5.37101,1.02024,0.997740E-02,1.25555,0.303711E-03,1.25555,800009900,800009900,800009900,800009900,800009900,800009910,800019911,801119911,80011,80011,80,81,1,1,1,9,0,0,0.195186,0.337290,0.193125E-01,0.942466E-02,0.172657E-02,0.161650E-06,0.452418E-02,0.244732E-03,0.744962E-05,22.0000,96.5018,0.501750,293.831,3607.34
CH-CHA_202001010100.csv,2020-01-01,04:30,1.1874,0,36000,36000,-0.190373E-01,1,0.195814E-02,6.17581,1,0.488263,0.518898E-02,1,0.105667E-02,0.296551E-03,1,0.287685E-04,-0.536480E-01,-0.494201E-03,-0.123844E-04,-0.642954E-12,-0.945458E-13,0.905641E-01,2.22115,2.22115,4.25000,0,0.133174E-01,0.326618,0.326618,1.50000,0,284.844,284.844,96559.5,1.18099,1005.36,0.245258E-01,-9999,-9999,-9999,1370.38,-9999,-9999,-9999,-9999,-0.135327,-1.25188,0.468278E-01,1.26005,0.854421E-13,-0.709944E-14,1.26005,2.46156,282.845,263.830,2.12980,-9999,0.126964,0.215690,-28.1460,-0.714134E-01,-9999,-0.409682E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.188170E-01,1.01171,6.05532,1.01990,0.414314E-02,1.25243,0.236781E-03,1.25243,800009900,800009900,800009900,800009900,800019900,800019910,810119911,811119911,80011,80011,80,81,10,11,3,53,0,0,0.880966E-01,0.331008,0.122757E-01,0.945351E-02,0.196259E-04,0.112247E-06,0.510000E-02,0.101614E-03,0.580724E-05,22.0000,96.5019,0.501917,293.801,3605.23
CH-CHA_202001010100.csv,2020-01-01,05:00,1.2082,0,36000,36000,-0.180329E-01,0,0.194291E-02,5.73368,0,0.463305,0.225574E-01,0,0.107440E-01,0.413853E-03,0,0.374430E-04,0.167723E-01,0.180755E-02,0.173795E-05,0.231078E-12,0.333565E-13,0.922642E-01,2.26293,2.26293,3.15000,0,0.133185E-01,0.326659,0.326659,1.65000,0,284.855,284.855,96559.5,1.18094,1005.36,0.245267E-01,-9999,-9999,-9999,1371.33,-9999,-9999,-9999,-9999,-0.942515,-1.14702,0.773989E-01,1.48660,0.321327E-13,0.250453E-14,1.48660,2.80096,316.056,230.590,2.98441,-9999,0.123572,0.159415,-27.9507,-0.719125E-01,-9999,-0.390809E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.178340E-01,1.01115,5.62134,1.01998,0.179906E-01,1.25384,0.330068E-03,1.25384,800009900,800009900,800009900,800009900,800009900,800009910,800019911,801119911,80011,80011,80,80,1,5,2,3,0,0,0.138723,0.160902,0.192047E-01,0.621212E-02,0.186015E-02,0.126658E-06,0.473466E-02,0.441250E-03,0.809547E-05,22.0000,96.5018,0.501750,293.789,3605.85
CH-CHA_202001010100.csv,2020-01-01,05:30,1.2291,0,36000,36000,-0.155653E-01,0,0.197875E-02,5.61848,0,0.427488,-0.475702E-02,1,0.311631E-02,0.200681E-03,0,0.273895E-04,0.101601,-0.103216E-02,-0.568317E-05,-0.664201E-13,-0.968615E-14,0.912708E-01,2.23907,2.23907,1.25000,0,0.133102E-01,0.326527,0.326527,1.30000,0,284.919,284.919,96559.5,1.18068,1005.36,0.245322E-01,-9999,-9999,-9999,1377.14,-9999,-9999,-9999,-9999,0.268555,-1.29064,0.399631E-01,1.31889,-0.823029E-13,-0.727726E-15,1.31889,2.57101,266.261,281.754,1.73636,-9999,0.114819,0.186601,-22.8818,-0.878426E-01,-9999,-0.412242E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.153878E-01,1.01153,5.50887,1.01990,-0.379731E-02,1.25273,0.160195E-03,1.25273,800009900,800009900,800009900,800009900,800019900,800019900,800019911,811119911,80001,80001,80,81,6,1,9,60,0,0,0.137500,0.217323,0.183791E-01,0.892552E-02,0.181783E-03,0.119647E-06,0.464097E-02,-0.931563E-04,0.392993E-05,22.0000,96.5010,0.501028,293.789,3607.23
