file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_lgr_mean,status_code_lgr_mean,ch4_mean,n2o_mean,int_p_mean,cell_t_mean,t_unknown_mean,mirror_ringdowntime_lgr_mean,fit_flag_lgr_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--
CH-CHA_202201010100.csv,2022-01-01,01:30,1.0624,0,36000,36000,-0.218550E-02,1,0.678708E-03,0.722933,1,0.161549,1.16821,1,0.555984,0.259444E-01,1,0.123477E-01,-0.392861E-01,1,0.203377E-01,0.266397E-03,0,0.572072E-04,-9999,-9999,-9999,-9999,-9999,-0.449333E-12,-0.202864E-12,-0.226472E-13,271.203,6.40505,6.44634,5.70000,0,0.122443,2.89175,2.91039,2.25000,0,0.136691E-01,0.322826,0.324907,2.10000,0,274.292,273.735,96559.5,1.22595,1008.62,0.236172E-01,0.168120E-02,0.488708E-02,617.377,635.781,0.398636E-02,97.1053,18.4040,273.293,0.568882,0.236166,0.198829E-01,0.616276,0.665624E-13,-0.165681E-14,0.616276,1.78911,163.542,22.5454,1.84885,-9999,0.422220E-01,0.866001E-01,-8.85009,-0.227116,0.618839,-0.138471E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.214977E-02,1.01662,0.762721,1.02221,0.955335,1.22283,0.212167E-01,1.22283,-0.319161E-01,1.23092,0.212039E-03,1.25636,800009000,800009000,800009000,800009000,800019000,800119000,811119011,811119011,80101,80101,80,81,2,0,2,12,28,0,0,0.518172E-01,0.116489,0.489413E-02,0.135775E-01,0.179732E-01,0.204700E-01,0.430903E-05,0.616829E-03,0.501080E-03,-0.758619E-03,0.503999E-05,33.0000,0.509361,2.89165,0.322826,6193.51,318.822,46.5818,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,02:00,1.0833,0,36000,36000,-0.409843E-02,0,0.568064E-03,1.33571,0,0.364033,1.60807,1,1.07553,0.357033E-01,1,0.238794E-01,0.269574E-01,0,0.129283E-01,0.235892E-03,0,0.617415E-04,-0.482660,-0.532352,-0.118196E-01,0.432044E-02,0.193480E-04,0.111839E-12,0.538207E-13,0.584884E-14,261.971,6.17999,6.21842,7.65000,0,0.126069,2.97401,2.99251,4.25000,0,0.137003E-01,0.323194,0.325204,1.80000,0,273.981,273.444,96559.5,1.22736,1008.50,0.235904E-01,0.231357E-02,0.472071E-02,595.726,622.521,0.384624E-02,95.6957,26.7953,272.802,0.402548,0.403790,0.235904E-01,0.570656,0.249750E-13,0.426914E-15,0.570656,1.49218,143.649,45.0882,2.36923,-9999,0.577860E-01,0.537858E-01,-12.2791,-0.163693,0.830631,-0.186743E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.402823E-02,1.01743,1.38352,1.02270,1.32558,1.21311,0.294313E-01,1.21311,0.220863E-01,1.22055,0.189620E-03,1.24402,800009000,800009000,800009000,800009000,800019000,800119000,811119011,811119011,80111,80111,80,80,0,0,2,11,24,0,0,0.589808E-01,0.433140E-01,0.527677E-02,0.135318E-01,0.319005E-01,0.678454E-02,0.410195E-05,0.111774E-02,0.694295E-03,0.524259E-03,0.450099E-05,33.0000,0.509389,2.97422,0.323193,6181.27,318.827,46.5913,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,02:30,1.1041,0,36000,36000,0.201765E-02,1,0.633544E-03,-0.663534,1,0.153465,0.920645,1,0.238234,0.204374E-01,1,0.528857E-02,-0.626630E-02,2,0.328195E-02,0.216791E-03,1,0.307767E-04,-0.277332,-0.369882,-0.821103E-02,0.273263E-02,0.308721E-04,0.109782E-11,0.551488E-12,0.590089E-13,255.516,6.02374,6.06024,7.00000,0,0.128358,3.02601,3.04435,1.85000,0,0.137342E-01,0.323782,0.325744,2.00000,0,273.799,273.277,96559.5,1.22818,1008.41,0.235748E-01,0.132435E-02,0.460440E-02,580.693,615.018,0.374896E-02,94.4188,34.3253,272.452,0.384379,0.448289,0.266679E-01,0.591119,0.161480E-13,0.429648E-14,0.591119,1.38845,138.789,49.3890,2.58574,-9999,0.405314E-01,0.480303E-01,8.52922,0.235661,-0.720727,0.132182E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.198067E-02,1.01867,-0.606328,1.03685,0.617487,1.49095,0.137076E-01,1.49095,-0.414452E-02,1.51195,0.137247E-03,1.57957,800009000,800119000,800009000,800009000,800009000,800009000,811119011,811119011,80100,80100,80,81,0,3,3,16,24,0,0,0.664061E-01,0.281668E-01,0.148783E-02,0.961315E-02,0.151689E-01,0.969150E-02,0.426299E-05,-0.489563E-03,0.323154E-03,-0.982973E-04,0.325514E-05,33.0000,0.508972,3.02581,0.323778,6171.10,318.828,46.5925,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,03:00,1.1249,0,36000,36000,-0.342063E-01,1,0.505489E-02,-3.55318,1,1.00886,4.79521,1,0.883695,0.106438,1,0.196151E-01,0.105601E-01,2,0.119163E-01,0.123607E-02,1,0.237517E-03,-0.182988,-0.343790,-0.763102E-02,-0.124823E-02,0.872063E-04,0.860671E-11,0.439556E-11,0.476470E-12,249.472,5.87859,5.91336,0.450000,0,0.127408,3.00227,3.02003,5.00000,0,0.138108E-01,0.325440,0.327365,1.75000,0,273.676,273.167,96559.5,1.22875,1008.33,0.235642E-01,0.689718E-02,0.449548E-02,566.727,610.114,0.365859E-02,92.8887,43.3871,272.119,0.214337,0.148235,0.240868E-01,0.261714,-0.600513E-13,0.344998E-13,0.261714,1.54386,152.382,34.6677,5.28067,-9999,0.166848,0.141763,111.106,0.180909E-01,-0.740985,0.171883E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.335958E-01,1.01817,-3.24660,1.02402,4.07326,1.17724,0.904131E-01,1.17724,0.894464E-02,1.18061,0.103721E-02,1.19172,800009000,800109000,800009000,800009000,800019000,800019000,811119011,811119011,80101,80101,80,81,12,5,3,4,20,0,0,0.255341,0.227560E-01,0.542881E-02,0.174623E-01,0.144468E-01,0.212822E-02,0.497372E-05,-0.262039E-02,0.213051E-02,0.212018E-03,0.245854E-04,33.0000,0.509167,3.00220,0.325435,6165.76,318.832,46.5978,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,03:30,1.1458,0,36000,36000,-0.886391E-02,0,0.138477E-02,2.85343,0,0.305511,-1.72701,1,0.600319,-0.383152E-01,1,0.133186E-01,-0.309632E-02,1,0.740685E-02,0.784476E-03,0,0.245335E-03,-0.855782,-0.604485E-01,-0.134110E-02,0.926041E-03,-0.908827E-04,-0.118610E-11,-0.611955E-12,-0.655989E-13,248.862,5.85313,5.88759,3.95000,0,0.128397,3.01985,3.03763,0.750000,0,0.137636E-01,0.323715,0.325621,2.00000,0,273.158,272.652,96559.5,1.23108,1008.31,0.235196E-01,-0.248282E-02,0.448450E-02,564.277,587.669,0.364274E-02,96.0196,23.3915,272.060,-0.998508,-0.204979,0.536831E-01,1.02074,-0.559846E-14,-0.476610E-14,1.02074,1.82439,355.686,191.601,3.01470,-9999,0.848536E-01,0.549883E-01,-18.1980,-0.110451,-1.65224,-0.270907E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.875260E-02,1.01272,2.72826,1.02015,-1.31562,1.31269,-0.291883E-01,1.31269,-0.233513E-02,1.32597,0.573883E-03,1.36696,800009000,800019000,800009000,800009000,800009000,800009000,810119011,811119011,80011,80011,80,80,3,4,0,6,22,0,0,0.682169E-01,0.314090E-01,0.103506E-01,0.361351E-02,0.132635E-01,0.120050E-02,0.504787E-05,0.219790E-02,-0.686496E-03,-0.552440E-04,0.135768E-04,33.0000,0.509056,3.01981,0.323714,6175.26,318.829,46.5775,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,04:00,1.1666,0,36000,36000,-0.635746E-01,1,0.873767E-02,17.3712,1,2.47626,-12.2065,1,2.04418,-0.270804,1,0.453506E-01,-0.178156,1,0.323651E-01,0.754150E-03,1,0.258993E-03,-0.558502E-01,0.250428,0.555579E-02,0.213512E-02,-0.844888E-04,0.994596E-11,0.510832E-11,0.537661E-12,253.369,5.95860,5.99432,9.35000,0,0.130132,3.06038,3.07873,4.65000,0,0.136967E-01,0.322111,0.324042,1.85000,0,273.134,272.618,96559.5,1.23118,1008.36,0.235175E-01,-0.175481E-01,0.456571E-02,574.425,586.228,0.370840E-02,97.9866,11.8030,272.303,0.110361,-0.186894E-01,0.240819E-01,0.114494,-0.140484E-13,0.392548E-13,0.114494,1.29453,176.023,350.388,12.1419,-9999,0.227238,0.148391,-57.4120,-0.350101E-01,-1.42311,-0.615757E-01,0,50.2903,-7.63175,17.2630,42.9874,65.5585,91.9467,137.753,-0.602642E-01,1.05493,16.0197,1.04771,-10.5193,1.16039,-0.233373,1.16039,-0.153434,1.16112,0.648109E-03,1.16362,800009000,800009000,800009000,800009000,800009000,800019000,811119011,811119011,80001,80001,80,81,2,2,0,10,24,0,0,0.205666,0.757537E-01,0.153630E-01,0.215629E-01,0.162269E-01,0.333332E-02,0.416000E-05,0.129037E-01,-0.548835E-02,-0.362997E-02,0.153331E-04,33.0000,0.509417,3.06022,0.322109,6105.07,318.834,46.5897,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,04:30,1.1874,0,36000,36000,0.678386E-03,1,0.130846E-02,2.34041,1,0.723653,0.382315,1,0.848252,0.848260E-02,1,0.188206E-01,-0.179336E-01,1,0.978568E-02,0.715215E-04,1,0.466567E-04,0.180886,0.366513,0.813200E-02,-0.491745E-03,-0.455250E-04,-0.564516E-12,-0.281752E-12,-0.296659E-13,259.820,6.11303,6.15063,8.40000,0,0.129677,3.05104,3.06981,4.85000,0,0.136538E-01,0.321247,0.323222,2.50000,0,273.256,272.727,96559.5,1.23062,1008.45,0.235280E-01,0.549672E-03,0.468195E-02,589.284,590.899,0.380455E-02,99.7267,1.61497,272.653,-0.733284E-01,0.234325,0.242589E-01,0.246727,-0.770152E-13,-0.217272E-14,0.246727,0.836959,76.8314,107.377,5.64261,-9999,0.234789E-01,0.355061E-01,-0.470046,-4.27618,6.12169,-0.803226E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.657972E-03,1.03103,2.29178,1.03157,0.330316,1.15742,0.732888E-02,1.15742,-0.154607E-01,1.15995,0.612203E-04,1.16826,800009000,800009000,800009000,800009000,800009000,800009000,811119011,811119011,80001,80001,80,81,6,0,0,26,39,0,0,0.327903E-01,0.337391E-01,0.448273E-02,0.294816E-01,0.183047E-01,0.197783E-02,0.430438E-05,0.184670E-02,0.172434E-03,-0.365992E-03,0.144924E-05,33.0000,0.510194,3.05132,0.321245,6019.71,318.844,46.5994,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,05:00,1.2082,0,36000,36000,-0.543137E-02,1,0.976983E-03,8.58266,0,0.920905,-0.926718,2,1.09910,-0.205676E-01,2,0.243935E-01,0.333700E-01,1,0.153732E-01,-0.118005E-03,2,0.205062E-03,0.514852,0.401774,0.891698E-02,-0.354065E-02,-0.104857E-04,-0.583711E-12,-0.277216E-12,-0.298283E-13,266.708,6.28258,6.32230,0.250000,0,0.126665,2.98372,3.00259,1.90000,0,0.136291E-01,0.321047,0.323077,3.10000,0,273.582,273.037,96559.5,1.22914,1008.55,0.235560E-01,-0.133278E-02,0.480608E-02,605.596,604.395,0.391011E-02,100.000,0.00000,273.028,0.161956,0.225993,0.206125E-01,0.278796,-0.990927E-13,-0.218858E-14,0.278796,0.869080,141.187,54.3730,4.23997,-9999,0.664743E-01,0.637205E-01,-2.90907,-0.690943,-9.26135,-0.104153,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.528146E-02,1.02838,8.30581,1.02982,-0.798322,1.16083,-0.177180E-01,1.16083,0.286721E-01,1.16385,-0.100540E-03,1.17371,800009000,800009000,800009000,800009000,800019000,800019000,811119011,811119011,80110,80110,80,81,0,2,0,23,48,0,0,0.195067E-01,0.100103,0.783167E-02,0.265621E-01,0.299409E-01,0.333014E-02,0.494218E-05,0.670015E-02,-0.417364E-03,0.679662E-03,-0.238328E-05,33.0000,0.509417,2.98377,0.321048,5988.07,318.853,46.5809,0.950000,3.00000
CH-CHA_202201010100.csv,2022-01-01,05:30,1.2291,0,36000,36000,-0.225826E-01,1,0.305873E-02,9.16198,1,0.987456,4.70412,1,1.40732,0.104401,1,0.312333E-01,-0.187237E-01,1,0.152166E-01,-0.616701E-03,1,0.223594E-03,-0.368232E-01,0.467196,0.103687E-01,-0.330858E-02,-0.577508E-04,-0.111232E-11,-0.501390E-12,-0.549228E-13,275.082,6.47973,6.52199,8.65000,0,0.123997,2.92082,2.93986,5.00000,0,0.135827E-01,0.319949,0.322036,4.55000,0,273.577,273.015,96559.5,1.22915,1008.65,0.235556E-01,0.676518E-02,0.495698E-02,624.560,603.417,0.403286E-02,100.000,0.00000,273.453,0.891043E-01,0.849638E-01,0.314389E-01,0.127070,-0.500027E-13,-0.404358E-14,0.127070,0.886228,130.645,43.6374,14.3245,-9999,0.135545,0.715835E-01,-23.1042,-0.869970E-01,1.94765,-0.545204E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.214903E-01,1.05083,9.01532,1.04492,4.06257,1.15792,0.901627E-01,1.15792,-0.161580E-01,1.15879,-0.530834E-03,1.16176,800009000,800009000,800009000,800009000,800019000,800019000,811119011,811119011,80100,80100,80,81,0,1,0,52,48,0,0,0.476277E-01,0.818050E-01,0.137343E-01,0.342267E-01,0.165169E-01,0.127682E-02,0.526552E-05,0.727169E-02,0.212384E-02,-0.383088E-03,-0.125855E-04,33.0000,0.509028,2.92070,0.319946,5895.56,318.873,46.5711,0.950000,3.00000
