file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
CH-CHA_200812312300.csv,2008-12-31,23:30,366.979,0,36000,36000,4.20453,1,0.252798E-01,2012.86,0,22.0456,-9999,-9999,-9999,-10.6847,1,21.3385,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.272992E-08,-9999,18.0163,418.780,418.780,0.150000,0,-9999,-9999,-9999,-9999,1,271.920,273.401,97789.0,1.24309,1008.60,0.232445E-01,-9999,0.491870E-02,620.615,620.621,0.395682E-02,99.9990,0.620621E-02,273.365,2.06626,-0.117165,-0.306231,2.05848,-0.286905E-12,-0.151525E-12,2.05848,14.3454,203.708,356.102,-8.55542,-9999,1.83911,4.05362,-265.066,-0.758303E-02,-9999,0.872941,0,35.3456,-5.36384,12.1330,30.2129,46.0766,64.6231,96.8172,4.16013,1.01067,1971.46,1.02100,-9999,-9999,-104.243,1.11737,-9999,-9999,811010099,800100199,800000099,800101199,800000199,811110199,800000199,800000199,81000,81000,81,81,1180,827,11,774,37,0,3.36253,2.34044,2.40430,3.63047,0.208066,-9999,1.57242,-0.104243,-9999,16.0000,7.66111,255.000,93.7500,2.57543,97789.4,1.17456
CH-CHA_200812312300.csv,2009-01-01,00:00,1.000,0,36000,36000,0.320214,1,0.480837E-01,544.084,1,170.819,-9999,-9999,-9999,235.638,1,74.7204,-9999,-9999,-9999,0.101247E-01,334.037,4.65227,7.41622,0.163766E-08,-9999,21.5710,498.796,498.796,0.150000,0,-9999,-9999,-9999,-9999,1,263.835,273.407,98303.0,1.24962,1008.57,0.231235E-01,-9999,0.492039E-02,620.841,620.891,0.393752E-02,99.9920,0.496713E-01,273.370,1.97511,-0.730598,-0.914342,2.29562,-0.889739E-14,0.759193E-13,2.29562,4.89120,203.722,339.702,-23.4718,-9999,0.506212,0.547001,-20.5257,-0.979261E-01,-9999,0.852805,0,36.7904,-5.58308,12.6289,31.4479,47.9600,67.2645,100.775,0.316823,1.01070,532.565,1.02163,-9999,-9999,178.343,1.13028,-9999,-9999,800000099,800000099,800000099,800101199,800001199,800001199,800110199,800110199,80000,80000,81,80,139,122,107,20,21,21,0.715765,0.213448,0.164790,18.3062,4.90990,-9999,0.422559,0.178343,-9999,16.0000,0.456667,254.983,93.6455,2.58459,97797.1,1.17437
CH-CHA_200812312300.csv,2009-01-01,00:30,1.020,0,36000,36000,-0.162782,1,0.194353E-01,298.747,1,96.0563,-9999,-9999,-9999,39.9503,2,58.7815,-9999,-9999,-9999,0.670744E-02,-452.015,-3.57018,-10.0356,-0.680880E-10,-9999,18.7800,437.003,437.003,0.250000,1,-9999,-9999,-9999,-9999,1,264.801,273.411,97687.0,1.24175,1008.60,0.232696E-01,-9999,0.492204E-02,621.058,621.071,0.396380E-02,99.9980,0.124214E-01,273.375,-0.577436E-01,-0.210543,0.720576E-01,0.229902,-0.114493E-12,-0.362556E-14,0.229902,3.45652,313.771,254.663,18.2659,-9999,0.362065,0.274354,-13.6169,-0.147611,-9999,0.658817,0,29.4925,-4.47561,10.1238,25.2098,38.4465,53.9218,80.7847,-0.157631,1.03268,289.294,1.03268,-9999,-9999,22.8747,1.03022,-9999,-9999,800000099,800000199,800000099,800001199,800001199,810101199,801100199,801110199,80100,80100,81,81,20,27,16,2,14,4,0.194303,0.211004,0.143401,7.17720,2.81877,-9999,0.230987,0.228747E-01,-9999,16.0000,6.62889,254.835,92.7182,2.61216,97798.0,1.17431
CH-CHA_200812312300.csv,2009-01-01,01:00,1.041,0,36000,36000,-0.850547E-01,1,0.896206E-02,-141.522,1,39.4737,-9999,-9999,-9999,-29.9785,1,13.9244,-9999,-9999,-9999,0.318582E-01,-90.7593,1.23391,-2.01506,0.172841E-08,-9999,19.6965,458.361,458.361,0.150000,0,-9999,-9999,-9999,-9999,1,267.578,273.430,97687.0,1.24166,1008.60,0.232712E-01,-9999,0.492823E-02,621.883,621.927,0.396907E-02,99.9930,0.435349E-01,273.393,-0.590753,0.124052,0.200784,0.636117,-0.758113E-13,0.877523E-13,0.636117,2.21145,16.9174,168.140,18.3995,-9999,0.261727,0.195130,10.8578,0.185120,-9999,-0.431771,0,41.5713,-6.30861,14.2701,35.5346,54.1924,76.0057,113.870,-0.836110E-01,1.01727,-136.866,1.03402,-9999,-9999,-19.5036,1.11970,-9999,-9999,800000099,800000099,800000099,800101199,800001199,801001199,801100199,801110199,80000,80000,81,81,11,6,6,14,22,4,0.244024,0.113987,0.322479E-01,8.33581,1.51829,-9999,-0.109288,-0.195036E-01,-9999,16.0000,0.491111,255.000,93.7500,2.72368,97777.6,1.17432
CH-CHA_200812312300.csv,2009-01-01,01:30,1.062,0,36000,36000,-0.698306E-01,1,0.664578E-03,-61.8585,1,24.0683,-58.6854,1,10.5781,-12.8517,2,3.04600,-1.30285,1,0.234841,-0.129145,-0.915731E-01,2.33937,-0.203298E-02,-0.901737E-09,-0.114411E-10,21.4420,498.842,501.876,0.250000,1,272.052,6.32919,6.36951,0.300000,0,267.335,273.353,97687.0,1.24202,1008.58,0.232647E-01,-0.844250E-01,0.490237E-02,618.446,618.464,0.394708E-02,99.9970,0.185539E-01,273.317,-0.653372,-0.568159,0.241581,0.898900,-0.291937E-13,-0.420547E-13,0.898900,2.41392,324.188,221.009,15.5900,-9999,0.237114,0.291685,18.4710,0.108819,1.05407,-0.208258,0,34.5646,-5.24531,11.8649,29.5453,45.0584,63.1951,94.6777,-0.688503E-01,1.01424,-63.0562,1.02852,-50.6401,1.10782,-7.37849,1.12872,-1.12424,1.10782,800000099,800000099,800000099,800100099,800000099,801000099,800010199,801110199,80000,80000,80,81,11,27,0,1,15,35,0.128741,0.412516,0.421136E-01,7.65026,0.123928,728.671,-0.503368E-01,-0.737849E-02,-1.12424,16.0000,6.98778,255.000,93.7500,2.53417,97777.9,1.17448
CH-CHA_200812312300.csv,2009-01-01,02:00,1.083,0,36000,36000,-0.127546,1,0.136994E-01,-220.839,1,53.4976,408.322,1,69.2690,119.049,1,20.8317,9.06568,1,1.53793,0.129138,0.881628E-01,-2.01408,0.195741E-02,0.135948E-08,0.186437E-10,19.9428,463.988,464.788,0.350000,0,273.492,6.36307,6.40381,0.250000,1,268.606,273.430,97709.0,1.24194,1008.60,0.232660E-01,0.587456,0.492833E-02,621.896,621.927,0.396826E-02,99.9950,0.310963E-01,273.394,-0.464199,0.201613,0.188857,0.540150,-0.518435E-13,0.681692E-13,0.540150,2.76284,51.6861,156.521,20.4652,-9999,0.320466,0.366841,12.7751,0.157338,-0.540844,-0.550140,0,40.5184,-6.14883,13.9087,34.6345,52.8199,74.0806,110.986,-0.125497,1.01633,-193.283,1.03105,385.256,1.07374,117.385,1.08788,8.55356,1.07374,800000099,800000099,800000099,800100199,800000099,800100099,801100199,801110199,81100,81100,80,81,23,14,2,10,3,53,0.266999,0.415086,0.515971E-01,8.02855,0.971713,5327.51,-0.154302,0.117385,8.55356,16.0000,0.566667,255.000,93.7500,2.65171,97821.2,1.17517
CH-CHA_200812312300.csv,2009-01-01,02:30,1.104,0,36000,36000,-0.105533,1,0.135869E-01,44.6595,2,50.6223,-9999,-9999,-9999,51.0304,1,10.5815,-9999,-9999,-9999,-0.100652E-01,42.4250,-2.17437,0.941926,0.432519E-09,-9999,18.3304,426.369,426.369,0.100000,0,-9999,-9999,-9999,-9999,1,269.843,273.424,97731.0,1.24225,1008.60,0.232602E-01,-9999,0.492649E-02,621.650,621.656,0.396579E-02,99.9990,0.621656E-02,273.388,-0.202074,0.466941,0.165488,0.535082,0.224536E-12,0.235957E-13,0.535082,2.49275,75.5033,113.408,18.0156,-9999,0.291467,0.425121,-47.5353,-0.422844E-01,-9999,0.122292,0,42.0072,-6.37475,14.4197,35.9071,54.7606,76.8025,115.064,-0.103652,1.01815,43.6492,1.02314,-9999,-9999,46.8537,1.03814,-9999,-9999,800000099,800000199,800000099,800100199,800000199,800000199,800100099,811110099,80000,80000,80,81,39,18,19,9,3,0,0.250197,0.561116,0.389301E-01,6.68719,0.334786,-9999,0.348377E-01,0.468537E-01,-9999,16.0000,6.83667,255.000,93.7500,2.65297,97875.8,1.17830
CH-CHA_200812312300.csv,2009-01-01,03:00,1.124,0,36000,36000,-0.620734E-01,1,0.113463E-01,52.7981,1,43.5540,-9999,-9999,-9999,-0.776351,2,11.4093,-9999,-9999,-9999,0.117475E-01,-4.63452,1.81846,-0.102897,0.245772E-09,-9999,19.6904,457.818,457.818,0.250000,1,-9999,-9999,-9999,-9999,1,268.526,273.431,97773.0,1.24275,1008.60,0.232508E-01,-9999,0.492882E-02,621.959,621.972,0.396606E-02,99.9980,0.124394E-01,273.395,0.135654,0.422726,0.141961,0.466070,-0.291721E-13,0.124818E-13,0.466070,2.15729,108.848,72.2093,17.7336,-9999,0.223491,0.141814,-18.1326,-0.110850,-9999,0.188475,0,41.1231,-6.24059,14.1162,35.1514,53.6082,75.1862,112.643,-0.608655E-01,1.01985,51.5495,1.02422,-9999,-9999,-3.67960,1.03536,-9999,-9999,800000099,800000199,800000099,800100199,800000199,800000199,800100099,801110099,81000,81000,81,80,15,9,7,13,13,0,0.200864,0.586642E-01,0.240988E-01,7.85059,0.484459,-9999,0.411265E-01,-0.367960E-02,-9999,16.0000,0.237530E-05,255.000,93.7500,2.67006,97925.0,1.17951
CH-CHA_200812312300.csv,2009-01-01,03:30,1.145,0,36000,36000,-0.646097E-01,1,0.102928E-01,6.86106,2,37.2083,-9999,-9999,-9999,-2.04356,2,5.68364,-9999,-9999,-9999,0.251829E-01,-44.3389,-0.234411E-01,-0.984438,0.893536E-09,-9999,19.6805,457.412,457.412,0.250000,1,-9999,-9999,-9999,-9999,1,266.980,273.446,97816.0,1.24322,1008.61,0.232419E-01,-9999,0.493391E-02,622.636,622.648,0.396864E-02,99.9980,0.124530E-01,273.410,0.335466E-01,0.236097,0.140786,0.276925,-0.114401E-12,0.454021E-13,0.276925,1.53922,106.363,81.9131,30.5565,-9999,0.227968,0.144425,-148.137,-0.135685E-01,-9999,0.240020E-01,0,34.5059,-5.23640,11.8448,29.4951,44.9819,63.0878,94.5170,-0.628180E-01,1.02852,6.66182,1.02991,-9999,-9999,-2.36586,1.03023,-9999,-9999,800000099,800000199,800000099,800000199,800000199,800010199,801100099,801110099,81000,81000,80,81,13,10,13,22,0,0,0.105488,0.144812,0.385502E-01,6.35942,0.762439E-01,-9999,0.531279E-02,-0.236586E-02,-9999,16.0000,7.28333,255.000,93.7500,2.77749,97955.3,1.17969
