file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
CH-CHA_200908281951.csv,2009-08-28,20:30,240.854,0,36000,36000,-0.550288E-02,1,0.185478E-02,-0.734023,2,1.16191,4.86458,1,2.66507,10.1862,1,3.64895,0.109932,1,0.602266E-01,-9999,-9999,-9999,-9999,-0.166908E-09,-0.756322E-11,17.9693,448.328,460.421,0.250000,1,814.256,20.3154,20.7366,0.250000,1,303.264,291.923,97278.0,1.15201,1016.74,0.249496E-01,0.712362E-02,0.146729E-01,1976.77,2159.88,0.127368E-01,91.5220,183.115,290.478,-0.140196,0.246136,0.275971E-01,0.284604,-0.432956E-13,-0.928850E-14,0.284604,1.46325,49.2230,119.665,5.56453,-9999,0.691142E-01,0.192689,38.5390,0.521550E-01,-0.150891,-0.906729E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.540896E-02,1.01736,-0.414217,1.02458,4.76110,1.01722,10.0003,1.01752,0.107594,1.01722,800000099,800000099,800000099,800000099,800000099,800000099,811110199,811110199,81100,81100,80,81,0,3,1,10,11,0,0.120231,0.261263,0.388325E-02,0.578100E-01,0.820367,254.830,-0.353642E-03,0.100003E-01,0.107594,16.0000,7.48444,250.297,64.3576,21.3825,97277.5,1.74824
CH-CHA_200908281951.csv,2009-08-28,21:00,240.875,0,36000,36000,-0.174276E-01,1,0.313195E-02,-1.13178,2,1.62131,9.28130,1,3.66195,20.4180,1,5.19272,0.209700,1,0.827374E-01,-0.340638,0.579056,0.492838,0.130831E-01,-0.334228E-09,-0.150198E-10,18.3528,457.465,469.877,0.250000,1,824.752,20.5579,20.9894,0.250000,1,303.067,291.706,97297.0,1.15298,1016.88,0.249262E-01,0.135885E-01,0.148620E-01,2000.76,2130.76,0.128901E-01,93.8990,129.998,290.669,-0.300161E-01,0.316157,0.288075E-01,0.318882,-0.116236E-12,-0.182113E-13,0.318882,1.41372,87.8614,95.4234,5.18311,-9999,0.122944,0.165517,140.717,0.142840E-01,-0.121942,-0.785170E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.171478E-01,1.01632,-0.530288,1.02236,9.06728,1.01588,20.0588,1.01615,0.204864,1.01588,800000099,800000099,800000099,800000099,800000099,801010099,811110199,811110199,81100,81100,80,81,0,0,0,3,0,0,0.237483,0.898549E-01,0.369499E-02,0.698910E-01,1.29418,383.913,-0.452296E-03,0.200588E-01,0.204864,16.0000,0.00000,250.418,65.1127,21.1864,97299.4,1.74152
CH-CHA_200908281951.csv,2009-08-28,21:30,240.896,0,36000,36000,-0.242233E-01,1,0.661965E-02,-9.49354,1,4.88158,32.7845,1,17.5228,18.7640,1,8.85618,0.740719,1,0.395903,-0.172668E-01,-1.32074,-1.18855,-0.298402E-01,-0.896113E-10,-0.411696E-11,17.4700,435.431,446.886,0.150000,0,802.614,20.0047,20.4131,0.150000,0,303.228,291.695,97300.0,1.15330,1016.56,0.249245E-01,0.479986E-01,0.144631E-01,1946.98,2129.29,0.125406E-01,91.4380,182.310,290.238,0.214027E-01,0.279193,0.251510E-01,0.281140,-0.174613E-12,-0.512944E-14,0.281140,3.86597,99.6634,85.6163,5.13258,-9999,0.144926,0.419930,27.4765,0.731534E-01,-0.289574,-0.558736E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.238020E-01,1.01770,-7.21485,1.02661,32.4780,1.01960,18.5559,1.01997,0.733793,1.01960,800000099,800000099,800000099,800000099,800100199,800110199,811110199,811110199,81100,81100,80,81,1,0,1,0,2,0,0.449112,0.378235,0.125142E-01,0.268499,1.31027,2387.89,-0.615392E-02,0.185559E-01,0.733793,16.0000,7.48111,250.134,63.3359,21.0551,97299.9,1.74355
CH-CHA_200908281951.csv,2009-08-28,22:00,240.917,0,36000,36000,-0.622471E-02,1,0.951117E-03,4.96340,1,1.09390,-4.16244,1,2.84393,1.03758,2,4.55063,-0.940444E-01,1,0.642545E-01,0.00000,1.17529,1.33372,0.265539E-01,-0.200022E-09,-0.890968E-11,18.4624,460.156,472.613,0.250000,1,822.381,20.4970,20.9259,0.250000,1,302.787,291.695,97302.0,1.15311,1016.84,0.249240E-01,-0.609408E-02,0.148193E-01,1994.93,2129.29,0.128516E-01,93.6900,134.358,290.623,-0.232335,0.751212E-01,0.155667E-01,0.244674,-0.354096E-13,-0.108340E-13,0.244674,0.881022,31.8070,162.082,3.64775,-9999,0.734724E-01,0.852742E-01,-6.84841,-0.293499,-1.19243,0.576145E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.603628E-02,1.03122,4.55316,1.03170,-4.49836,1.02378,0.793925,1.02395,-0.101634,1.02378,800000099,800100099,800000099,800000099,800000099,810000099,811110199,811110199,81100,81100,80,81,0,0,4,0,10,0,0.457545E-01,0.122894,0.189935E-02,0.656805E-01,2.19867,498.446,0.388320E-02,0.793925E-03,-0.101634,16.0000,0.00000,250.404,65.0229,20.9812,97300.0,1.73789
CH-CHA_200908281951.csv,2009-08-28,22:30,240.937,0,36000,36000,-0.165992E-01,1,0.255341E-02,3.73104,1,1.44284,-2.29981,1,2.59299,3.38875,1,5.65516,-0.519430E-01,1,0.585645E-01,-0.564295,-0.170846,0.800667E-01,-0.385869E-02,0.376283E-11,0.166489E-12,18.5455,461.638,474.046,0.300000,0,820.558,20.4256,20.8515,0.250000,1,302.583,291.336,97306.0,1.15461,1016.79,0.248923E-01,-0.336591E-02,0.147865E-01,1988.06,2081.89,0.128064E-01,95.4930,93.8309,290.568,-0.252397,0.113229,0.247569E-01,0.277737,-0.827415E-13,0.202897E-15,0.277737,2.11542,49.9698,155.838,5.11402,-9999,0.119902,0.221335,-39.5957,-0.507631E-01,-1.62232,0.265055E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.161398E-01,1.02846,3.48020,1.02987,-2.58946,1.02305,3.13750,1.02325,-0.584849E-01,1.02305,800000099,800000099,800000099,800000099,800000099,800010199,811110199,811110199,80000,80000,80,81,1,0,2,7,0,1,0.161472,0.275300,0.589918E-02,0.668517E-01,1.18647,395.417,0.296440E-02,0.313750E-02,-0.584849E-01,16.0000,7.16000,250.402,65.0156,20.8161,97300.1,1.73155
CH-CHA_200908281951.csv,2009-08-28,23:00,240.958,0,36000,36000,-0.360700E-02,1,0.459578E-03,-0.463758,1,0.216384,2.80424,1,1.30069,1.71170,1,0.791677,0.633289E-01,1,0.293739E-01,-0.177700,0.371819,1.02014,0.839689E-02,0.381329E-10,0.163326E-11,19.3122,480.518,493.524,0.250000,1,827.156,20.5810,21.0134,0.250000,1,302.360,291.223,97310.0,1.15504,1016.87,0.248816E-01,0.410371E-02,0.149053E-01,2003.27,2067.17,0.129046E-01,96.9090,63.8961,290.689,0.122440,0.364790,0.319285E-01,0.386112,0.104672E-12,0.197455E-14,0.386112,0.953782,115.948,71.4459,4.74333,-9999,0.558825E-01,0.812016E-01,32.2522,0.623214E-01,-0.165378,-0.706565E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.355317E-02,1.01515,-0.280157,1.02402,2.73566,1.02212,1.66978,1.02256,0.617801E-01,1.02212,800000099,800100099,800000099,800000099,800010099,800010099,811110199,811110199,80000,80000,80,81,0,3,2,4,2,0,0.409771E-01,0.120233,0.119262E-02,0.114963E-01,1.05765,262.142,-0.238526E-03,0.166978E-02,0.617801E-01,16.0000,1.45000,250.394,64.9639,20.7263,97307.8,1.72675
CH-CHA_200908281951.csv,2009-08-28,23:30,240.979,0,36000,36000,-0.294358E-02,1,0.129769E-02,-0.947899,2,0.440734,9.49025,1,3.70276,17.9292,1,5.89397,0.214271,1,0.836012E-01,-0.376152,-0.929569,-0.355907E-01,-0.209879E-01,-0.104934E-09,-0.441571E-11,19.3030,479.860,492.633,0.250000,1,812.284,20.1929,20.6090,0.250000,1,302.185,290.984,97317.0,1.15624,1016.65,0.248594E-01,0.138848E-01,0.146374E-01,1965.64,2036.32,0.126594E-01,96.5290,70.6806,290.389,-0.131045,0.296091,0.230431E-01,0.324613,0.117264E-13,-0.543616E-14,0.324613,1.13256,89.2203,113.873,4.07063,-9999,0.504561E-01,0.115131,11.6143,0.173063,-0.998813E-01,-0.159819E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.289515E-02,1.01673,-0.339582,1.02653,9.19292,1.02234,17.4817,1.02278,0.207558,1.02234,800000099,800100099,800000099,800000099,800010099,800010099,811110199,811110199,80000,80000,80,81,6,0,0,11,7,11,0.101582,0.126469,0.221038E-02,0.204281E-01,2.81132,565.612,-0.288884E-03,0.174817E-01,0.207558,16.0000,5.08778,250.111,63.1960,20.6176,97316.9,1.72306
CH-CHA_200908282300.csv,2009-08-29,00:00,241.000,0,36000,36000,0.281766E-02,1,0.619654E-03,0.815710,2,0.423227,-3.53221,2,2.50197,-3.12039,2,3.70893,-0.797410E-01,2,0.564829E-01,-0.193654,-0.107895,0.346115,-0.243577E-02,0.122370E-09,0.507036E-11,19.5676,486.257,499.146,0.250000,1,810.774,20.1479,20.5621,0.250000,1,301.929,290.861,97312.0,1.15669,1016.63,0.248502E-01,-0.516722E-02,0.146101E-01,1961.15,2020.60,0.126310E-01,97.0580,59.4461,290.352,-0.482255E-01,0.407696,0.206781E-01,0.411059,-0.519817E-13,0.625373E-14,0.411059,1.02728,85.9800,96.7460,2.88344,-9999,0.493555E-01,0.609712E-01,-12.6318,-0.159122,-0.230934,0.140547E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.275811E-02,1.02159,0.578441,1.02535,-3.46763,1.02280,-3.05769,1.02309,-0.782831E-01,1.02280,800000099,800100099,800000099,800000099,800000099,800010099,811110199,811110199,80000,80000,80,81,0,0,1,1,1,0,0.360753E-01,0.842718E-01,0.159516E-02,0.159355E-01,1.62578,425.090,0.491906E-03,-0.305769E-02,-0.782831E-01,16.0000,4.96889,250.080,62.9977,20.4906,97309.2,1.71854
CH-CHA_200908282300.csv,2009-08-29,00:30,241.021,0,36000,36000,0.182039E-02,2,0.103172E-02,-1.87052,0,0.305329,14.3473,1,3.86925,15.1487,1,4.31542,0.323849,1,0.873370E-01,-0.241000,-0.236710E-01,0.133417,-0.534304E-03,-0.803163E-10,-0.330947E-11,19.6761,488.722,501.661,0.250000,1,810.762,20.1380,20.5519,0.250000,1,301.721,290.708,97307.0,1.15724,1016.62,0.248384E-01,0.209854E-01,0.146099E-01,1960.09,2001.20,0.126248E-01,97.9460,41.1046,290.344,0.185725,0.405271,0.222053E-01,0.446353,0.705898E-13,-0.408192E-14,0.446353,1.38989,115.189,65.3792,2.85154,-9999,0.396615E-01,0.873614E-01,2.85840,0.703191,-0.130374,-0.400877E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.177744E-02,1.02416,-0.945188,1.04771,13.2993,1.07185,14.0651,1.07344,0.300192,1.07185,800000099,800000099,800000099,800000099,800000099,800000099,811110199,811110199,81100,81100,80,81,0,0,0,0,5,10,0.966364E-01,0.745558E-01,0.353095E-02,0.714615E-02,1.60088,587.675,-0.803409E-03,0.140651E-01,0.300192,16.0000,1.72222,250.125,63.2806,20.3559,97301.2,1.71421
