file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
CH-CHA_200912312300.csv,2009-12-31,23:30,365.979,0,36000,36000,-0.905093E-02,1,0.797870E-03,-1.43625,1,0.664313,-9999,-9999,-9999,5.11138,1,2.41712,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.292587E-10,-9999,33.6632,810.225,810.225,0.300000,1,-9999,-9999,-9999,-9999,1,283.533,274.328,94761.0,1.20023,1008.96,0.240686E-01,-9999,0.524156E-02,663.594,663.594,0.436712E-02,100.000,0.00000,274.292,0.163614,-0.123668,0.907708E-02,0.205295,0.198014E-13,0.869160E-15,0.205295,1.10227,222.759,322.916,2.53415,-9999,0.868387E-01,0.116830,38.2429,0.525588E-01,-9999,-0.136577E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.886763E-02,1.02067,-1.39734,1.02785,-9999,-9999,5.17038,1.01674,-9999,-9999,800000099,800100199,800000099,800000199,800000199,810001199,811110099,811110099,81000,81000,80,81,0,0,2,1,22,0,0.530086E-01,0.179380,0.127221E-02,0.454129E-01,0.821345,-9999,-0.115387E-02,0.517038E-02,-9999,16.0000,0.00000,255.000,93.7500,3.57925,94761.1,1.20371
CH-CHA_200912312300.csv,2010-01-01,00:00,1.000,0,36000,36000,0.257543E-02,1,0.695095E-03,0.170089,2,0.299547,-9999,-9999,-9999,-0.356413,2,0.730216,-9999,-9999,-9999,0.299633,-1003.42,-2.74763,-22.3011,-0.230246E-09,-9999,31.5826,760.983,760.983,0.300000,1,-9999,-9999,-9999,-9999,1,283.889,274.513,94721.0,1.19887,1009.03,0.240950E-01,-9999,0.530816E-02,672.479,672.479,0.442762E-02,100.000,0.00000,274.477,0.264917,0.382502,0.211501E-01,0.465764,-0.120858E-12,-0.729029E-14,0.465764,1.13270,123.321,55.2939,2.60267,-9999,0.463487E-01,0.705940E-01,-49.0858,-0.409487E-01,-9999,0.303365E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.252529E-02,1.01985,0.166066,1.02423,-9999,-9999,-0.363883,1.02393,-9999,-9999,800000099,800100199,800000099,800000199,800000199,800100199,811110099,811110099,81000,81000,80,81,0,0,2,10,13,0,0.749506E-01,0.649067E-01,0.133097E-02,0.290273E-01,0.265504,-9999,0.137280E-03,-0.363883E-03,-9999,16.0000,0.00000,255.000,93.7500,4.10174,94759.4,1.20827
CH-CHA_200912312300.csv,2010-01-01,00:30,1.020,0,36000,36000,-0.775120E-02,1,0.112015E-02,1.22766,2,0.442875,-9999,-9999,-9999,2.20287,1,0.541100,-9999,-9999,-9999,0.816320,-2720.44,-0.545299E-01,-60.4910,-0.199057E-09,-9999,31.4787,760.004,760.004,0.300000,1,-9999,-9999,-9999,-9999,1,284.182,275.018,94705.0,1.19635,1009.18,0.241434E-01,-9999,0.549375E-02,697.271,697.271,0.459208E-02,100.000,0.00000,274.982,0.179527,0.250574,0.569194E-02,0.308301,-0.152785E-12,-0.632353E-14,0.308301,1.69959,135.104,54.3798,1.05787,-9999,0.804925E-01,0.226310,-35.6188,-0.564309E-01,-9999,0.126327E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.755182E-02,1.02640,1.19364,1.02850,-9999,-9999,2.03947,1.02305,-9999,-9999,800000099,800110199,800000099,800000199,800000199,800100199,811110099,811110099,81000,81000,80,81,1,0,3,1,0,0,0.183128,0.267322,0.216946E-02,0.173768E-01,0.179276,-9999,0.988661E-03,0.203947E-02,-9999,16.0000,0.00000,255.000,93.7500,4.54833,94720.3,1.21403
CH-CHA_200912312300.csv,2010-01-01,01:00,1.041,0,36000,36000,-0.474811E-02,1,0.847481E-03,-0.731680,1,0.199506,-9999,-9999,-9999,2.06101,1,0.660492,-9999,-9999,-9999,0.750214,-2587.50,-0.655966,-57.5604,-0.864349E-10,-9999,30.9287,748.200,748.200,0.300000,1,-9999,-9999,-9999,-9999,1,284.546,275.483,94678.0,1.19388,1009.31,0.241911E-01,-9999,0.566963E-02,720.811,720.811,0.474892E-02,100.000,0.00000,275.447,0.343659,0.170638,0.151029E-01,0.383988,-0.853784E-13,-0.279465E-14,0.383988,1.63747,148.621,26.4059,2.25412,-9999,0.630638E-01,0.156692,28.7370,0.699447E-01,-9999,-0.962840E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.467423E-02,1.01580,-0.712840,1.02643,-9999,-9999,2.07288,1.02716,-9999,-9999,800000099,800010199,800000099,800000199,800000199,800100199,811110099,811110099,81000,81000,80,81,1,2,1,2,1,0,0.829774E-01,0.227644,0.276283E-02,0.577991E-02,0.866449E-01,-9999,-0.591567E-03,0.207288E-02,-9999,16.0000,0.00000,255.000,93.7500,4.92423,94700.2,1.21990
CH-CHA_200912312300.csv,2010-01-01,01:30,1.062,0,36000,36000,-0.362639E-02,1,0.825348E-03,0.460522,1,0.148834,-9999,-9999,-9999,0.901473,2,0.405209,-9999,-9999,-9999,0.135445,-492.979,-0.562151,-10.9675,-0.282040E-10,-9999,30.4927,738.080,738.080,0.300000,1,-9999,-9999,-9999,-9999,1,284.608,275.567,94652.0,1.19317,1009.34,0.242051E-01,-9999,0.570193E-02,725.138,725.138,0.477882E-02,100.000,0.00000,275.531,-0.172614,0.334917,0.444278E-02,0.376809,0.357234E-14,-0.924943E-15,0.376809,1.17405,68.6822,117.266,0.675564,-9999,0.551299E-01,0.644418E-01,-30.4968,-0.659086E-01,-9999,0.693620E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.354513E-02,1.02292,0.448759,1.02621,-9999,-9999,0.839814,1.02304,-9999,-9999,800000099,800110099,800000099,800000199,800000199,800010199,811110199,811110199,81000,81000,80,81,0,0,0,19,3,0,0.646532E-01,0.620707E-01,0.215956E-02,0.319263E-02,0.893950E-01,-9999,0.372625E-03,0.839814E-03,-9999,16.0000,0.00000,255.000,93.7500,5.23582,94689.0,1.22221
CH-CHA_200912312300.csv,2010-01-01,02:00,1.083,0,36000,36000,-0.219503E-02,1,0.757167E-03,0.861639E-01,2,0.122889,-9999,-9999,-9999,7.24623,1,3.47974,-9999,-9999,-9999,0.318964,-1139.27,-3.52075,-25.3505,-0.113629E-09,-9999,27.8447,674.632,674.632,0.150000,0,-9999,-9999,-9999,-9999,1,284.844,275.765,94629.0,1.19197,1009.40,0.242284E-01,-9999,0.577868E-02,735.427,735.427,0.484801E-02,100.000,0.00000,275.729,0.632163,0.194642,0.183043E-01,0.661703,-0.765778E-14,-0.408080E-14,0.661703,1.45890,170.197,17.1135,1.58514,-9999,0.429128E-01,0.563859E-01,-76.8618,-0.261508E-01,-9999,0.166881E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.216060E-02,1.01593,0.843258E-01,1.02180,-9999,-9999,7.04419,1.02766,-9999,-9999,800000099,800010099,800000099,800000199,800000099,800010199,811110199,811110199,81100,81100,80,80,0,6,4,38,0,0,0.875178E-01,0.218753E-01,0.337898E-02,0.114276E-01,1.30213,-9999,0.700856E-04,0.704419E-02,-9999,16.0000,0.00000,255.000,93.7500,5.49184,94665.7,1.22555
CH-CHA_200912312300.csv,2010-01-01,02:30,1.104,0,36000,36000,-0.988706E-02,1,0.150340E-02,-0.622641,1,0.221301,16.9060,2,57.1566,1.98119,1,3.25622,0.376258,2,1.27207,0.334751,0.292667,-5.29893,0.651357E-02,0.754456E-10,0.102764E-11,23.8758,579.045,588.280,0.300000,1,325.210,7.88710,7.94980,0.300000,1,285.090,275.973,94607.0,1.19074,1009.47,0.242523E-01,0.243815E-01,0.586029E-02,746.375,746.375,0.492155E-02,100.000,0.00000,275.937,0.797692E-01,0.942623E-01,0.737056E-02,0.123705,0.495878E-13,0.315992E-14,0.123705,1.02830,148.836,49.7605,3.41581,-9999,0.911223E-01,0.131580,101.823,0.197400E-01,-0.368297E-01,-0.568462E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.939965E-02,1.05185,0.362462,1.04562,16.2584,1.03331,1.74971,1.03337,0.361846,1.03331,800000099,800110099,800000099,800000099,800000099,801011199,811110199,811110199,81100,81100,80,81,1,0,1,19,4,0,0.127382,0.133230,0.254800E-02,0.442778E-02,1.53173,166880.,0.301543E-03,0.174971E-02,0.361846,16.0000,0.00000,255.000,93.7500,5.71081,94663.2,1.22934
CH-CHA_200912312300.csv,2010-01-01,03:00,1.124,0,36000,36000,-0.767530E-02,1,0.158735E-02,-0.694697,1,0.265248,-9999,-9999,-9999,8.52720,1,1.71060,-9999,-9999,-9999,0.112625,-406.656,-3.25762,-9.05111,0.117918E-09,-9999,21.4460,520.264,520.264,0.300000,1,-9999,-9999,-9999,-9999,1,285.180,276.043,94604.0,1.19038,1009.50,0.242592E-01,-9999,0.588798E-02,750.092,750.092,0.494629E-02,100.000,0.00000,276.007,0.148568,0.423216,0.187989E-01,0.448929,0.479521E-13,0.549835E-14,0.448929,1.32034,100.894,70.6566,2.39996,-9999,0.802979E-01,0.137519,62.4487,0.321864E-01,-9999,-0.719944E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.756832E-02,1.01414,-0.679039,1.02306,-9999,-9999,8.36573,1.02467,-9999,-9999,800000099,800110199,800000099,800000199,800010099,801010099,811110199,811110199,81100,81100,80,81,2,7,0,20,3,0,0.166172,0.105622,0.324345E-02,0.557394E-02,0.295155,-9999,-0.565070E-03,0.836573E-02,-9999,16.0000,0.00000,255.000,93.7500,5.79100,94644.0,1.22904
CH-CHA_200912312300.csv,2010-01-01,03:30,1.145,0,36000,36000,-0.676479E-02,1,0.903603E-03,-0.196982,1,0.204725,-9999,-9999,-9999,-1.08101,2,1.23846,-9999,-9999,-9999,0.144795E-01,-54.6662,-1.98729,-1.21674,0.135866E-09,-9999,19.9665,484.403,484.403,0.300000,1,-9999,-9999,-9999,-9999,1,285.356,276.052,94601.0,1.19030,1009.51,0.242608E-01,-9999,0.589154E-02,750.571,750.571,0.494961E-02,100.000,0.00000,276.016,0.136669,-0.845856E-02,0.142531E-01,0.137670,-0.267962E-12,0.680469E-14,0.137670,1.20275,177.045,356.458,5.94252,-9999,0.753873E-01,0.149141,182.250,0.110288E-01,-9999,-0.217451E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.658258E-02,1.02768,-0.191590,1.02815,-9999,-9999,-1.05414,1.01424,-9999,-9999,800000099,800110199,800000099,800000199,800010199,800011199,811110199,811110199,81100,81100,80,81,0,1,0,25,12,0,0.432241E-01,0.252587,0.247138E-02,0.371990E-02,0.128755,-9999,-0.159444E-03,-0.105414E-02,-9999,16.0000,0.00000,254.834,92.7142,5.71995,94606.9,1.22900
