file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
CH-CHA_201212312000.csv,2012-12-31,20:30,366.854,0,36000,36000,0.883777E-02,1,0.140649E-02,2.56343,2,1.13084,-9999,-9999,-9999,18.5438,1,3.77096,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.142488E-10,-9999,16.1144,375.270,375.270,0.300000,1,-9999,-9999,-9999,-9999,1,285.405,271.793,97033.0,1.24377,1005.14,0.232878E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,-0.885480E-01,0.155352,0.101194E-02,0.178819,-0.154522E-12,-0.884229E-15,0.178819,0.929946,81.1028,119.682,0.324242,-9999,0.842950E-01,0.914513E-01,-19.9102,-0.100953,-9999,0.243251E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.850297E-02,1.03937,2.47156,1.03717,-9999,-9999,17.9372,1.02704,-9999,-9999,800000099,800100199,800000099,800000199,800000099,801010099,811110199,811110199,81100,81100,80,81,0,0,1,0,0,0,0.110501,0.711524E-01,0.124899E-02,0.111803,1.25292,-9999,0.197699E-02,0.179372E-01,-9999,15.9981,0.227778,251.620,72.6235,-1.15824,97073.4,1.14829
CH-CHA_201212312000.csv,2012-12-31,21:00,366.875,0,36000,36000,0.673549E-02,1,0.938380E-03,-0.749301,1,0.666071,-9999,-9999,-9999,-10.7515,1,2.46609,-9999,-9999,-9999,-0.502602,-9999,-5.74147,-9999,-0.297163E-10,-9999,11.8586,275.910,275.910,0.300000,1,-9999,-9999,-9999,-9999,1,285.195,271.493,97014.0,1.24490,1005.13,0.232667E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,0.282227,0.281252,0.141917E-02,0.398443,-0.488245E-13,-0.250589E-14,0.398443,1.18427,143.964,44.9009,0.204076,-9999,0.735560E-01,0.453161E-01,45.2509,0.444190E-01,-9999,-0.814104E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.663556E-02,1.01506,-0.731479,1.02436,-9999,-9999,-10.4754,1.02386,-9999,-9999,800000099,800100099,800000099,800000199,800000199,800001199,811110199,811110199,81100,81100,80,81,1,0,0,0,0,0,0.474077E-01,0.421801E-01,0.104447E-02,0.275165E-01,0.549308,-9999,-0.584579E-03,-0.104754E-01,-9999,15.9533,3.74056,254.877,92.9809,-1.34646,97032.5,1.14370
CH-CHA_201212312000.csv,2012-12-31,21:30,366.896,0,36000,36000,0.680120E-02,1,0.111443E-02,1.24360,2,0.549428,-9999,-9999,-9999,-8.15417,1,2.12302,-9999,-9999,-9999,-0.248057,-9999,-0.522935,-9999,0.646547E-10,-9999,11.4747,266.864,266.864,0.300000,1,-9999,-9999,-9999,-9999,1,284.803,271.345,97003.0,1.24543,1005.14,0.232566E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,0.281902,0.517615,0.236828E-01,0.589878,0.158438E-13,0.563454E-14,0.589878,1.44295,124.234,61.4265,2.30097,-9999,0.738979E-01,0.610251E-01,-27.6445,-0.727088E-01,-9999,0.134432E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.668704E-02,1.01707,1.21626,1.02248,-9999,-9999,-7.99048,1.02574,-9999,-9999,800000099,800100099,800000099,800000199,800000099,800000099,811110099,811110099,80100,80100,80,81,1,0,0,14,4,0,0.897050E-01,0.313272E-01,0.101785E-02,0.380956E-01,0.685233,-9999,0.971582E-03,-0.799048E-02,-9999,16.0000,0.184444,255.000,93.7500,-1.55168,97002.3,1.14383
CH-CHA_201212312000.csv,2012-12-31,22:00,366.917,0,36000,36000,0.525928E-02,1,0.777412E-03,-1.25492,1,0.609642,-9999,-9999,-9999,-10.5280,1,3.21759,-9999,-9999,-9999,-0.904805E-01,-9999,3.73262,-9999,0.525038E-10,-9999,14.2477,331.451,331.451,0.100000,0,-9999,-9999,-9999,-9999,1,284.701,271.291,96955.0,1.24507,1005.13,0.232635E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,0.474776,0.310929,0.183821E-01,0.567827,-0.835486E-14,0.368507E-14,0.567827,1.06995,156.339,33.2206,1.85514,-9999,0.649930E-01,0.448068E-01,18.6305,0.107888,-9999,-0.154289E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.518101E-02,1.01511,-1.22029,1.02838,-9999,-9999,-10.0226,1.04518,-9999,-9999,800000099,800100199,800000099,800000199,800000199,800000199,811110099,811110099,80000,80000,80,81,0,0,2,10,1,0,0.441916E-01,0.443562E-01,0.106602E-02,0.271123E-01,1.09839,-9999,-0.975091E-03,-0.100226E-01,-9999,15.9176,4.57333,255.000,93.7500,-1.60981,96954.9,1.14088
CH-CHA_201212312000.csv,2012-12-31,22:30,366.937,0,36000,36000,0.440113E-02,1,0.100619E-02,-2.90300,1,0.997963,-9999,-9999,-9999,11.9626,2,4.22097,-9999,-9999,-9999,-0.159149,-9999,5.99166,-9999,0.477884E-10,-9999,18.7016,435.146,435.146,0.300000,1,-9999,-9999,-9999,-9999,1,284.440,271.196,96903.0,1.24483,1005.13,0.232678E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,0.409771,0.580761,0.310229E-01,0.711448,0.469266E-13,0.255531E-14,0.711448,1.35949,136.105,54.7941,2.49919,-9999,0.594602E-01,0.564023E-01,6.16457,0.326057,-9999,-0.390200E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.430757E-02,1.02172,-2.78074,1.04397,-9999,-9999,10.9611,1.10597,-9999,-9999,800000099,800100199,800000099,800000199,800010199,801010199,811110099,811110099,80000,80000,80,81,9,0,4,6,0,0,0.712991E-01,0.402941E-01,0.121167E-02,0.790037E-01,2.06649,-9999,-0.222241E-02,0.109611E-01,-9999,15.9973,0.138889,255.000,93.7500,-1.73014,96901.0,1.13928
CH-CHA_201212312000.csv,2012-12-31,23:00,366.958,0,36000,36000,0.430913E-02,1,0.105573E-02,-2.68807,1,2.68617,-9999,-9999,-9999,-1.27124,1,2.12962,-9999,-9999,-9999,-0.704627,-9999,4.57388,-9999,0.131180E-09,-9999,22.1309,514.190,514.190,0.300000,1,-9999,-9999,-9999,-9999,1,284.142,270.776,96894.0,1.24665,1005.13,0.232340E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,0.218436,0.288744,0.567861E-02,0.362104,-0.520231E-13,0.592748E-14,0.362104,0.973088,144.673,52.8923,0.898564,-9999,0.587927E-01,0.554700E-01,6.43533,0.312338,-9999,-0.364882E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.421232E-02,1.02298,-2.57442,1.04415,-9999,-9999,-1.04008,1.05368,-9999,-9999,800000099,800100199,800000099,800000199,800000199,800011199,811110199,811110199,81100,81100,80,81,1,2,0,4,0,0,0.429629E-01,0.654925E-01,0.248437E-02,0.243146,0.904968,-9999,-0.205454E-02,-0.104008E-02,-9999,15.9277,3.54667,255.000,93.7500,-1.87867,96895.6,1.13193
CH-CHA_201212312000.csv,2012-12-31,23:30,366.979,0,36000,36000,0.308435E-02,1,0.893466E-03,-0.288708E-01,2,0.186857,-9999,-9999,-9999,-2.03576,1,3.58063,-9999,-9999,-9999,-0.421336,-9999,2.81956,-9999,-0.118219E-10,-9999,24.2407,562.888,562.888,0.300000,1,-9999,-9999,-9999,-9999,1,283.972,270.525,96859.0,1.24736,1005.12,0.232208E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,-0.225797E-01,0.233178,0.162694E-02,0.234274,0.863950E-13,-0.487690E-15,0.234274,0.909560,76.3791,95.5310,0.397901,-9999,0.497263E-01,0.584250E-01,362.434,0.554583E-02,-9999,-0.463086E-03,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.302521E-02,1.01955,-0.281988E-01,1.02383,-9999,-9999,-2.00540,1.01411,-9999,-9999,800000099,800100099,800000099,800000199,800000099,800000199,811110199,811110199,81100,81100,80,81,0,0,0,23,0,0,0.597216E-01,0.557560E-01,0.137241E-02,0.257811E-01,1.64848,-9999,-0.224916E-04,-0.200540E-02,-9999,16.0000,0.150000,255.000,93.7500,-2.04673,96859.0,1.12907
CH-CHA_201212312000.csv,2013-01-01,00:00,1.000,0,36000,36000,0.805194E-02,1,0.143499E-02,16.5947,1,6.81924,-9999,-9999,-9999,-19.2708,1,4.57521,-9999,-9999,-9999,-0.451477,-9999,4.42848,-9999,0.113557E-09,-9999,27.5307,639.388,639.388,0.300000,1,-9999,-9999,-9999,-9999,1,283.142,270.256,96747.0,1.24715,1005.12,0.232246E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,-0.202219,-0.117083,-0.200597E-02,0.233677,0.227404E-12,0.412473E-14,0.233677,1.16220,341.395,210.070,-0.491854,-9999,0.803508E-01,0.124963,-2.65810,-0.756180,-9999,0.164756,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.780009E-02,1.03229,16.0736,1.03242,-9999,-9999,-20.1311,1.02425,-9999,-9999,800000099,800100199,800000099,800000199,800000199,800000199,811110099,811110099,81000,81000,80,81,6,0,1,1,0,0,0.866237E-01,0.161709,0.159311E-02,2.26897,1.35690,-9999,0.128226E-01,-0.201311E-01,-9999,15.9697,2.90944,255.000,93.7500,-2.24393,96802.9,1.12495
CH-CHA_201212312000.csv,2013-01-01,00:30,1.020,0,36000,36000,-0.283478E-02,1,0.841819E-03,-5.91809,1,6.59167,-9999,-9999,-9999,4.93420,1,2.31253,-9999,-9999,-9999,-0.288728,-9999,3.34636,-9999,0.180001E-09,-9999,30.0247,697.184,697.184,0.300000,1,-9999,-9999,-9999,-9999,1,279.722,270.084,96703.0,1.24738,1005.12,0.232204E-01,-9999,-9999,-9999,-9999,-9999,-9999,-999900.,-9999,-0.210552,-0.837069E-01,0.211679E-01,0.227568,-0.252644E-13,0.599511E-14,0.227568,0.770844,0.592182E-01,201.681,5.33726,-9999,0.476718E-01,0.630586E-01,1.55608,1.29171,-9999,-0.990153E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.269309E-02,1.05261,-5.35911,1.10430,-9999,-9999,5.05316,1.08030,-9999,-9999,800000099,800100199,800000099,800000199,800000199,801011199,811100099,811110099,81000,81000,80,81,9,0,2,21,28,0,0.732373E-01,0.518491E-01,0.103092E-02,4.55455,0.956625,-9999,-0.427441E-02,0.505316E-02,-9999,16.0000,0.100000,255.000,93.7500,-2.48980,96788.0,1.12348
