file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
CH-CHA_201912311900.csv,2019-12-31,19:30,365.812,0,36000,36000,-0.623976E-02,0,0.137945E-02,9.01254,0,0.777438,3.63223,0,0.346776,2.02025,1,0.340683,0.806334E-01,0,0.769824E-02,-9999,-9999,-9999,-9999,-0.227087E-10,-0.319392E-12,19.2582,443.667,446.938,0.350000,0,270.862,6.24004,6.27923,0.300000,1,286.686,273.297,98629.0,1.25430,1008.53,0.230378E-01,0.522504E-02,0.488093E-02,615.614,615.957,0.389135E-02,99.9444,0.342472,273.254,0.418633,-0.770706,0.157508E-01,0.877205,0.551995E-13,-0.117917E-14,0.877205,1.99462,248.109,298.510,1.02884,-9999,0.705316E-01,0.106148,-3.35962,-0.598281,2.48127,0.101012,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.615567E-02,1.01366,9.03678,1.02056,3.18461,1.03356,1.43623,1.03217,0.706965E-01,1.03356,800000099,800000099,800000099,800000099,800010099,800010099,810110199,811110199,81100,81100,80,81,0,4,2,58,11,3,0.895763E-01,0.110757,0.119635E-01,0.247326E-01,0.346603E-02,2.98571,0.714367E-02,0.143623E-02,0.706965E-01,16.0000,0.00000,247.000,43.7500,2.94690,98728.2,1.18730
CH-CHA_201912311900.csv,2019-12-31,20:00,365.833,0,36000,36000,-0.869907E-02,0,0.206421E-02,8.01508,0,0.850539,1.89564,1,0.372622,1.66750,0,0.393533,0.420774E-01,1,0.827107E-02,-0.199975,-0.141493,0.816003E-02,-0.314071E-02,-0.668631E-11,-0.932012E-13,19.2759,443.806,447.038,0.300000,1,268.689,6.18626,6.22477,0.300000,1,286.390,273.179,98646.0,1.25508,1008.51,0.230238E-01,0.272661E-02,0.484178E-02,610.413,610.703,0.385774E-02,99.9526,0.289473,273.137,0.198642,-0.713600,0.185067E-01,0.740962,-0.966898E-13,-0.346874E-15,0.740962,1.82349,260.900,285.555,1.43120,-9999,0.832530E-01,0.113035,-6.21343,-0.323493,4.22817,0.760600E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.857106E-02,1.01494,7.95586,1.02123,1.55663,1.03000,1.16834,1.02882,0.345524E-01,1.03000,800000099,800000099,800000099,800000099,800010099,800111099,811110199,811110199,81100,81100,80,81,2,2,2,74,14,1,0.870362E-01,0.124942,0.140914E-01,0.214643E-01,0.414691E-02,4.70339,0.628546E-02,0.116834E-02,0.345524E-01,16.0000,0.00000,247.065,44.1538,2.88118,98740.4,1.18458
CH-CHA_201912311900.csv,2019-12-31,20:30,365.854,0,36000,36000,-0.687081E-02,2,0.291356E-02,3.80535,0,0.583053,2.47615,0,0.452542,0.672274,0,0.119880,0.549587E-01,0,0.100443E-01,-0.135614,-0.928449E-01,0.119881,-0.206072E-02,0.153367E-09,0.211581E-11,19.3706,445.859,449.107,0.150000,0,267.232,6.15098,6.18905,0.200000,0,286.240,273.099,98645.0,1.25546,1008.48,0.230173E-01,0.356132E-02,0.481553E-02,606.926,607.163,0.383568E-02,99.9609,0.237401,273.058,-0.676051,-0.387324,0.293900E-01,0.779698,0.821615E-13,0.791751E-14,0.779698,2.81343,338.365,209.809,2.16022,-9999,0.739782E-01,0.239403,-9.18225,-0.218901,1.53680,0.406275E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.677244E-02,1.01452,3.86763,1.02100,2.25844,1.03098,0.422034,1.02974,0.501267E-01,1.03098,800000099,800010099,800000099,800000099,800000099,800000099,811110199,811110199,81100,81100,80,81,0,4,0,22,33,8,0.368649,0.944038E-01,0.157525E-01,0.516955E-02,0.102739E-02,3.46812,0.305475E-02,0.422034E-03,0.501267E-01,16.0000,0.00000,247.000,43.7500,2.76144,98738.9,1.18493
CH-CHA_201912311900.csv,2019-12-31,21:00,365.875,0,36000,36000,0.399279E-02,1,0.206281E-02,5.42527,0,0.883429,3.45009,0,0.453759,0.903099,0,0.106684,0.765670E-01,0,0.100702E-01,-0.203541,-0.141749,-0.784110E-02,-0.314580E-02,0.981626E-10,0.134278E-11,19.3764,445.725,448.923,0.350000,0,265.053,6.09715,6.13456,0.300000,1,285.851,272.979,98661.0,1.25624,1008.45,0.230035E-01,0.496154E-02,0.477626E-02,601.713,601.888,0.380204E-02,99.9708,0.175751,272.939,-0.524977,-0.859707,0.214056E-01,1.00755,0.250220E-12,0.506609E-14,1.00755,2.46221,304.887,238.590,1.21735,-9999,0.563771E-01,0.183320,-2.85077,-0.705074,1.57250,0.759616E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.394236E-02,1.01279,5.51242,1.02018,3.12549,1.03718,0.545578,1.03558,0.693633E-01,1.03718,800000099,800000099,800000099,800000099,800000099,800000099,811110199,811110199,81100,81100,80,81,14,15,5,13,36,6,0.190830,0.163396,0.124126E-01,0.218309E-01,0.136730E-02,7.01588,0.435127E-02,0.545578E-03,0.693633E-01,16.0000,0.00000,247.019,43.8703,2.35345,98751.9,1.18051
CH-CHA_201912311900.csv,2019-12-31,21:30,365.896,0,36000,36000,-0.420067E-02,1,0.106041E-02,3.94250,0,0.563388,2.33593,0,0.262629,1.00662,0,0.105054,0.518375E-01,0,0.582808E-02,-0.115358,-0.776304E-01,-0.198669E-01,-0.172272E-02,-0.601952E-10,-0.820066E-12,19.3647,445.385,448.567,0.200000,0,263.814,6.06768,6.10472,0.200000,0,285.592,272.911,98652.0,1.25645,1008.44,0.229999E-01,0.335907E-02,0.475393E-02,598.750,598.917,0.378362E-02,99.9720,0.167697,272.871,-0.883379,-0.660090,0.448874E-01,1.10367,0.135959E-12,-0.310850E-14,1.10367,2.27429,326.710,216.768,2.33092,-9999,0.578212E-01,0.164673,-4.23191,-0.474963,1.68776,0.538135E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.414961E-02,1.01230,3.99634,1.02001,2.10227,1.03993,0.734695,1.03818,0.466522E-01,1.03993,800000099,800000099,800000099,800000099,800000099,800100099,810110199,811110199,81100,81100,80,81,0,2,5,23,28,15,0.111200,0.206285,0.118627E-01,0.126896E-01,0.115213E-02,3.60335,0.315406E-02,0.734695E-03,0.466522E-01,16.0000,0.00000,247.000,43.7500,2.28410,98738.3,1.17864
CH-CHA_201912311900.csv,2019-12-31,22:00,365.917,0,36000,36000,-0.723256E-02,1,0.168065E-02,4.22506,0,0.350805,2.35029,0,0.252607,1.20402,0,0.117913,0.521492E-01,0,0.560495E-02,-0.234221,-0.157708,0.515706E-01,-0.349930E-02,0.671717E-10,0.904298E-12,19.4126,446.267,449.432,0.200000,0,261.342,6.00785,6.04416,0.200000,0,285.345,272.773,98651.0,1.25710,1008.40,0.229885E-01,0.337927E-02,0.470938E-02,592.839,592.928,0.374623E-02,99.9851,0.883462E-01,272.735,-1.01164,-0.649163,0.601358E-01,1.20351,0.523577E-13,0.346021E-14,1.20351,2.47421,331.819,212.688,2.86409,-9999,0.758510E-01,0.152754,-8.91434,-0.225479,1.79768,0.439409E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.714751E-02,1.01190,4.27405,1.01992,2.10217,1.04285,0.906432,1.04094,0.466439E-01,1.04285,800000099,800000099,800000099,800000099,800000099,800000099,800110199,811110199,81100,81100,80,81,0,1,1,9,14,4,0.149956,0.143061,0.124905E-01,0.711674E-02,0.147453E-02,3.96571,0.337161E-02,0.906432E-03,0.466439E-01,16.0000,0.00000,247.000,43.7500,2.03049,98740.4,1.17669
CH-CHA_201912311900.csv,2019-12-31,22:30,365.937,0,36000,36000,-0.163252E-01,1,0.403513E-02,5.83876,1,0.729996,2.91701,1,0.219316,1.39301,1,0.149676,0.647153E-01,1,0.486564E-02,-0.239449,-0.161509,0.617220E-01,-0.358315E-02,0.485331E-10,0.645191E-12,19.4698,447.321,450.474,0.200000,0,258.828,5.94662,5.98219,0.250000,0,285.096,272.632,98657.0,1.25786,1008.36,0.229752E-01,0.419355E-02,0.466408E-02,586.833,586.863,0.370796E-02,99.9949,0.299300E-01,272.596,-0.983162,-0.870433,0.689331E-01,1.31492,-0.469899E-13,0.249274E-14,1.31492,2.73359,323.547,221.520,3.00504,-9999,0.113924,0.293869,-21.8564,-0.919640E-01,2.00162,0.404069E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.161389E-01,1.01155,5.88741,1.01990,2.58342,1.04616,0.991606,1.04408,0.573143E-01,1.04616,800000099,800000099,800000099,800000099,800000099,800110099,800110199,811110199,81100,81100,80,81,6,7,14,18,16,4,0.299637,0.272311,0.157912E-01,0.121948E-01,0.134077E-02,2.26584,0.464169E-02,0.991606E-03,0.573143E-01,16.0000,0.00000,247.000,43.7500,1.88027,98741.6,1.17444
CH-CHA_201912311900.csv,2019-12-31,23:00,365.958,0,36000,36000,-0.321407E-01,1,0.542131E-02,6.72141,1,0.767571,1.54245,1,0.301160,2.55371,1,0.388594,0.342212E-01,1,0.668161E-02,0.611409E-01,0.387034E-01,0.704987E-01,0.858682E-03,0.351995E-09,0.467829E-11,19.5238,448.526,451.668,0.350000,0,259.487,5.96129,5.99704,0.350000,0,284.921,272.668,98678.0,1.25795,1008.37,0.229733E-01,0.221753E-02,0.467596E-02,588.406,588.406,0.371713E-02,100.000,0.00000,272.632,-0.609254,-0.884492,0.686044E-01,1.07621,-0.839563E-13,0.180290E-13,1.07621,2.80045,315.435,235.440,3.65488,-9999,0.159843,0.208345,-52.4496,-0.383225E-01,4.35761,0.331499E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.317460E-01,1.01243,6.67557,1.02005,1.25678,1.03914,2.08105,1.03743,0.278831E-01,1.03914,800000099,800000099,800000099,800000099,800000099,800000099,801110199,811110199,81100,81100,80,81,0,1,1,0,24,2,0.272122,0.127433,0.171359E-01,0.808748E-02,0.287682E-02,5.21209,0.526264E-02,0.208105E-02,0.278831E-01,16.0000,0.00000,247.000,43.7500,1.80478,98763.6,1.17449
CH-CHA_201912311900.csv,2019-12-31,23:30,365.979,0,36000,36000,-0.148356E-01,1,0.444996E-02,4.16594,1,0.530323,2.36403,1,0.404552,2.10727,2,1.84138,0.524610E-01,1,0.897755E-02,0.412355,0.279873,0.720753,0.621076E-02,0.686336E-10,0.903618E-12,20.0431,460.853,464.141,0.300000,1,263.884,6.06751,6.10455,0.300000,1,285.073,272.911,98681.0,1.25682,1008.43,0.229931E-01,0.339948E-02,0.475519E-02,598.908,598.917,0.378351E-02,99.9985,0.898376E-02,272.875,-0.992337E-02,-0.673106,0.202188E-01,0.673482,0.182074E-12,0.342430E-14,0.673482,2.32295,283.960,269.155,1.72035,-9999,0.108647,0.335847,-26.5750,-0.756349E-01,1.76222,0.302536E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.146053E-01,1.01577,4.21138,1.02170,2.14563,1.02835,1.79278,1.02728,0.476143E-01,1.02835,800000099,800000099,800000099,800000099,800010099,800010099,810110199,810110199,81100,81100,80,81,15,4,3,76,10,4,0.412534,0.246313,0.128475E-01,0.129714E-01,0.104004,5.86187,0.332280E-02,0.179278E-02,0.476143E-01,16.0000,0.00000,247.000,43.7500,2.23898,98766.4,1.17866
