file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--
CH-CHA_202312311900.csv,2023-12-31,19:30,365.812,0,36000,36000,-0.142584E-02,2,0.836391E-03,-0.626576,1,0.431997,-9999,-9999,-9999,1.11973,1,0.730524,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.458570E-10,-9999,19.2953,459.933,459.933,0.250000,0,-9999,-9999,-9999,-9999,1,277.079,276.504,96442.7,1.21146,1009.55,0.238365E-01,-9999,0.605982E-02,773.272,774.976,0.500210E-02,99.7802,1.70378,276.437,-0.180084E-01,0.453082,-0.118389E-02,0.453442,-0.268386E-13,0.237659E-14,0.453442,1.37935,86.5880,92.2761,-0.149593,-9999,0.343070E-01,0.566651E-01,5.47470,0.367144,-9999,-0.149332E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.139248E-02,1.02396,-0.598257,1.04734,-9999,-9999,1.07484,1.07502,-9999,-9999,800000099,800100099,800000099,800000199,800001099,800101199,811110199,811110199,81100,81100,80,81,17,3,2,4,1,0,0.850492E-01,0.261456E-01,0.213548E-02,0.407329E-01,0.969949E-01,-9999,-0.489158E-03,0.107484E-02,-9999,16.0000,0.00000,255.000,93.7500,5.47417,96609.8,1.25086
CH-CHA_202312311900.csv,2023-12-31,20:00,365.833,0,36000,36000,0.352339E-02,2,0.224021E-02,-1.62485,1,0.525450,-9999,-9999,-9999,11.1149,2,12.8134,-9999,-9999,-9999,-0.136751,400.664,7.07743,8.92094,0.788230E-10,-9999,24.5894,585.881,585.881,0.300000,1,-9999,-9999,-9999,-9999,1,276.828,276.420,96453.4,1.21197,1009.54,0.238266E-01,-9999,0.603338E-02,769.666,770.416,0.497815E-02,99.9027,0.749247,276.371,0.315599,0.401200,0.402111E-02,0.510470,-0.431312E-13,0.320557E-14,0.510470,1.99304,137.515,51.8101,0.451339,-9999,0.539180E-01,0.167164,8.19609,0.245239,-9999,-0.246300E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.345508E-02,1.01977,-1.56434,1.03868,-9999,-9999,10.5436,1.06539,-9999,-9999,800000099,800000199,800000099,800000199,800000199,801100199,811110099,811110099,81000,81000,80,81,0,0,1,4,0,0,0.227467,0.102279,0.458230E-02,0.315972E-01,13.1961,-9999,-0.127855E-02,0.105436E-01,-9999,16.0000,0.00000,255.000,93.7500,5.39960,96622.3,1.24729
CH-CHA_202312311900.csv,2023-12-31,20:30,365.854,0,36000,36000,-0.789803E-02,1,0.208414E-02,-6.61670,1,3.53510,-9999,-9999,-9999,-2.85299,2,6.27416,-9999,-9999,-9999,-1.76545,6152.01,-4.46453,136.837,0.195477E-09,-9999,21.3469,506.728,506.728,0.300000,1,-9999,-9999,-9999,-9999,1,275.770,275.347,96438.5,1.21678,1009.20,0.237377E-01,-9999,0.561208E-02,713.141,713.835,0.461224E-02,99.9027,0.694221,275.297,-0.296500,0.233311,0.228487E-01,0.377979,-0.720608E-13,0.915714E-14,0.377979,1.23475,55.0270,141.801,3.46563,-9999,0.805662E-01,0.128927,6.71330,0.299406,-9999,-0.668807E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.772477E-02,1.02243,-6.34306,1.04314,-9999,-9999,-2.30722,1.05549,-9999,-9999,800000099,800000099,800000099,800000199,800100199,800100199,811100199,811110199,81100,81100,80,81,2,1,6,6,0,6,0.143164,0.109776,0.491344E-02,0.447558,1.79354,-9999,-0.516548E-02,-0.230722E-02,-9999,16.0000,0.00000,254.505,90.6568,4.38348,96605.5,1.23232
CH-CHA_202312311900.csv,2023-12-31,21:00,365.875,0,36000,36000,-0.619569E-01,1,0.860983E-02,-24.3913,1,5.84157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.693347,2318.09,-9999,51.5398,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,275.296,274.926,96448.3,1.21887,1009.07,0.236990E-01,-9999,0.545406E-02,692.001,692.674,0.447468E-02,99.9027,0.673642,274.876,0.554010E-01,0.932143E-01,0.160951E-01,0.109623,-0.248225E-13,-0.409022E-13,0.109623,1.96005,131.607,59.2753,8.44283,-9999,0.225458,0.387306,39.9112,0.503618E-01,-9999,-0.879613E-01,0,54.8917,-8.33002,18.8425,46.9206,71.5568,100.359,150.357,-0.601292E-01,1.03040,-23.6224,1.03255,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800001199,800000199,801000199,811101199,811111199,80000,80000,80,81,1,0,2,1,2,0,0.307149,0.455671,0.117920E-01,0.215105,-9999,-9999,-0.192064E-01,-9999,-9999,16.0000,0.00000,254.975,93.5911,3.11076,96622.4,1.22075
CH-CHA_202312311900.csv,2023-12-31,21:30,365.896,0,36000,36000,-0.155404,1,0.212665E-01,-15.9803,2,11.7343,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.07874,3501.84,-9999,77.8108,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,274.688,274.272,96482.2,1.22236,1008.88,0.236344E-01,-9999,0.521656E-02,660.294,660.937,0.426762E-02,99.9027,0.642776,274.223,-0.139888,-0.203003,0.430944E-01,0.250272,0.139022E-12,-0.302352E-13,0.250272,2.33067,305.420,235.430,9.91521,-9999,0.356560,0.498300,241.006,0.834005E-02,-9999,-0.363426E-01,0,48.0817,-7.29659,16.5049,41.0995,62.6794,87.9088,131.703,-0.152547,1.01873,-15.6111,1.02365,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000199,800000099,800001199,800100199,800100199,811110099,811110099,80000,80000,80,81,0,0,1,2,0,0,0.629612,0.325446,0.415414E-01,0.719671,-9999,-9999,-0.126590E-01,-9999,-9999,16.0000,0.00000,255.000,93.7500,2.34184,96682.4,1.20944
CH-CHA_202312311900.csv,2023-12-31,22:00,365.917,0,36000,36000,-0.161270E-01,1,0.539786E-02,-5.40818,2,3.42018,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.689791,-1864.72,-9999,-41.4506,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,274.910,274.691,96497.0,1.22060,1008.98,0.236668E-01,-9999,0.534387E-02,677.441,681.106,0.437807E-02,99.4619,3.66514,274.580,0.266737,0.661925,0.339582E-01,0.714456,0.681158E-13,0.366680E-14,0.714456,2.80382,116.724,68.0519,2.72430,-9999,0.114945,0.322293,23.8612,0.842371E-01,-9999,-0.382038E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.159092E-01,1.01369,-5.26987,1.02625,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000199,800000099,800001199,800000199,800100199,800100099,811110099,81000,81000,80,80,1,0,2,1,0,0,0.463855,0.159759,0.209714E-01,0.746308,-9999,-9999,-0.427902E-02,-9999,-9999,16.0000,0.00000,255.000,93.7500,2.56738,96699.4,1.21198
CH-CHA_202312311900.csv,2023-12-31,22:30,365.937,0,36000,36000,-0.291938E-01,1,0.536811E-02,-28.8801,0,4.31688,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.841653,-2297.65,-9999,-51.0988,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,275.512,275.202,96505.0,1.21833,1009.11,0.237089E-01,-9999,0.550015E-02,698.550,706.497,0.451449E-02,98.8751,7.94757,275.008,0.511651,1.52837,0.151119E-01,1.61181,0.106940E-12,0.392277E-14,1.61181,5.06895,116.197,71.4911,0.537198,-9999,0.154797,0.413970,10.9146,0.184157,-9999,-0.151752,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.287034E-01,1.01709,-27.8789,1.03591,-9999,-9999,-9999,-9999,-9999,-9999,800000099,800000199,800000099,800001199,800000199,800100199,800000199,800100199,80000,80000,80,81,23,26,8,0,0,0,0.491418,0.279361,0.571607E-01,0.257985,-9999,-9999,-0.226763E-01,-9999,-9999,16.0000,0.00000,255.000,93.7500,2.84959,96700.0,1.21744
CH-CHA_202312311900.csv,2023-12-31,23:00,365.958,0,36000,36000,-0.409283E-01,1,0.510825E-02,-29.4724,0,2.40943,27.2355,1,21.5208,7.50851,1,4.22888,0.605805,1,0.478693,0.281657,-0.236365E-01,-9999,-0.525752E-03,-0.108031E-09,-0.185067E-11,17.7871,421.883,423.200,0.250000,0,304.709,7.22723,7.27984,0.450000,0,275.517,275.373,96526.1,1.21785,1009.10,0.237185E-01,0.392562E-01,0.549086E-02,697.804,715.183,0.450866E-02,97.5699,17.3795,274.993,1.54629,1.38066,0.527061E-01,2.07365,-0.362660E-12,-0.607356E-14,2.07365,4.68139,142.519,41.7612,1.45645,-9999,0.183323,0.519674,17.7672,0.113130,-1.08213,-0.130820,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.403346E-01,1.01472,-27.2565,1.03150,24.2556,1.16392,7.57065,1.16264,0.539524,1.16392,800000099,800000099,800000099,800000199,800000099,800001199,800100199,810110199,81100,81100,80,81,22,8,1,1,5,38,0.588884,0.388645,0.618189E-01,0.102015,0.268448,3004.91,-0.221790E-01,0.757065E-02,0.539524,16.0000,0.00000,252.618,78.8630,3.31746,96700.4,1.22070
CH-CHA_202312311900.csv,2023-12-31,23:30,365.979,0,36000,36000,-0.492562E-01,0,0.414008E-02,-31.2141,0,2.99937,-3.26675,0,0.465157,0.846028,0,0.313347,-0.726621E-01,0,0.103464E-01,-0.270576E-01,-0.110497,0.353699,-0.245777E-02,0.575091E-10,0.964924E-12,18.0572,428.147,429.862,0.250000,0,302.975,7.18371,7.23569,0.300000,1,275.668,275.357,96552.6,1.21827,1009.09,0.237105E-01,-0.470851E-02,0.545962E-02,693.792,714.345,0.448144E-02,97.1228,20.5530,274.912,1.64735,1.76270,0.641356E-01,2.41350,-0.754365E-13,0.318483E-14,2.41350,5.48719,140.207,46.9374,1.52274,-9999,0.201075,0.366036,22.1410,0.907817E-01,9.55509,-0.126276,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.485472E-01,1.01460,-30.4246,1.03157,-1.69030,1.17568,2.16487,1.17431,-0.375971E-01,1.17568,800000099,800000099,800000099,800000099,800000099,800000099,800000199,800100199,81000,81000,80,80,11,15,7,1,43,117,0.362940,0.297040,0.720917E-01,0.142535,0.283906E-02,5.00032,-0.247488E-01,0.216487E-02,-0.375971E-01,16.0000,0.00000,252.000,75.0000,3.29935,96718.9,1.22063
