file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,status_word_qcl_mean,vici_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--
CH-CHA_201609021739.csv,2016-09-02,18:30,246.771,1,36000,36000,0.122887E-02,1,0.815029E-03,3.36660,1,0.882385,-3.91260,1,3.19646,-0.888908E-01,1,0.726205E-01,0.499278E-03,1,0.419049E-03,-0.146168E-03,1,0.123532E-03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.7464,20.1442,2.45000,1,-9999,1.92751,1.96633,1.00000,1,-9999,0.323980,0.330506,0.850000,1,300.759,297.420,97450.0,1.13296,1016.52,0.253745E-01,-0.576013E-02,0.140231E-01,1924.80,3023.69,0.123774E-01,63.6574,1098.89,290.057,0.347943E-01,0.272904,0.676889E-02,0.275197,0.607453E-13,0.133639E-14,0.275197,0.787972,101.767,82.7342,1.40942,-9999,0.329341E-01,0.351683E-01,-0.910340,-2.20797,-0.860450,0.887593E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.119464E-02,1.02865,3.06330,1.02999,-3.51855,1.11199,-0.799380E-01,1.11199,0.482919E-03,1.03388,-0.142328E-03,1.02698,800009000,800109000,800009000,800009000,800009000,800109000,811119011,811119111,80010,80010,80,81,1,0,0,2,0,0,0,0.367819E-01,0.315414E-01,0.201323E-02,0.781566E-01,0.343459,0.150290E-04,0.121077E-05,0.265984E-02,-0.206926E-02,0.125008E-04,-0.368428E-05,34.0000,96.5043,0.504306,883771.,956905.
CH-CHA_201609021739.csv,2016-09-02,19:00,246.792,1,36000,36000,-0.332309E-02,1,0.665088E-03,-1.74602,1,1.34753,9.07347,1,2.77702,0.205803,1,0.629878E-01,-0.208626E-03,2,0.251694E-02,0.936909E-03,1,0.221815E-03,-2.62280,-0.478783E-01,-0.108597E-02,0.103263E-05,0.405073E-04,-9999,-9999,-9999,-9999,19.7230,20.1198,2.45000,1,-9999,1.92753,1.96631,1.00000,1,-9999,0.324851,0.331387,0.850000,1,300.171,295.729,97469.0,1.13967,1016.48,0.252254E-01,0.133360E-01,0.140893E-01,1922.90,2730.53,0.123627E-01,70.4221,807.635,290.042,0.633283E-01,0.267646,0.143701E-01,0.275411,-0.329402E-13,-0.345040E-14,0.275411,0.750733,112.036,76.6880,2.99088,-9999,0.539985E-01,0.315243E-01,7.73744,0.259776,-0.192431,-0.279120E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.325559E-02,1.02073,-1.24067,1.03649,7.10200,1.27759,0.161086,1.27759,-0.173200E-03,1.20454,0.789957E-03,1.18603,800009000,800109000,800009000,800009011,800109010,800109010,811119111,811119111,80000,80000,80,81,0,0,4,0,0,0,0,0.283283E-01,0.332318E-01,0.148839E-02,0.988725E-01,0.240445,0.441294E-03,0.309746E-05,-0.107098E-02,0.414524E-02,-0.445695E-05,0.203280E-04,33.9760,96.5079,0.502238,884243.,956905.
CH-CHA_201609021739.csv,2016-09-02,19:30,246.812,0,36000,36000,-0.123567E-01,1,0.261507E-02,-5.13216,1,2.01504,-7.24356,2,2.96471,-0.164029,2,0.671352E-01,0.819123E-03,2,0.666519E-02,0.762767E-03,1,0.294243E-03,-2.63772,-2.59010,-0.586522E-01,0.109550E-01,0.587490E-04,-9999,-9999,-9999,-9999,18.4683,18.8158,2.45000,1,-9999,2.16188,2.20256,1.00000,1,-9999,0.326108,0.332244,0.850000,1,298.962,294.038,97488.0,1.14700,1015.73,0.250762E-01,-0.106290E-01,0.132715E-01,1800.92,2462.52,0.115707E-01,73.1334,661.594,289.012,-0.319670,0.136478E-01,0.217569E-01,0.320700,-0.137282E-12,0.111964E-13,0.320700,2.34783,71.8054,177.555,3.89006,-9999,0.103794,0.257621,18.6923,0.107531,0.708514,-0.424413E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.121392E-01,1.01792,-5.36636,1.03046,-5.60569,1.29218,-0.126940,1.29218,0.679241E-03,1.20594,0.643987E-03,1.18444,800009000,800109000,800009000,800009000,800009000,800019100,811119011,811119111,80100,80100,80,81,0,0,2,0,0,0,0,0.402807,0.110316,0.211846E-02,0.270821,0.247093,0.270880E-02,0.536066E-05,-0.460617E-02,-0.324308E-02,0.173534E-04,0.164527E-04,34.0000,96.5008,0.500833,884536.,956905.
CH-CHA_201609021739.csv,2016-09-02,20:00,246.833,0,36000,36000,0.657388E-03,1,0.313497E-03,-1.42037,2,0.568211,-0.986224,2,1.00604,-0.222340E-01,2,0.226806E-01,-0.588095E-02,1,0.206256E-02,0.123078E-02,1,0.361576E-03,-7.28541,-0.116089,-0.261717E-02,-0.373091E-02,0.207355E-03,-9999,-9999,-9999,-9999,18.4132,18.7586,2.45000,1,-9999,2.08333,2.12241,1.00000,1,-9999,0.330474,0.336673,0.850000,1,298.418,289.441,97509.0,1.16549,1015.61,0.246789E-01,-0.144076E-02,0.134450E-01,1795.94,1846.70,0.115359E-01,97.2514,50.7578,288.969,0.100216,0.965155E-01,0.923333E-03,0.139138,-0.347288E-13,-0.338644E-15,0.139138,0.544243,157.173,43.9224,0.380224,-9999,0.237496E-01,0.298931E-01,0.809173,2.48402,1.44021,-0.505257E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.605231E-03,1.08618,-1.25829,1.17000,-0.587527,1.67860,-0.132455E-01,1.67860,-0.362947E-02,1.62033,0.765602E-03,1.60760,800009000,800109000,800009000,800009011,800009000,800109001,811119111,811119111,80000,80000,80,81,0,0,4,1,1,0,0,0.190241E-01,0.398829E-01,0.879306E-03,0.522383E-01,0.688134E-01,0.680062E-03,0.191606E-04,-0.106303E-02,-0.333018E-03,-0.912520E-04,0.192487E-04,34.0000,96.5005,0.500528,884725.,956905.
CH-CHA_201609021739.csv,2016-09-02,20:30,246.854,0,36000,36000,-0.868846E-03,1,0.248148E-03,-0.118393,1,0.402062,-0.271462,2,1.00434,-0.611988E-02,2,0.226420E-01,0.386972E-02,1,0.288775E-02,-0.508008E-03,1,0.207858E-03,-0.253608E-01,-1.32065,-0.297730E-01,0.434540E-03,0.122987E-03,-9999,-9999,-9999,-9999,17.7866,18.1087,2.45000,1,-9999,2.09248,2.13037,1.00000,1,-9999,0.333062,0.339093,0.850000,1,297.818,289.425,97529.0,1.16607,1015.26,0.246725E-01,-0.396568E-03,0.129908E-01,1735.17,1844.81,0.111406E-01,94.0568,109.640,288.432,-0.233441E-01,0.202088,0.288333E-02,0.203452,0.742813E-13,0.157421E-14,0.203452,0.502593,95.2137,96.5893,0.812027,-9999,0.272966E-01,0.299120E-01,14.7398,0.136365,0.436131,-0.366367E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.850180E-03,1.02196,-0.128630,1.03503,-0.215715,1.25843,-0.486312E-02,1.25843,0.323334E-02,1.19682,-0.429372E-03,1.18314,800009000,800109000,800009000,800009011,800009000,811109010,811119111,811119111,80000,80000,80,81,0,0,0,0,0,0,0,0.158415E-01,0.433223E-01,0.660469E-03,0.473241E-01,0.114626,0.150957E-02,0.744182E-05,-0.108654E-03,-0.122159E-03,0.812195E-04,-0.107855E-04,33.9849,96.5034,0.499903,547933.,942912.
CH-CHA_201609021739.csv,2016-09-02,21:00,246.875,0,36000,36000,0.365908E-02,1,0.103543E-02,1.17314,1,0.505884,5.69265,1,1.42271,0.128334,1,0.320734E-01,0.883720E-01,1,0.249566E-01,0.344662E-02,1,0.114485E-02,-0.221937E-01,-1.05143,-0.237034E-01,0.104747E-01,0.973837E-04,-9999,-9999,-9999,-9999,17.2878,17.5919,2.45000,1,-9999,2.31289,2.35358,1.00000,1,-9999,0.335111,0.341007,0.850000,1,297.297,289.411,97546.0,1.16655,1014.97,0.246670E-01,0.831605E-02,0.126293E-01,1686.81,1843.17,0.108262E-01,91.5168,156.360,287.993,0.142128,0.247269,0.114110E-01,0.285434,0.352762E-13,-0.152069E-13,0.285434,1.06550,137.721,60.1102,2.29116,-9999,0.560059E-01,0.606110E-01,-12.8486,-0.156438,0.206081,0.176914E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.355975E-02,1.02790,1.45304,1.02950,4.88649,1.16498,0.110160,1.16498,0.855394E-01,1.03311,0.335937E-02,1.02597,800009000,800109000,800009000,800009011,800009000,800009000,811119111,811119111,80111,80111,80,81,1,0,2,1,0,0,0,0.107927,0.122926E-01,0.100274E-02,0.312826E-01,0.914500E-01,0.549377E-01,0.118333E-03,0.122721E-02,0.276514E-02,0.214713E-02,0.843236E-04,33.9893,96.5025,0.499972,239457.,907256.
CH-CHA_201609021739.csv,2016-09-02,21:30,246.896,0,36000,36000,-0.109281E-02,2,0.860533E-04,-2.06679,1,1.08219,-6.91343,1,1.96382,-0.155853,1,0.442716E-01,0.548895E-02,1,0.618998E-02,0.116050E-02,1,0.568662E-03,-0.206105E-01,-1.43117,-0.322636E-01,0.115544E-02,-0.206290E-03,-9999,-9999,-9999,-9999,16.6090,16.8895,2.45000,1,-9999,2.33720,2.37668,1.00000,1,-9999,0.330771,0.336358,0.850000,1,296.674,289.398,97563.0,1.16711,1014.58,0.246616E-01,-0.100993E-01,0.121361E-01,1620.86,1841.64,0.103984E-01,88.0118,220.780,287.375,0.235022E-01,-0.137187,-0.287500E-04,0.139186,0.200793E-13,0.315816E-15,0.139186,0.904489,276.546,279.721,-0.118349E-01,-9999,0.305997E-01,0.345352E-01,1.18950,1.68979,0.298953,-0.570400E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.101990E-02,1.07149,-2.09806,1.14065,-4.40970,1.56778,-0.994105E-01,1.56778,0.362136E-02,1.51572,0.771716E-03,1.50380,800009000,800109000,800009000,800009000,800009000,800109000,811119111,811119111,80011,80011,80,81,2,0,1,0,0,0,0,0.525345E-01,0.152713E-01,0.126488E-02,0.133551,0.197202,0.328461E-02,0.328655E-04,-0.177181E-02,-0.249304E-02,0.908172E-04,0.193532E-04,34.0000,96.5000,0.500000,273187.,900033.
CH-CHA_201609021739.csv,2016-09-02,22:00,246.917,0,36000,36000,-0.102929E-01,1,0.167989E-02,-5.98836,1,1.25478,-6.00316,1,0.952275,-0.135331,1,0.214675E-01,0.855634E-01,1,0.217492E-01,0.144529E-02,1,0.719957E-03,-0.158535E-01,-2.27071,-0.511895E-01,0.161784E-01,0.551197E-03,-9999,-9999,-9999,-9999,15.5322,15.7773,2.45000,1,-9999,2.67752,2.71976,1.00000,1,-9999,0.342366,0.347768,0.850000,1,296.409,289.388,97574.0,1.16776,1013.98,0.246579E-01,-0.876948E-02,0.113510E-01,1515.95,1840.47,0.972029E-02,82.3676,324.518,286.346,0.253631,0.196478,0.186094E-01,0.321370,-0.484019E-13,-0.109917E-13,0.321370,1.00995,142.604,37.7636,3.31966,-9999,0.938839E-01,0.113178,11.8556,0.169540,0.997535,-0.538686E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.100955E-01,1.01955,-6.10073,1.03507,-4.57693,1.31161,-0.103179,1.31161,0.701695E-01,1.21938,0.120682E-02,1.19760,800009000,800109000,800009000,800009011,800009000,811009000,811119111,811119111,80000,80000,80,81,0,1,1,0,1,0,0,0.194596,0.306779E-01,0.108288E-02,0.131943,0.321248E-01,0.422261E-01,0.526985E-04,-0.515229E-02,-0.258434E-02,0.175754E-02,0.302272E-04,33.9938,96.5014,0.499931,154446.,926485.
CH-CHA_201609021739.csv,2016-09-02,22:30,246.937,0,36000,36000,-0.722197E-02,1,0.484671E-03,5.33532,2,1.55062,4.19733,1,1.28717,0.946212E-01,1,0.290168E-01,-0.376190E-02,2,0.784756E-02,-0.316635E-02,2,0.837531E-03,-0.126855E-01,0.898169,0.202476E-01,-0.454677E-02,-0.142084E-03,-9999,-9999,-9999,-9999,15.9581,16.2169,2.45000,1,-9999,2.58189,2.62376,1.00000,1,-9999,0.339378,0.344881,0.850000,1,295.963,289.380,97585.0,1.16773,1014.22,0.246545E-01,0.613146E-02,0.116638E-01,1557.69,1839.53,0.998842E-02,84.6787,281.840,286.763,-0.113844,-0.108248,-0.183750E-02,0.157103,-0.531230E-15,0.268466E-14,0.157103,0.788289,302.647,223.557,-0.670156,-9999,0.786423E-01,0.765722E-01,-7.82234,-0.256956,1.27112,0.572833E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.692176E-02,1.04337,5.39890,1.03987,3.86936,1.08476,0.872276E-01,1.08476,-0.368427E-02,1.02107,-0.311291E-02,1.01717,800009000,800109000,800009000,800009011,800009000,801019000,811119111,811119111,80100,80100,80,81,0,1,0,0,0,0,0,0.243148E-01,0.127558,0.127109E-02,0.249524,0.687714E-01,0.584552E-02,0.553299E-04,0.455859E-02,0.218543E-02,-0.923071E-04,-0.779921E-04,33.9947,96.5023,0.501028,154448.,926482.
