file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--
CH-CHA_201703151300.csv,2017-03-15,13:30,74.562,1,36000,36000,-0.539289E-01,1,0.157889E-01,62.9160,0,4.64321,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,292.017,289.359,98312.0,1.17995,1009.95,0.244704E-01,-9999,0.610531E-02,815.297,1837.07,0.517421E-02,44.3804,1021.77,277.188,-1.02404,-0.770400,0.760125E-01,1.28373,0.162233E-12,0.939741E-14,1.28373,4.44839,336.538,216.955,3.39460,-9999,0.213786,1.05939,-13.3795,-0.150230,-9999,0.246955,0,28.0206,-4.25224,9.61858,23.9516,36.5277,51.2307,76.7529,-0.533086E-01,1.01164,61.6886,1.01990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009111,800009101,800009111,800009110,800009111,80111,80111,80,81,3,1,1,18,2,0,0,1.45523,0.605541,0.580049E-01,0.275661,-9999,-9999,-9999,0.517658E-01,-9999,-9999,-9999,18.6678,97.9798,0.776248
CH-CHA_201703151300.csv,2017-03-15,14:00,74.583,1,36000,36000,-0.734279E-01,1,0.156223E-01,45.9208,0,5.13857,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.627506,2410.76,54.3657,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,292.472,289.753,98271.0,1.17796,1009.82,0.245139E-01,-9999,0.591810E-02,791.375,1883.74,0.502402E-02,42.0109,1092.36,276.765,-1.12884,0.133610,0.869892E-01,1.14004,0.196089E-13,0.467873E-14,1.14004,5.05123,10.3684,173.250,4.37612,-9999,0.249670,0.958703,-29.1880,-0.688639E-01,-9999,0.154621,0,29.2012,-4.43140,10.0238,24.9608,38.0667,53.3891,79.9866,-0.725467E-01,1.01215,45.0217,1.01997,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009111,800009111,800009111,800009111,800019111,80111,80111,80,81,15,11,4,26,1,0,0,0.975281,0.870806,0.713200E-01,0.235891,-9999,-9999,-9999,0.378482E-01,-9999,-9999,-9999,12.1550,100.320,0.753269
CH-CHA_201703151300.csv,2017-03-15,14:30,74.604,1,36000,36000,-0.838812E-01,1,0.144105E-01,53.8814,1,5.29246,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.919930,-1484.23,-33.4901,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,292.500,290.332,98227.0,1.17502,1009.91,0.245739E-01,-9999,0.601230E-02,805.577,1954.21,0.511676E-02,41.2227,1148.63,277.017,-0.802767,-0.524839,0.698321E-01,0.961648,0.992779E-13,-0.140354E-13,0.961648,3.55125,345.051,213.176,4.16432,-9999,0.267184,0.921105,-30.4779,-0.659494E-01,-9999,0.169941,0,34.2531,-5.19804,11.7580,29.2790,44.6524,62.6256,93.8245,-0.827993E-01,1.01307,52.8100,1.02029,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009011,800009111,801009111,800009000,800009000,80000,80000,80,81,5,0,6,37,0,0,0,0.907540,0.879912,0.547593E-01,0.214325,-9999,-9999,-9999,0.445025E-01,-9999,-9999,-9999,2.00000,104.000,-9999
CH-CHA_201703151300.csv,2017-03-15,15:00,74.624,1,36000,36000,-0.208653E-01,1,0.476121E-02,40.1031,0,2.96613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.182726,-182.664,-4.12116,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,293.195,290.217,98194.0,1.17508,1009.93,0.245724E-01,-9999,0.602603E-02,807.097,1940.03,0.512817E-02,41.6023,1132.93,277.044,-1.85281,-1.54760,0.109285,2.41659,0.188633E-12,-0.595772E-14,2.41659,5.69411,327.698,219.871,2.59197,-9999,0.133254,0.885120,-5.07872,-0.395769,-9999,0.253594,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.206433E-01,1.01075,39.2404,1.02199,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009011,800009111,800009111,800009000,800009000,80000,80000,80,80,7,0,6,26,0,0,0,0.870041,0.845596,0.546017E-01,0.125737,-9999,-9999,-9999,0.330656E-01,-9999,-9999,-9999,2.00000,104.000,-9999
CH-CHA_201703151300.csv,2017-03-15,15:30,74.645,1,36000,36000,-0.356072E-01,1,0.430102E-02,21.9960,0,1.58360,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.492408E-01,-1239.88,-27.9742,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,293.608,290.248,98171.0,1.17463,1009.99,0.245808E-01,-9999,0.611472E-02,819.063,1943.84,0.520567E-02,42.1363,1124.78,277.254,-2.29033,-1.43018,0.140441,2.70384,0.685985E-13,-0.256808E-14,2.70384,5.53088,334.921,211.983,2.97736,-9999,0.174108,0.624741,-20.6511,-0.973312E-01,-9999,0.106489,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.352216E-01,1.01095,21.5036,1.02290,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009011,800009111,800009111,800009000,800019000,80000,80000,80,80,2,1,12,8,0,0,0,0.506790,0.679447,0.632452E-01,0.399200E-01,-9999,-9999,-9999,0.181256E-01,-9999,-9999,-9999,2.00000,104.000,-9999
CH-CHA_201703151300.csv,2017-03-15,16:00,74.666,1,36000,36000,-0.576270E-01,0,0.602041E-02,12.8929,0,1.66959,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.154102,-4276.28,-96.4726,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,293.657,290.151,98148.0,1.17455,1010.23,0.245783E-01,-9999,0.642828E-02,860.777,1931.93,0.547296E-02,44.5552,1071.16,277.963,-1.76882,-2.09495,0.110170,2.74402,0.245189E-13,-0.558595E-14,2.74402,4.90919,317.696,229.825,2.30100,-9999,0.221501,0.488992,-72.5380,-0.277096E-01,-9999,0.490547E-01,0,28.0377,-4.25482,9.62442,23.9662,36.5499,51.2618,76.7995,-0.570009E-01,1.01098,12.6026,1.02304,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009011,800009111,800009111,800019000,800019000,80000,80000,80,80,2,0,3,9,0,0,0,0.473958,0.441813,0.622128E-01,0.294799E-01,-9999,-9999,-9999,0.106211E-01,-9999,-9999,-9999,2.00000,104.000,-9999
CH-CHA_201703151300.csv,2017-03-15,16:30,74.687,1,36000,36000,-0.494657E-01,0,0.628449E-02,-6.26657,0,1.16230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.428793E-01,2140.60,48.2906,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,293.955,290.124,98108.0,1.17428,1010.11,0.245861E-01,-9999,0.626961E-02,839.451,1928.63,0.533911E-02,43.5258,1089.18,277.604,-2.28847,-1.18162,0.119029,2.57827,0.163947E-12,-0.108115E-14,2.57827,5.04461,341.075,207.309,2.64607,-9999,0.205242,0.754513,118.690,0.169349E-01,-9999,-0.257409E-01,0,26.1918,-3.97471,8.99080,22.3884,34.1437,47.8870,71.7434,-0.489185E-01,1.01119,-6.11568,1.02467,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009011,800009111,800009111,800019000,800019000,80000,80000,80,80,1,2,0,7,0,0,0,0.563602,0.882108,0.633161E-01,0.162073E-01,-9999,-9999,-9999,-0.515591E-02,-9999,-9999,-9999,2.00000,104.000,-9999
CH-CHA_201703151300.csv,2017-03-15,17:00,74.708,1,36000,36000,-0.347661E-01,0,0.311899E-02,-19.6751,0,1.60215,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.686979,-2976.74,-67.1254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,293.776,289.692,98088.0,1.17566,1010.26,0.245545E-01,-9999,0.649542E-02,868.392,1876.44,0.552493E-02,46.2786,1008.05,278.089,-2.32048,-1.57381,0.115574,2.80622,0.182410E-13,0.163453E-15,2.80622,5.02646,332.834,214.146,2.36040,-9999,0.171964,0.299650,22.2326,0.904079E-01,-9999,-0.963311E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.342385E-01,1.01541,-19.0370,1.03352,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009011,800009111,800009111,800009000,800009000,80000,80000,80,80,1,9,3,5,0,0,0,0.283486,0.258902,0.569133E-01,0.523613E-01,-9999,-9999,-9999,-0.160281E-01,-9999,-9999,-9999,2.00000,104.000,-9999
CH-CHA_201703151300.csv,2017-03-15,17:30,74.729,1,36000,36000,-0.126150E-01,0,0.151188E-02,-13.2988,0,1.12402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.25655,-3250.77,-73.2491,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,293.243,288.904,98087.0,1.17871,1010.42,0.244879E-01,-9999,0.675069E-02,900.064,1784.44,0.572719E-02,50.4397,884.372,278.604,-1.59405,-1.07242,0.795161E-01,1.92286,0.103282E-13,0.272452E-14,1.92286,3.65713,332.789,213.931,2.37003,-9999,0.103452,0.147872,7.16171,0.280659,-9999,-0.107936,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.123483E-01,1.02160,-12.7227,1.04528,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009111,800009000,800009011,800009111,800109111,800109000,800109000,80000,80000,80,80,3,26,4,0,0,0,0,0.173346,0.976856E-01,0.247131E-01,0.825603E-01,-9999,-9999,-9999,-0.106824E-01,-9999,-9999,-9999,2.00000,104.000,-9999
