file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,dummy_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--
CH-CHA_201811261457.csv,2018-11-26,15:30,330.646,1,36000,36000,-0.181754E-01,1,0.297682E-02,-10.4652,1,2.13881,0.273239E-01,1,0.654615E-02,0.608794E-03,1,0.145853E-03,-0.757805E-02,1,0.144651E-02,-0.574275E-06,2,0.586314E-04,-9999,-9999,-9999,-9999,-9999,0.910726E-11,0.224172E-11,0.353621E-12,331.025,8.42912,8.50078,4.45000,1,0.814806E-01,2.07480,2.10238,2.05000,1,0.128532E-01,0.327290,0.331640,2.00000,1,284.652,277.141,96018.0,1.20316,1009.79,0.239971E-01,0.394498E-04,0.632964E-02,809.564,810.574,0.526085E-02,99.8755,1.00916,277.088,-0.685725,0.717842E-01,-0.537736E-02,0.689493,-0.270507E-13,0.275123E-13,0.689493,1.73000,14.1378,174.024,-0.446855,-9999,0.122908,0.742883E-01,15.0259,0.133769,-383.005,-0.700831E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.178997E-01,1.01540,-10.1853,1.03013,0.196878E-01,1.38786,0.438658E-03,1.38786,-0.604734E-02,1.25312,-0.464505E-06,1.23632,800009000,800019100,800009000,800009011,800009010,800019110,811119111,811119111,80111,80111,80,81,11,3,2,11,25,0,0,0.709668E-01,0.601741E-01,0.174356E-01,0.230782E-01,0.272297E-06,0.116216E-04,0.976750E-07,-0.838338E-02,0.106160E-04,-0.146352E-03,-0.112415E-07,21.9589,96.5146,0.499165,0.687529E+09
CH-CHA_201811261457.csv,2018-11-26,16:00,330.667,0,36000,36000,-0.392565E-02,0,0.127975E-02,-1.63367,1,1.82330,0.862869E-02,1,0.249124E-02,0.192263E-03,1,0.555095E-04,0.224843E-02,0,0.110717E-02,0.107925E-03,0,0.467048E-04,0.911082E-01,0.650466E-01,0.144936E-02,0.285279E-03,-0.164983E-04,-0.109400E-14,-0.269090E-15,-0.422810E-16,332.313,8.45951,8.53168,4.45000,1,0.817388E-01,2.08078,2.10844,2.05000,1,0.128433E-01,0.326944,0.331290,2.00000,1,284.900,277.197,96052.0,1.20333,1009.81,0.239934E-01,0.124587E-04,0.635342E-02,812.771,813.771,0.527988E-02,99.8771,1.00012,277.144,-0.423458,0.526166E-01,0.103617E-01,0.426840,-0.114505E-13,-0.329207E-17,0.426840,1.37775,18.2605,172.917,1.39101,-9999,0.571168E-01,0.737220E-01,9.66256,0.208019,-189.330,-0.235382E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.385172E-02,1.01919,-1.58014,1.03643,0.620022E-02,1.39168,0.138152E-03,1.39168,0.172410E-02,1.30412,0.834558E-04,1.29320,800009000,800019100,800009000,800009011,800009000,800009100,811119111,811119111,80000,80000,80,80,2,0,1,8,199,0,0,0.513562E-01,0.856961E-01,0.103918E-01,0.568732E-01,0.143267E-06,0.193065E-04,0.774943E-07,-0.130038E-02,0.334304E-05,0.417201E-04,0.201948E-05,21.9589,96.5145,0.499054,0.690931E+09
CH-CHA_201811261457.csv,2018-11-26,16:30,330.687,0,36000,36000,-0.154316E-01,1,0.276106E-02,-5.93279,1,3.37109,0.106795E-01,1,0.398737E-02,0.237933E-03,1,0.888364E-04,0.152506E-02,1,0.559289E-03,0.312825E-03,1,0.881421E-04,-0.182360,-0.150471,-0.335241E-02,-0.164399E-03,0.659450E-05,0.887577E-12,0.219780E-12,0.346049E-13,329.660,8.38928,8.46026,4.45000,1,0.816298E-01,2.07734,2.10495,2.05000,1,0.128528E-01,0.327082,0.331429,2.00000,1,286.102,277.085,96090.0,1.20432,1009.77,0.239742E-01,0.154181E-04,0.630572E-02,806.342,807.388,0.523590E-02,99.8705,1.04557,277.031,-0.835150,-0.287657E-01,0.550664E-01,0.837457,-0.420593E-15,0.269240E-14,0.837457,2.14681,5.79432,181.973,3.77016,-9999,0.113197,0.936033E-01,20.7167,0.970232E-01,-555.532,-0.430983E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.152220E-01,1.01377,-5.79077,1.02719,0.773379E-02,1.38089,0.172305E-03,1.38089,0.124791E-02,1.22209,0.260194E-03,1.20228,800009000,800019100,800009000,800009011,800009000,800019001,800119111,811119111,80111,80111,80,80,2,0,1,0,195,0,0,0.106494,0.648222E-01,0.158904E-01,0.141519,0.191558E-06,0.421181E-05,0.140922E-06,-0.476179E-02,0.416583E-05,0.301708E-04,0.629075E-05,21.9850,96.5112,0.505629,0.686310E+09
CH-CHA_201811261457.csv,2018-11-26,17:00,330.708,0,36000,36000,-0.912559E-02,0,0.199781E-02,-1.25035,0,1.53410,0.441326E-02,1,0.379565E-02,0.983148E-04,1,0.845562E-04,-0.110584E-02,0,0.102682E-02,0.247463E-03,0,0.626716E-04,-0.180835,-0.139676,-0.311158E-02,-0.242177E-04,-0.437948E-05,-0.976236E-12,-0.243566E-12,-0.383488E-13,327.160,8.32414,8.39401,4.45000,1,0.816248E-01,2.07683,2.10443,2.05000,1,0.128516E-01,0.326990,0.331336,2.00000,1,286.914,276.974,96108.0,1.20506,1009.73,0.239601E-01,0.637080E-05,0.626043E-02,800.231,801.105,0.519512E-02,99.8908,0.874807,276.923,-0.677617,0.194141,0.226633E-01,0.705244,-0.378756E-13,-0.298397E-14,0.705244,2.01316,26.1753,164.013,1.84154,-9999,0.870214E-01,0.109692,44.6661,0.450005E-01,-283.316,-0.118084E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.901278E-02,1.01252,-1.22510,1.02315,0.339948E-02,1.29822,0.757306E-04,1.29822,-0.945531E-03,1.16954,0.214531E-03,1.15351,800009100,800019100,800009000,800009011,800009000,800009000,811119111,811119111,80111,80111,80,81,2,9,0,4,444,0,0,0.105032,0.941919E-01,0.201589E-01,0.305886E-01,0.175257E-06,0.114722E-04,0.850609E-07,-0.100683E-02,0.182975E-05,-0.228453E-04,0.518335E-05,21.9811,96.5131,0.505978,0.682126E+09
CH-CHA_201811261457.csv,2018-11-26,17:30,330.729,0,36000,36000,-0.377590E-02,0,0.125433E-02,0.615600,1,0.733684,0.333734E-02,0,0.106930E-02,0.743491E-04,0,0.238218E-04,-0.384856E-02,1,0.386978E-02,0.579972E-04,0,0.340353E-04,0.635446E-01,0.451857E-01,0.100664E-02,0.892081E-03,0.800121E-05,0.477103E-12,0.119802E-12,0.187039E-13,328.066,8.34521,8.41544,4.45000,1,0.823784E-01,2.09551,2.12336,2.05000,1,0.128612E-01,0.327158,0.331506,2.00000,1,287.505,277.013,96133.0,1.20519,1009.75,0.239573E-01,0.481782E-05,0.627703E-02,802.465,803.308,0.520831E-02,99.8951,0.842670,276.962,-0.211903,0.118429,0.451833E-02,0.242794,-0.279066E-13,0.145429E-14,0.242794,1.07791,30.8358,150.800,1.06632,-9999,0.559733E-01,0.345401E-01,-24.1468,-0.832408E-01,184.458,0.903750E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.366097E-02,1.03139,0.598387,1.03182,0.304698E-02,1.09529,0.678805E-04,1.09529,-0.365428E-02,1.05316,0.553122E-04,1.04854,800009000,800019100,800009000,800009011,800019100,800119110,811119111,811119111,80000,80000,80,81,5,6,0,19,354,0,0,0.411522E-01,0.212801E-01,0.664786E-02,0.121191E-01,0.904349E-07,0.218363E-03,0.636482E-07,0.491714E-03,0.163992E-05,-0.882837E-04,0.133629E-05,22.0000,96.5063,0.506292,0.683343E+09
CH-CHA_201811261457.csv,2018-11-26,18:00,330.750,0,36000,36000,-0.190962E-02,0,0.699386E-03,-0.318872,2,3.09054,0.948075E-02,1,0.458446E-02,0.211224E-03,1,0.102139E-03,-0.182533E-02,2,0.377921E-02,0.213206E-03,0,0.671432E-04,0.102665,0.746143E-01,0.166235E-02,0.269242E-02,0.353019E-04,0.454154E-12,0.116620E-12,0.177703E-13,329.544,8.38000,8.45082,4.45000,1,0.846219E-01,2.15186,2.18046,2.05000,1,0.128945E-01,0.327897,0.332255,2.00000,1,287.354,277.076,96169.0,1.20536,1009.76,0.239538E-01,0.136873E-04,0.630413E-02,806.113,806.877,0.523010E-02,99.9053,0.764112,277.027,-0.133316,-0.293730,0.469694E-02,0.322603,0.308354E-13,0.137813E-14,0.322603,1.19147,304.317,245.588,0.834229,-9999,0.398030E-01,0.442967E-01,16.7674,0.119876,-33.6336,-0.658209E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.187588E-02,1.01799,-0.309726,1.03075,0.772337E-02,1.22754,0.172071E-03,1.22754,-0.156282E-02,1.16797,0.183710E-03,1.16056,800009000,800009100,800009000,800009011,800009000,800119000,811119111,811119111,80000,80000,80,81,7,5,5,15,2,0,0,0.246540E-01,0.587645E-01,0.517510E-02,0.451174,0.481775E-06,0.868935E-03,0.214595E-06,-0.254473E-03,0.415659E-05,-0.377519E-04,0.443774E-05,21.9961,96.5079,0.506487,0.693431E+09
CH-CHA_201811261457.csv,2018-11-26,18:30,330.771,0,36000,36000,-0.463183E-02,0,0.911868E-03,9.26862,1,7.15999,0.611792E-02,1,0.311838E-02,0.136308E-03,1,0.694777E-04,-0.817671E-03,2,0.244887E-02,0.188474E-03,0,0.496212E-04,0.586789E-01,0.414370E-01,0.923219E-03,-0.341930E-02,-0.490897E-04,0.110876E-11,0.274614E-12,0.431487E-13,330.437,8.39932,8.47047,4.45000,1,0.818411E-01,2.08031,2.10796,2.05000,1,0.128593E-01,0.326870,0.331215,2.00000,1,284.932,277.112,96203.0,1.20562,1009.78,0.239484E-01,0.883274E-05,0.632008E-02,808.257,808.922,0.524219E-02,99.9177,0.665743,277.065,0.296734,-0.613546,0.511611E-02,0.681554,0.383262E-13,0.335545E-14,0.681554,1.49910,251.471,295.810,0.430097,-9999,0.619829E-01,0.817318E-01,-2.17896,-0.922460,1515.00,0.122830,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.456041E-02,1.01566,9.09694,1.02164,0.519530E-02,1.17759,0.115751E-03,1.17759,-0.771447E-03,1.05992,0.180008E-03,1.04703,800009000,800009100,800009000,800009011,800009000,800009100,811119111,811119111,80100,80100,80,81,1,8,2,4,0,0,0,0.608954E-01,0.938056E-01,0.876272E-02,1.36250,0.243088E-06,0.122820E-03,0.102498E-06,0.747240E-02,0.279555E-05,-0.186315E-04,0.434743E-05,21.9350,96.5293,0.504933,0.696618E+09
CH-CHA_201811261457.csv,2018-11-26,19:00,330.792,0,36000,35993,-0.356680E-02,2,0.160523E-02,-5.53117,1,4.60994,-0.131788E-01,2,0.744961E-02,-0.293600E-03,2,0.165964E-03,-0.225478E-01,1,0.109753E-01,-0.251115E-06,2,0.140786E-04,-0.143535,-0.116399,-0.259315E-02,0.425447E-03,-0.502405E-05,0.200064E-11,0.500862E-12,0.783378E-13,328.457,8.34509,8.41532,4.45000,1,0.822296E-01,2.08920,2.11697,2.05000,1,0.128612E-01,0.326764,0.331108,2.00000,1,281.634,277.024,96239.0,1.20648,1009.75,0.239319E-01,-0.190253E-04,0.628362E-02,803.339,803.930,0.520824E-02,99.9265,0.590888,276.978,-0.359661,-0.694368,0.186842E-01,0.782210,0.632844E-13,0.609102E-14,0.782210,2.55364,306.375,242.617,1.36872,-9999,0.543726E-01,0.188390,2.46536,0.815296,419.702,-0.835035E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.343992E-02,1.03689,-5.15972,1.07495,-0.822824E-02,1.60166,-0.183310E-03,1.60166,-0.157951E-01,1.42752,-0.178619E-06,1.40587,800009000,800019100,800009000,800009011,800009000,800109010,811119111,811119111,80111,80111,80,81,3,0,0,7,192,0,0,0.319405,0.476863E-01,0.968943E-02,0.633146,0.834689E-06,0.313016E-02,0.162439E-06,-0.423541E-02,-0.442388E-05,-0.381188E-03,-0.431067E-08,21.9472,96.5258,0.505989,0.693857E+09
CH-CHA_201811261900.csv,2018-11-26,19:30,330.812,0,36000,36000,-0.895662E-02,0,0.151651E-02,-1.41164,1,0.621313,0.114366E-01,1,0.420666E-02,0.254715E-03,1,0.936901E-04,-0.229067E-02,2,0.137386E-02,0.350530E-04,2,0.504141E-04,-0.487079,-0.389151,-0.866712E-02,-0.235119E-02,0.114292E-05,0.818679E-12,0.204578E-12,0.327691E-13,321.704,8.16424,8.23144,4.45000,1,0.803899E-01,2.04014,2.06725,2.05000,1,0.128768E-01,0.326788,0.331131,2.00000,1,280.442,276.726,96340.0,1.20913,1009.64,0.238810E-01,0.165055E-04,0.616052E-02,786.754,787.225,0.509502E-02,99.9401,0.471548,276.682,-0.511850,-0.971903,0.247064E-01,1.09872,0.306694E-13,0.254482E-14,1.09872,2.24664,303.803,242.227,1.28849,-9999,0.860669E-01,0.844464E-01,38.3400,0.524257E-01,-123.431,-0.134353E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.885194E-02,1.01183,-1.38203,1.02371,0.854725E-02,1.33805,0.190363E-03,1.33805,-0.200256E-02,1.14387,0.313044E-04,1.11975,800009000,800019100,800009000,800009011,800009000,800019000,800119111,811119111,80111,80111,80,81,9,0,4,2,103,0,0,0.103386,0.528338E-01,0.126729E-01,0.121081E-01,0.371003E-06,0.500546E-04,0.270383E-06,-0.113208E-02,0.458351E-05,-0.482171E-04,0.753738E-06,21.9928,96.5084,0.505683,0.673365E+09
