file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,ch4_strg,n2o_strg,ch4_v-adv,n2o_v-adv,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,ch4_var,n2o_var,w/ts_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--
CH-CHA_201812071530.csv,2018-12-07,16:00,341.667,1,36000,36000,-0.528821E-01,1,0.913332E-02,-42.7383,1,7.22256,0.553863E-02,2,0.123078E-01,0.174313E-02,1,0.444807E-03,-9999,-9999,-9999,0.692275E-13,0.116802E-13,0.273552E-02,1.94091,1.94091,1.25000,1,0.461541E-03,0.327473,0.327473,1.45000,1,297.532,284.795,96617.0,1.17688,1011.47,0.245069E-01,-9999,0.824366E-02,1083.49,1365.92,0.700465E-02,79.3230,282.431,281.304,0.515285,-0.488552,0.557903E-02,0.710094,-0.370824E-13,0.253069E-13,0.710094,4.23223,216.112,316.525,0.450163,-9999,0.211976,0.724509,18.9706,0.105953,-9999,-0.169373,0,36.1242,-5.48199,12.4003,30.8784,47.0915,66.0465,98.9498,-0.521309E-01,1.01441,-41.5765,1.02794,0.449931E-02,1.23100,0.138621E-02,1.25748,800009900,800009900,800009900,800009900,800009900,801109910,811109911,811119911,80011,80011,80,81,15,17,5,3,0,0,1.10135,0.317528,0.301363E-01,0.679972,0.159598E-02,0.240045E-05,-0.349271E-01,0.111515E-03,0.343571E-04,22.0000,96.5188,0.518778
CH-CHA_201812071530.csv,2018-12-07,16:30,341.687,1,36000,36000,0.327867E-01,1,0.681085E-02,5.49205,2,3.81394,-0.155976,1,0.336387E-01,-0.182537E-02,2,0.912457E-03,-4.03702,0.110205E-02,0.243553E-03,-0.994290E-13,-0.168377E-13,0.277273E-02,1.96432,1.96432,1.25000,1,0.469545E-03,0.332646,0.332646,1.45000,1,295.662,282.283,96558.0,1.18634,1011.78,0.243056E-01,-9999,0.878446E-02,1144.38,1154.99,0.740465E-02,99.0821,10.6016,282.111,-0.215802E-01,0.419205,-0.486042E-02,0.419789,-0.255984E-13,-0.358596E-13,0.419789,1.48236,100.934,92.9469,-0.663400,-9999,0.166244,0.209055,-71.1836,-0.282369E-01,-9999,0.275228E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.321034E-01,1.02129,5.35732,1.02515,-0.148580,1.04978,-0.175204E-02,1.04185,800009900,800009900,800009900,800009911,800009900,800009901,811109911,811119911,80000,80000,80,81,0,2,7,10,0,0,0.292055,0.113854,0.122005E-01,0.269766,0.740056E-02,0.105228E-04,0.446324E-02,-0.365464E-02,-0.430951E-04,21.9489,96.5421,0.522948
CH-CHA_201812071530.csv,2018-12-07,17:00,341.708,0,36000,36000,-0.203102E-01,1,0.553244E-02,-27.3993,1,9.10779,0.538784E-01,2,0.659394E-01,0.629940E-02,1,0.203872E-02,-2.23878,0.783766E-02,0.169969E-03,-0.730168E-13,-0.115263E-13,0.300882E-02,2.13002,2.13002,1.25000,1,0.474965E-03,0.336239,0.336239,1.45000,1,294.804,280.896,96522.0,1.19221,1011.20,0.241952E-01,-9999,0.808847E-02,1048.54,1051.29,0.678446E-02,99.7384,2.75017,280.822,0.156077,0.388155,-0.158750E-03,0.418359,0.602960E-13,-0.242676E-13,0.418359,2.33604,117.336,68.0950,-0.217414E-01,-9999,0.130521,0.269496,6.90216,0.291213,-9999,-0.174128,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.198764E-01,1.02183,-26.2868,1.04232,0.425609E-01,1.26591,0.499762E-02,1.26048,800009900,800009900,800009900,800009900,800009900,800019911,811109911,811119911,80011,80011,80,81,0,1,2,7,0,0,0.272820,0.257438,0.873374E-02,0.644640,0.320535E-01,0.286882E-04,-0.218046E-01,0.104108E-02,0.122246E-03,22.0000,96.5274,0.527361
CH-CHA_201812071530.csv,2018-12-07,17:30,341.729,0,36000,36000,-0.212422,1,0.296865E-01,-44.7450,1,25.3599,-0.210992,2,0.163006,0.605442E-02,1,0.656254E-02,-1.61718,0.839765E-02,0.427685E-04,0.140880E-12,0.205878E-13,0.326451E-02,2.30702,2.30702,1.25000,1,0.477066E-03,0.337141,0.337141,1.45000,1,293.628,279.897,96471.0,1.19615,1010.79,0.241219E-01,-9999,0.758547E-02,979.834,981.774,0.634157E-02,99.8024,1.93998,279.833,0.820500E-01,0.139496,0.424589E-01,0.167315,-0.919441E-13,0.431551E-13,0.167315,4.05390,126.488,59.5365,14.7005,-9999,0.421412,0.768773,142.178,0.141372E-01,-9999,-0.878192E-01,0,47.7519,-7.24654,16.3917,40.8176,62.2494,87.3057,130.800,-0.207436,1.02404,-43.5830,1.02666,-0.181924,1.15978,0.531885E-02,1.13830,800009900,800009900,800009900,800009911,800109900,800109911,810109911,811109911,80011,80011,80,81,0,2,3,4,0,0,0.699627,0.779191,0.587282E-01,1.14417,0.331626E-01,0.605707E-04,-0.360469E-01,-0.443337E-02,0.129617E-03,21.9961,96.5316,0.530103
CH-CHA_201812071530.csv,2018-12-07,18:00,341.750,0,36000,36000,-0.703555E-01,1,0.104074E-01,-45.2710,0,14.1505,0.269081E-01,1,0.381519E-01,0.135453E-02,1,0.113535E-02,4.38233,-0.159952E-01,-0.383175E-03,-0.858924E-14,-0.143688E-14,0.278914E-02,1.96658,1.96658,1.25000,1,0.466590E-03,0.328985,0.328985,1.45000,1,296.242,282.630,96468.0,1.18402,1011.49,0.243582E-01,-9999,0.837121E-02,1091.89,1182.30,0.707014E-02,92.3531,90.4091,281.418,0.287985,-1.73301,0.117953E-01,1.75682,-0.807610E-13,-0.307953E-14,1.75682,5.90595,274.170,279.435,0.384687,-9999,0.243764,1.18363,27.2046,0.738845E-01,-9999,-0.155070,0,28.5554,-4.33339,9.80214,24.4087,37.2248,52.2083,78.2176,-0.694671E-01,1.01279,-44.0748,1.02714,0.198920E-01,1.35271,0.109305E-02,1.23922,800009900,800009900,800009900,800009900,800009900,800109910,800009911,800109911,80001,80001,80,81,9,12,13,2,0,0,1.63617,0.659227,0.718497E-01,2.00571,0.103390E-01,0.932160E-05,-0.368018E-01,0.490081E-03,0.269296E-04,22.0000,96.5311,0.531111
CH-CHA_201812071530.csv,2018-12-07,18:30,341.771,0,36000,36000,-0.117430,1,0.104823E-01,-50.5936,0,3.74239,0.422081E-02,0,0.418725E-02,-0.188154E-03,2,0.295919E-03,2.50344,-0.346730E-02,0.991392E-05,0.171744E-13,0.298766E-14,0.267888E-02,1.89237,1.89237,1.25000,1,0.466019E-03,0.329198,0.329198,1.45000,1,297.887,284.200,96463.0,1.17748,1011.44,0.244948E-01,-9999,0.822140E-02,1078.30,1313.11,0.698217E-02,82.1183,234.807,281.233,0.721956,-3.35832,0.420932E-01,3.43531,0.362933E-12,0.641102E-14,3.43531,9.59171,262.154,282.133,0.702069,-9999,0.315800,1.77611,52.9270,0.379769E-01,-9999,-0.134521,0,27.2756,-4.13918,9.36283,23.3148,35.5565,49.8685,74.7121,-0.115824,1.01386,-49.0754,1.03094,0.339175E-02,1.24443,-0.161084E-03,1.16805,800009900,800009900,800009900,800009900,800009900,800109901,800009911,800009911,80000,80000,80,81,12,13,12,0,0,0,1.50516,1.91197,0.135093,0.173904,0.878164E-04,0.125794E-05,-0.412069E-01,0.840193E-04,-0.399032E-05,22.0000,96.5324,0.532417
CH-CHA_201812071530.csv,2018-12-07,19:00,341.792,0,36000,35994,-0.803259E-01,0,0.815791E-02,-28.0710,0,2.82390,0.712881E-01,0,0.125202E-01,0.165960E-02,1,0.429660E-03,0.180178,0.160726E-02,-0.418336E-04,0.200029E-14,0.340830E-15,0.273024E-02,1.92677,1.92677,1.25000,1,0.465206E-03,0.328302,0.328302,1.45000,1,298.010,284.313,96500.0,1.17753,1011.36,0.244951E-01,-9999,0.811223E-02,1064.41,1323.00,0.688917E-02,80.4543,258.589,281.043,1.65114,-1.50843,0.298686E-01,2.23663,-0.907744E-14,0.732644E-15,2.23663,6.43187,228.907,317.586,0.765168,-9999,0.261181,0.842406,53.9775,0.372377E-01,-9999,-0.902480E-01,0,27.3796,-4.15497,9.39855,23.4037,35.6921,50.0587,74.9971,-0.793946E-01,1.01173,-27.3741,1.02546,0.522660E-01,1.36395,0.134430E-02,1.23454,800009900,800009900,800009900,800009900,800009900,800109911,800009911,800109911,80011,80011,80,80,14,12,6,3,0,0,0.657051,0.936039,0.917218E-01,0.926545E-01,0.958224E-03,0.119561E-05,-0.229859E-01,0.129454E-02,0.332959E-04,22.0000,96.5290,0.529005
CH-CHA_201812071900.csv,2018-12-07,19:30,341.812,0,36000,36000,-0.449046E-01,0,0.344580E-02,-28.8959,0,2.58552,0.188418E-01,1,0.108133E-01,0.428553E-03,2,0.264143E-03,-0.228187,0.886519E-03,-0.386169E-05,-0.222183E-13,-0.374794E-14,0.275975E-02,1.94573,1.94573,1.25000,1,0.465534E-03,0.328220,0.328220,1.45000,1,297.930,284.170,96525.0,1.17842,1011.37,0.244765E-01,-9999,0.813885E-02,1067.37,1310.50,0.690658E-02,81.4474,243.131,281.083,1.92283,-0.266169,0.384750E-01,1.94155,0.310417E-12,-0.805083E-14,1.94155,5.11526,193.382,352.119,1.13549,-9999,0.195207,0.578375,21.8969,0.917938E-01,-9999,-0.124202,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.442937E-01,1.01379,-28.0690,1.02946,0.139394E-01,1.35170,0.352143E-03,1.21699,800009900,800009900,800009900,800009900,800009900,800109910,800109911,800109911,80011,80011,80,81,16,40,12,0,0,0,0.425262,0.671238,0.602516E-01,0.862004E-01,0.938136E-03,0.975889E-06,-0.235514E-01,0.345003E-03,0.871560E-05,22.0000,96.5302,0.530194
CH-CHA_201812071900.csv,2018-12-07,20:00,341.833,0,36000,36000,-0.135840E-01,1,0.954483E-03,-23.1437,0,6.71919,0.541797E-02,2,0.631012E-02,0.976765E-03,0,0.202705E-03,-0.897198,0.165225E-02,-0.223503E-04,0.199773E-13,0.330512E-14,0.281314E-02,1.98099,1.98099,1.25000,1,0.465417E-03,0.327743,0.327743,1.45000,1,297.020,283.609,96545.0,1.18083,1011.57,0.244231E-01,-9999,0.842596E-02,1102.84,1262.45,0.713562E-02,87.3572,159.608,281.565,1.29591,0.448155,0.399163E-01,1.37180,0.309420E-13,0.710141E-14,1.37180,5.06835,167.156,19.0765,1.66741,-9999,0.107255,0.384784,4.53563,0.443157,-9999,-0.180647,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.132389E-01,1.02606,-21.9611,1.05385,0.372348E-02,1.45508,0.689274E-03,1.41709,800009900,800009900,800009900,800009900,800009900,801109910,800109911,800119911,80011,80011,80,81,4,1,5,0,0,0,0.312589,0.430759,0.262197E-01,0.886741,0.695620E-03,0.725728E-06,-0.183854E-01,0.919895E-04,0.170287E-04,22.0000,96.5306,0.530611
