file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,ch4_strg,n2o_strg,ch4_v-adv,n2o_v-adv,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,ch4_var,n2o_var,w/ts_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--
CH-CHA_201912311900.csv,2019-12-31,19:30,365.812,0,36000,36000,-0.623976E-02,0,0.137945E-02,9.22255,0,0.777438,0.638805E-02,2,0.447340E-02,0.371204E-03,1,0.635100E-04,-9999,-9999,-9999,-0.401376E-14,-0.568296E-15,0.340389E-02,2.30254,2.30254,1.55000,1,0.481946E-03,0.326009,0.326009,1.45000,1,286.686,273.297,98629.0,1.25430,1008.53,0.230378E-01,-9999,0.488093E-02,615.614,615.957,0.389135E-02,99.9444,0.342472,273.254,0.418633,-0.770706,0.157508E-01,0.877205,0.551995E-13,-0.117917E-14,0.877205,1.99462,248.109,298.510,1.02884,-9999,0.705316E-01,0.106148,-3.28312,-0.612223,-9999,0.103366,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.615567E-02,1.01366,9.03678,1.02056,0.600588E-02,1.06363,0.354514E-03,1.04708,800009900,800009900,800009900,800009900,800019910,800019910,810119911,811119911,80011,80011,80,81,0,4,2,58,0,0,0.895763E-01,0.110757,0.119635E-01,0.247326E-01,0.355421E-03,0.165765E-06,0.714367E-02,0.139231E-03,0.821852E-05,22.0000,96.5061,0.506056
CH-CHA_201912311900.csv,2019-12-31,20:00,365.833,0,36000,36000,-0.869907E-02,0,0.206421E-02,8.12473,0,0.850539,0.154787E-02,2,0.260698E-02,0.335823E-03,0,0.611308E-04,-0.199975,-0.432739E-03,0.894646E-05,-0.117556E-14,-0.167225E-15,0.338902E-02,2.29315,2.29315,1.55000,1,0.482092E-03,0.326203,0.326203,1.45000,1,286.390,273.179,98646.0,1.25508,1008.51,0.230238E-01,-9999,0.484178E-02,610.413,610.703,0.385774E-02,99.9526,0.289473,273.137,0.198642,-0.713600,0.185067E-01,0.740962,-0.966898E-13,-0.346874E-15,0.740962,1.82349,260.900,285.555,1.43120,-9999,0.832530E-01,0.113035,-6.12958,-0.327918,-9999,0.771005E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.857106E-02,1.01494,7.95586,1.02123,0.146844E-02,1.05409,0.322852E-03,1.04018,800009900,800009900,800009900,800009900,800019900,800119900,811119911,811119911,80011,80011,80,81,2,2,2,74,0,0,0.870362E-01,0.124942,0.140914E-01,0.214643E-01,0.660122E-04,0.145741E-06,0.628546E-02,0.340196E-04,0.747959E-05,22.0000,96.5056,0.505639
CH-CHA_201912311900.csv,2019-12-31,20:30,365.854,0,36000,36000,-0.687081E-02,2,0.291356E-02,3.94922,0,0.583127,-0.396295E-03,2,0.208866E-02,0.255139E-03,0,0.973955E-04,-0.135614,0.917959E-03,0.957550E-05,0.270643E-13,0.381922E-14,0.341829E-02,2.31306,2.31306,1.55000,1,0.482377E-03,0.326411,0.326411,1.45000,1,286.240,273.099,98645.0,1.25546,1008.48,0.230173E-01,-9999,0.481553E-02,606.926,607.163,0.383568E-02,99.9609,0.237401,273.058,-0.676051,-0.387324,0.293900E-01,0.779698,0.821615E-13,0.791751E-14,0.779698,2.81343,338.365,209.809,2.16022,-9999,0.739782E-01,0.239403,-8.84775,-0.227176,-9999,0.421635E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.677244E-02,1.01452,3.86799,1.02100,-0.368803E-03,1.07454,0.240780E-03,1.05964,800009900,800019900,800009900,800009900,800009910,800009910,811119911,811119911,80011,80011,80,81,0,4,0,17,0,0,0.368649,0.944038E-01,0.157525E-01,0.517230E-02,0.462994E-03,0.202777E-06,0.305503E-02,-0.854142E-05,0.557643E-05,22.0000,96.5039,0.503889
CH-CHA_201912311900.csv,2019-12-31,21:00,365.875,0,36000,36000,0.399279E-02,1,0.206281E-02,5.62365,0,0.883429,0.270123E-01,1,0.990999E-02,0.471088E-03,0,0.665604E-04,-0.203541,0.131040E-03,-0.136461E-05,0.173529E-13,0.244554E-14,0.342530E-02,2.31590,2.31590,1.55000,1,0.482728E-03,0.326381,0.326381,1.45000,1,285.851,272.979,98661.0,1.25624,1008.45,0.230035E-01,-9999,0.477626E-02,601.713,601.888,0.380204E-02,99.9708,0.175751,272.939,-0.524977,-0.859707,0.214056E-01,1.00755,0.250220E-12,0.506609E-14,1.00755,2.46221,304.887,238.590,1.21735,-9999,0.563771E-01,0.183320,-2.75021,-0.730854,-9999,0.787391E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.394236E-02,1.01279,5.51242,1.02018,0.251823E-01,1.07267,0.447136E-03,1.05357,800009900,800009900,800009900,800009900,800009910,800009910,811119911,811119911,80011,80011,80,81,14,15,5,13,0,0,0.190830,0.163396,0.124126E-01,0.218309E-01,0.198344E-02,0.178563E-06,0.435127E-02,0.582836E-03,0.103488E-04,22.0000,96.5030,0.503028
CH-CHA_201912311900.csv,2019-12-31,21:30,365.896,0,36000,36000,-0.420067E-02,1,0.106041E-02,4.07632,0,0.563388,0.863749E-02,0,0.687951E-02,0.274162E-03,0,0.467027E-04,-0.115358,-0.355045E-03,-0.463135E-05,-0.106079E-13,-0.149950E-14,0.341255E-02,2.30821,2.30821,1.55000,1,0.482387E-03,0.326281,0.326281,1.45000,1,285.592,272.911,98652.0,1.25645,1008.44,0.229999E-01,-9999,0.475393E-02,598.750,598.917,0.378362E-02,99.9720,0.167697,272.871,-0.883379,-0.660090,0.448874E-01,1.10367,0.135959E-12,-0.310850E-14,1.10367,2.27429,326.710,216.768,2.33092,-9999,0.578212E-01,0.164673,-4.09299,-0.491084,-9999,0.556400E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.414961E-02,1.01230,3.99634,1.02001,0.798039E-02,1.08234,0.258330E-03,1.06129,800009900,800009900,800009900,800009900,800009910,800109910,810119911,811119911,80011,80011,80,81,0,2,5,23,0,0,0.111200,0.206285,0.118627E-01,0.126896E-01,0.933449E-03,0.135796E-06,0.315406E-02,0.184669E-03,0.597783E-05,22.0000,96.5018,0.501750
CH-CHA_201912311900.csv,2019-12-31,22:00,365.917,0,36000,36000,-0.723256E-02,1,0.168065E-02,4.35919,0,0.350805,0.587549E-02,1,0.595765E-02,0.271966E-03,0,0.370039E-04,-0.234221,0.136571E-02,-0.337481E-05,0.119630E-13,0.166928E-14,0.345731E-02,2.33779,2.33779,1.55000,1,0.482421E-03,0.326208,0.326208,1.45000,1,285.345,272.773,98651.0,1.25710,1008.40,0.229885E-01,-9999,0.470938E-02,592.839,592.928,0.374623E-02,99.9851,0.883462E-01,272.735,-1.01164,-0.649163,0.601358E-01,1.20351,0.523577E-13,0.346021E-14,1.20351,2.47421,331.819,212.688,2.86409,-9999,0.758510E-01,0.152754,-8.64005,-0.232637,-9999,0.453359E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.714751E-02,1.01190,4.27405,1.01992,0.540708E-02,1.08663,0.255692E-03,1.06365,800009900,800009900,800009900,800009900,800009910,800009910,800119911,811119911,80011,80011,80,81,0,1,1,9,0,0,0.149956,0.143061,0.124905E-01,0.711674E-02,0.172999E-02,0.127519E-06,0.337161E-02,0.125052E-03,0.591350E-05,22.0000,96.5021,0.502111
CH-CHA_201912311900.csv,2019-12-31,22:30,365.937,0,36000,36000,-0.163252E-01,1,0.403513E-02,6.00455,1,0.729996,0.155546E-01,1,0.910218E-02,0.277956E-03,1,0.343899E-04,-0.239449,-0.838916E-03,-0.197636E-05,0.854823E-14,0.120197E-14,0.342925E-02,2.31963,2.31963,1.55000,1,0.482189E-03,0.326165,0.326165,1.45000,1,285.096,272.632,98657.0,1.25786,1008.36,0.229752E-01,-9999,0.466408E-02,586.833,586.863,0.370796E-02,99.9949,0.299300E-01,272.596,-0.983162,-0.870433,0.689331E-01,1.31492,-0.469899E-13,0.249274E-14,1.31492,2.73359,323.547,221.520,3.00504,-9999,0.113924,0.293869,-21.2529,-0.945753E-01,-9999,0.415543E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.161389E-01,1.01155,5.88741,1.01990,0.142945E-01,1.08816,0.261460E-03,1.06309,800009900,800009900,800009900,800009900,800009910,800119910,800119911,811119911,80011,80011,80,81,6,7,14,18,0,0,0.299637,0.272311,0.157912E-01,0.121948E-01,0.121279E-02,0.111254E-06,0.464169E-02,0.330383E-03,0.604303E-05,22.0000,96.5007,0.500750
CH-CHA_201912311900.csv,2019-12-31,23:00,365.958,0,36000,36000,-0.321407E-01,1,0.542131E-02,6.80942,1,0.767571,0.208116E-01,1,0.173921E-01,0.346105E-03,1,0.620105E-04,0.611409E-01,0.661635E-03,0.485868E-05,0.622296E-13,0.869926E-14,0.345164E-02,2.33395,2.33395,1.55000,1,0.482515E-03,0.326270,0.326270,1.45000,1,284.921,272.668,98678.0,1.25795,1008.37,0.229733E-01,-9999,0.467596E-02,588.406,588.406,0.371713E-02,100.000,0.00000,272.632,-0.609254,-0.884492,0.686044E-01,1.07621,-0.839563E-13,0.180290E-13,1.07621,2.80045,315.435,235.440,3.65488,-9999,0.159843,0.208345,-51.7717,-0.388243E-01,-9999,0.335839E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.317460E-01,1.01243,6.67557,1.02005,0.192435E-01,1.08149,0.326219E-03,1.06096,800009900,800009900,800009900,800009900,800009910,800009910,801119911,811119911,80011,80011,80,81,0,1,1,0,0,0,0.272122,0.127433,0.171359E-01,0.808748E-02,0.238429E-02,0.123373E-06,0.526264E-02,0.444739E-03,0.753930E-05,22.0000,96.5016,0.501556
CH-CHA_201912311900.csv,2019-12-31,23:30,365.979,0,36000,36000,-0.148356E-01,1,0.444996E-02,4.30277,1,0.530323,-0.318297E-02,2,0.875754E-02,0.235965E-03,1,0.341409E-04,0.412355,-0.255421E-02,-0.436370E-05,0.115336E-13,0.165099E-14,0.336815E-02,2.27861,2.27861,1.55000,1,0.482140E-03,0.326175,0.326175,1.45000,1,285.073,272.911,98681.0,1.25682,1008.43,0.229931E-01,-9999,0.475519E-02,598.908,598.917,0.378351E-02,99.9985,0.898376E-02,272.875,-0.992337E-02,-0.673106,0.202188E-01,0.673482,0.182074E-12,0.342430E-14,0.673482,2.32295,283.960,269.155,1.72035,-9999,0.108647,0.335847,-25.7299,-0.781191E-01,-9999,0.312472E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.146053E-01,1.01577,4.21138,1.02170,-0.301973E-02,1.05406,0.226587E-03,1.04139,800009900,800009900,800009900,800009900,800019900,800019910,810119911,810119911,80001,80001,80,81,15,4,3,76,0,0,0.412534,0.246313,0.128475E-01,0.129714E-01,0.111130E-02,0.102150E-06,0.332280E-02,-0.698570E-04,0.524175E-05,22.0000,96.5006,0.500583
