file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,ch4_strg,n2o_strg,ch4_v-adv,n2o_v-adv,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,ch4_var,n2o_var,w/ts_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--
CH-CHA_202002281300.csv,2020-02-28,13:30,59.562,1,36000,36000,-0.376175E-01,1,0.126262E-01,89.6192,0,5.85383,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,290.630,281.438,96559.5,1.19300,1008.01,0.242325E-01,-9999,0.375306E-02,487.461,1090.79,0.314590E-02,44.6889,603.327,270.080,0.928471,0.622085,0.252044E-01,1.11789,-0.203847E-12,-0.337252E-14,1.11789,4.79609,156.270,33.8225,1.29192,-9999,0.177572,1.59402,-5.31011,-0.378523,-9999,0.419685,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.371626E-01,1.01224,87.8624,1.01999,-9999,-9999,-9999,-9999,800009900,800009911,800009900,800009911,800009911,800009911,800009900,800009900,80000,80000,80,81,3,0,3,19,0,0,1.34015,1.76207,0.857980E-01,0.307322,-9999,-9999,0.730631E-01,-9999,-9999,2.00000,104.000,-9999
CH-CHA_202002281300.csv,2020-02-28,14:00,59.583,1,36000,36000,-0.257988E-01,1,0.120855E-01,107.288,0,7.81499,-9999,-9999,-9999,-9999,-9999,-9999,1.47803,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,290.762,282.359,96559.5,1.18920,1007.92,0.243118E-01,-9999,0.359487E-02,468.443,1160.92,0.302294E-02,40.3510,692.477,269.547,0.542258,0.358775,0.348847E-01,0.651138,-0.398700E-13,0.120105E-13,0.651138,3.33494,147.952,33.4899,3.07109,-9999,0.147289,0.689972,-2.53130,-0.794059,-9999,0.607712,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.253904E-01,1.01609,104.990,1.02189,-9999,-9999,-9999,-9999,800009900,800009911,800009900,800009911,800009911,800019911,800009900,800009900,80000,80000,80,81,0,0,0,11,0,0,0.652909,0.666315,0.607184E-01,0.389593,-9999,-9999,0.875929E-01,-9999,-9999,2.00000,104.000,-9999
CH-CHA_202002281300.csv,2020-02-28,14:30,59.604,1,36000,36000,-0.399695E-01,0,0.948119E-02,97.3342,0,6.28306,-9999,-9999,-9999,-9999,-9999,-9999,0.152402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,291.489,282.454,96559.5,1.18887,1007.83,0.243199E-01,-9999,0.348062E-02,453.708,1168.37,0.292768E-02,38.8324,714.667,269.121,1.37727,-0.445201,0.102819E-01,1.44748,0.121645E-12,0.345200E-15,1.44748,4.57973,206.713,342.087,0.406996,-9999,0.183357,0.789942,-5.38259,-0.373426,-9999,0.443043,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.395257E-01,1.01123,95.4301,1.01995,-9999,-9999,-9999,-9999,800009900,800009911,800009900,800009911,800009911,800009911,800009900,800009900,80000,80000,80,81,2,8,9,15,0,0,0.661852,0.855984,0.620483E-01,0.409541,-9999,-9999,0.796456E-01,-9999,-9999,2.00000,104.000,-9999
CH-CHA_202002281300.csv,2020-02-28,15:00,59.624,1,36000,36000,-0.589779E-01,1,0.145253E-01,82.9980,0,6.44978,-9999,-9999,-9999,-9999,-9999,-9999,0.642384,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,291.696,282.855,96559.5,1.18721,1007.81,0.243545E-01,-9999,0.342066E-02,446.525,1200.31,0.288125E-02,37.2008,753.785,268.908,0.765791,0.483687,0.582289E-01,0.907623,0.273251E-13,-0.636941E-14,0.907623,4.13338,142.772,32.2772,3.67836,-9999,0.222885,0.770220,-11.3381,-0.177278,-9999,0.311230,0,27.2000,-4.12771,9.33689,23.2502,35.4580,49.7303,74.5051,-0.581962E-01,1.01343,81.3347,1.02045,-9999,-9999,-9999,-9999,800009900,800009911,800009900,800009911,800009911,800009911,800009900,801109900,80000,80000,80,80,0,13,0,10,0,0,0.851667,0.620982,0.677905E-01,0.308762,-9999,-9999,0.679783E-01,-9999,-9999,2.00000,104.000,-9999
CH-CHA_202002281300.csv,2020-02-28,15:30,59.645,1,36000,36000,-0.670723E-01,1,0.110287E-01,55.9796,1,4.60641,-9999,-9999,-9999,-9999,-9999,-9999,0.118511,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,291.875,282.929,96559.5,1.18698,1007.72,0.243608E-01,-9999,0.329071E-02,429.674,1206.29,0.277234E-02,35.6196,776.612,268.398,0.516243,-0.223615,0.366744E-01,0.563786,-0.429609E-12,-0.188050E-13,0.563786,3.65372,235.399,336.580,3.72974,-9999,0.237711,0.802948,-20.3926,-0.985653E-01,-9999,0.196879,0,34.6384,-5.25652,11.8903,29.6084,45.1547,63.3301,94.8801,-0.659150E-01,1.01756,54.7328,1.02278,-9999,-9999,-9999,-9999,800009900,800009911,800009900,800009911,800009911,800019911,801009911,811109911,80011,80011,80,81,0,4,3,33,0,0,0.547924,1.01600,0.419631E-01,0.248206,-9999,-9999,0.457580E-01,-9999,-9999,8.79167,101.454,0.502740
CH-CHA_202002281300.csv,2020-02-28,16:00,59.666,1,36000,36000,-0.381924E-01,1,0.622312E-02,8.92992,2,1.89530,-0.479261E-02,1,0.406875E-02,-0.481768E-03,2,0.441119E-03,0.917412,-9999,-9999,0.107359E-13,0.177905E-14,0.412327E-02,1.92706,1.92706,0.650000,1,0.683269E-03,0.319333,0.319333,0.700000,1,292.452,283.503,96559.5,1.18456,1007.74,0.244103E-01,-9999,0.331055E-02,433.142,1253.54,0.279475E-02,34.5534,820.401,268.505,0.251590,-0.211479,0.373379E-01,0.330779,-0.993345E-13,0.260374E-14,0.330779,2.12584,223.028,319.951,6.48128,-9999,0.179560,0.257522,-55.0986,-0.364801E-01,-9999,0.416612E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.372568E-01,1.02511,8.68965,1.02765,-0.465914E-02,1.02865,-0.471161E-03,1.02251,800009900,800009900,800009900,800009911,800009910,800109910,811119911,811119911,80000,80000,80,81,3,2,2,12,0,0,0.226186,0.262513,0.263452E-01,0.207854,0.107709E-03,0.105709E-05,0.727938E-02,-0.114243E-03,-0.115530E-04,21.9906,96.5071,0.503571
CH-CHA_202002281300.csv,2020-02-28,16:30,59.687,1,36000,36000,-0.309563E-01,1,0.555319E-02,12.3915,1,1.52242,0.142661E-01,2,0.106674E-01,0.214027E-03,1,0.701539E-04,-1.81005,0.107923E-02,0.972622E-04,0.364823E-13,0.601552E-14,0.416304E-02,1.94824,1.94824,0.650000,1,0.686438E-03,0.321242,0.321242,0.700000,1,293.139,282.375,96559.5,1.18925,1007.78,0.243131E-01,-9999,0.339213E-02,442.050,1162.17,0.285232E-02,38.0365,720.122,268.775,0.737036,-0.623947E-01,0.368071E-01,0.740587,-0.717834E-13,0.876338E-14,0.740587,2.15792,194.934,355.161,2.84877,-9999,0.161338,0.203418,-28.8035,-0.697831E-01,-9999,0.640839E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.305006E-01,1.01494,12.1339,1.02123,0.137951E-01,1.03414,0.209728E-03,1.02050,800009900,800009900,800009900,800009900,800009910,800019910,800019911,811119911,80011,80011,80,81,0,0,1,20,0,0,0.217099,0.169385,0.203522E-01,0.408998E-01,0.799657E-03,0.123943E-06,0.101243E-01,0.336945E-03,0.512259E-05,22.0000,96.5038,0.503833
CH-CHA_202002281300.csv,2020-02-28,17:00,59.708,1,36000,36000,-0.543747E-02,0,0.111588E-02,1.09418,1,0.449390,-0.224374E-03,2,0.139877E-02,0.181174E-03,0,0.604026E-04,-0.729710,-0.377300E-03,0.344627E-04,-0.221713E-14,-0.367744E-15,0.414485E-02,1.94084,1.94084,0.650000,1,0.687483E-03,0.321917,0.321917,0.700000,1,293.459,281.921,96559.5,1.19105,1007.91,0.242741E-01,-9999,0.359688E-02,467.978,1127.09,0.301993E-02,41.5210,659.109,269.533,0.482103,0.346364,0.447975E-01,0.595313,-0.520522E-14,-0.534913E-15,0.595313,1.56413,153.643,35.6952,4.31560,-9999,0.675669E-01,0.596615E-01,-23.9602,-0.838892E-01,-9999,0.134897E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.534670E-02,1.01698,1.07018,1.02242,-0.217323E-03,1.03245,0.177369E-03,1.02145,800009900,800009900,800009900,800009900,800009910,800009910,811119911,811119911,80011,80011,80,81,7,0,0,34,0,0,0.424455E-01,0.682119E-01,0.866605E-02,0.236726E-01,0.166862E-03,0.170451E-06,0.891468E-03,-0.530101E-05,0.432644E-05,22.0000,96.5039,0.503889
CH-CHA_202002281300.csv,2020-02-28,17:30,59.729,1,36000,36000,-0.544947E-02,0,0.803425E-03,-5.22949,1,1.08093,0.179558E-02,0,0.127209E-02,0.590538E-04,2,0.185683E-04,-0.490755,0.465882E-03,0.244213E-04,0.256674E-13,0.424369E-14,0.416516E-02,1.94996,1.94996,0.650000,1,0.688642E-03,0.322395,0.322395,0.700000,1,293.795,281.616,96559.5,1.19232,1007.93,0.242478E-01,-9999,0.362723E-02,471.416,1104.04,0.304216E-02,42.6990,632.628,269.631,0.728331,0.557496,0.214458E-01,0.917457,0.442152E-13,0.616240E-14,0.917457,1.72238,148.380,37.4320,1.33943,-9999,0.676053E-01,0.500677E-01,5.02178,0.400257,-9999,-0.643661E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.532174E-02,1.02400,-4.98431,1.04919,0.150578E-02,1.19246,0.504159E-04,1.17133,800009900,800009900,800009900,800009900,800009910,800009910,811119911,811119911,80011,80011,80,80,2,10,2,5,0,0,0.497165E-01,0.424879E-01,0.793120E-02,0.567135E-01,0.741066E-04,0.131715E-06,-0.414749E-02,0.366911E-04,0.122847E-05,22.0000,96.5035,0.503528
