file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,h2o_strg,ch4_strg,n2o_strg,h2o_v-adv,ch4_v-adv,n2o_v-adv,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_lgr_mean,status_code_lgr_mean,ch4_mean,n2o_mean,t_unknown_mean,mirror_ringdowntime_lgr_mean,fit_flag_lgr_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--
CH-CHA_202107221010.csv,2021-07-22,11:00,203.458,1,36000,36000,-0.473223E-01,1,0.572339E-02,195.856,0,14.2782,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,308.658,297.721,97320.8,1.13015,1016.75,0.254340E-01,-9999,0.142556E-01,1958.70,3078.69,0.126139E-01,63.6213,1119.99,290.333,-1.04309,0.702139,0.672464E-01,1.25919,-0.116312E-13,-0.253989E-13,1.25919,4.98939,45.5701,146.054,3.06130,-9999,0.204628,0.870848,-3.75005,-0.535993,-9999,0.832957,0,21.4400,-3.25360,7.35964,18.3266,27.9491,39.1991,58.7274,-0.467745E-01,1.01171,192.035,1.01990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800009000,800009000,800009000,800009000,800009000,800019100,800009111,800009111,80111,80111,80,80,0,2,0,52,31,0,0,0.796164,0.841771,0.103762,0.807252,-9999,-9999,-9999,0.167121,-9999,-9999,-9999,21.0650,3.39158,2.03920,0.320994,47.3607,0.950000,3.00000
CH-CHA_202107221010.csv,2021-07-22,11:30,203.479,1,36000,36000,-0.364446E-01,0,0.114850E-01,162.271,0,11.4728,249.056,0,16.0316,5.66363,0,0.364567,0.191194E-02,2,0.246670E-02,0.101641E-03,1,0.167799E-03,1.02562,-0.219309E-01,-0.498719E-03,-9999,-9999,-0.243805E-12,-0.244562E-13,-0.387984E-14,45.8531,20.1106,20.5233,1.80000,1,0.459954E-02,2.01730,2.05428,1.75000,1,0.729693E-03,0.320034,0.325901,1.75000,1,309.234,298.389,97303.8,1.12743,1016.75,0.254955E-01,0.367003,0.142140E-01,1957.36,3203.84,0.126074E-01,61.0941,1246.48,290.322,-1.02783,0.697091,0.963003E-01,1.24565,-0.169196E-12,-0.531709E-14,1.24565,4.97034,48.3936,145.854,4.43393,-9999,0.179793,1.02528,-3.06978,-0.654771,0.651543,0.787340,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.360212E-01,1.01176,173.394,1.01990,200.508,1.24212,4.55963,1.24212,0.163314E-02,1.17071,0.958818E-04,1.06006,800009000,800009000,800009000,800009000,800009000,800019000,800009011,800009011,80111,80111,80,81,1,4,2,42,20,0,0,0.759894,1.20244,0.882078E-01,0.835235,0.646032,0.146236E-03,0.379642E-05,0.151261,0.116250,0.424926E-04,0.249474E-05,30.1583,1.19242,2.01730,0.320033,47.3765,0.950000,3.00000
CH-CHA_202107221010.csv,2021-07-22,12:00,203.500,1,36000,36000,0.196230E-01,0,0.815499E-02,163.174,0,11.6491,256.736,0,15.1724,5.84255,0,0.345279,-0.176673E-01,1,0.380154E-02,-0.412273E-03,1,0.139933E-03,1.14856,-1.60498,-0.365247E-01,-0.951026E-03,0.237130E-04,-0.989588E-12,-0.102128E-12,-0.163862E-13,43.9048,19.3569,19.7389,1.80000,1,0.453108E-02,1.99767,2.03343,1.75000,1,0.727003E-03,0.320523,0.326260,1.75000,1,309.763,299.140,97281.9,1.12467,1016.35,0.255654E-01,0.378597,0.136439E-01,1883.58,3349.67,0.121314E-01,56.2317,1466.09,289.716,-1.22157,0.225672,0.765125E-01,1.24459,0.399032E-12,-0.225394E-13,1.24459,4.21034,11.3153,169.533,3.52453,-9999,0.132090,0.665299,-1.21024,-1.66083,0.635571,1.08072,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.193949E-01,1.01176,174.653,1.01990,206.286,1.24456,4.69445,1.24456,-0.125796E-01,1.40444,-0.386049E-03,1.06793,800009000,800009000,800009000,800009000,800009000,800019100,800009011,800009011,80100,80100,80,81,0,10,1,51,28,0,0,0.586672,0.663101,0.808248E-01,0.811136,0.571680,0.987791E-04,0.415389E-05,0.152795,0.120016,-0.327951E-03,-0.100644E-04,33.0000,0.505139,1.99766,0.320522,47.5417,0.950000,3.00000
CH-CHA_202107221010.csv,2021-07-22,12:30,203.521,1,36000,36000,-0.567570E-01,0,0.199678E-01,172.388,0,13.7406,302.889,0,22.4730,6.89784,0,0.511789,0.739042E-02,0,0.405803E-02,0.404233E-04,1,0.169002E-03,1.13453,0.202347,0.460814E-02,-0.432094E-03,-0.880431E-05,0.983123E-12,0.100511E-12,0.161902E-13,44.1270,19.4522,19.8381,1.80000,1,0.451140E-02,1.98873,2.02446,1.75000,1,0.726687E-03,0.320341,0.326095,1.75000,1,310.249,299.883,97252.2,1.12150,1016.42,0.256367E-01,0.446980,0.136729E-01,1892.28,3499.78,0.121916E-01,54.0685,1607.50,289.789,-0.731201,0.169023,0.746872E-01,0.754190,-0.106623E-12,0.222794E-13,0.754190,5.02822,27.7605,166.984,5.68330,-9999,0.224962,1.00980,-5.65788,-0.355257,0.569145,0.672243,0,23.1554,-3.51392,7.94850,19.7929,30.1854,42.3355,63.4263,-0.559298E-01,1.01479,186.628,1.02114,252.266,1.20067,5.74499,1.20067,0.660709E-02,1.11856,0.384537E-04,1.05122,800009000,800009000,800009000,800009000,800009000,800019110,800009011,800009011,80100,80100,81,80,3,1,0,26,8,0,0,1.03122,0.885223,0.103142,0.816307,0.759091,0.124532E-03,0.565978E-05,0.163721,0.147283,0.172745E-03,0.100539E-05,33.0000,0.505056,1.98872,0.320341,47.5807,0.950000,3.00000
CH-CHA_202107221010.csv,2021-07-22,13:00,203.542,1,36000,35994,-0.382022E-01,0,0.887282E-02,164.764,0,10.8712,266.418,0,14.1919,6.07088,0,0.323390,0.563155E-02,0,0.268020E-02,-0.187031E-04,2,0.185012E-03,0.927377,-0.952137,-0.216963E-01,-0.705628E-03,-0.124360E-04,0.410235E-13,0.426183E-14,0.691020E-15,43.1180,19.0022,19.3703,1.80000,1,0.447943E-02,1.97410,2.00874,1.75000,1,0.726302E-03,0.320083,0.325701,1.75000,1,310.558,300.492,97224.6,1.11910,1016.18,0.256961E-01,0.393393,0.133257E-01,1847.98,3627.11,0.119076E-01,50.9490,1779.13,289.416,-0.689685,-0.101851,0.328344E-01,0.697937,0.309399E-12,0.951423E-15,0.697937,4.12681,357.243,188.401,2.69647,-9999,0.184761,1.39919,-3.27858,-0.613071,0.618439,0.784171,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.376210E-01,1.01545,175.731,1.02152,202.312,1.31687,4.61007,1.31687,0.505131E-02,1.11487,-0.177721E-04,1.05238,800009000,800009000,800009000,800009000,800009000,800019110,800009011,800009011,80111,80111,80,81,1,0,0,26,21,0,0,0.678072,2.03507,0.852307E-01,0.869638,0.542865,0.929506E-04,0.557810E-05,0.154528,0.118461,0.132314E-03,-0.465521E-06,33.0000,0.504695,1.97407,0.320082,47.5743,0.950000,3.00000
CH-CHA_202107221300.csv,2021-07-22,13:30,203.562,1,36000,36000,-0.490330E-01,1,0.132115E-01,177.903,0,13.5879,324.740,0,21.2543,7.40249,0,0.484495,0.229442E-01,0,0.561647E-02,-0.185872E-03,1,0.121387E-03,0.557604,-1.72307,-0.392777E-01,-0.709767E-03,-0.127285E-04,-0.229749E-12,-0.247527E-13,-0.404029E-14,41.2814,18.1863,18.5231,1.80000,1,0.444757E-02,1.95935,1.99267,1.75000,1,0.725961E-03,0.319818,0.325257,1.75000,1,311.038,300.859,97193.6,1.11773,1015.73,0.257357E-01,0.479681,0.127339E-01,1768.06,3705.73,0.113927E-01,47.7117,1937.66,288.725,-1.62876,-0.286354,0.886789E-01,1.65612,0.214406E-15,-0.556544E-14,1.65612,4.61004,358.297,189.971,3.06944,-9999,0.209448,0.980902,-4.42190,-0.454555,0.547832,0.748154,0,21.4081,-3.24875,7.34869,18.2993,27.9076,39.1408,58.6400,-0.485042E-01,1.01090,192.862,1.02019,262.281,1.23814,5.97873,1.23814,0.162937E-01,1.40816,-0.172031E-03,1.08045,800009000,800009000,800009000,800009000,800009000,800009100,800009011,800009011,80110,80110,80,81,0,2,3,14,13,0,0,1.22571,0.626892,0.109201,0.906146,0.767308,0.140280E-03,0.490738E-05,0.169876,0.153867,0.427098E-03,-0.450937E-05,33.0000,0.505278,1.95933,0.319818,47.6401,0.950000,3.00000
CH-CHA_202107221300.csv,2021-07-22,14:00,203.583,1,36000,36000,-0.340825E-01,0,0.613302E-02,166.578,0,10.2906,277.508,0,14.6656,6.32957,0,0.334502,0.825938E-02,0,0.527523E-02,-0.765015E-04,0,0.107659E-03,0.925562,-1.50840,-0.344046E-01,-0.636867E-03,-0.101273E-04,0.692124E-12,0.771004E-13,0.126623E-13,39.6535,17.4699,17.7805,1.80000,1,0.441727E-02,1.94609,1.97781,1.75000,1,0.725452E-03,0.319608,0.324817,1.75000,1,311.525,301.470,97161.9,1.11540,1015.35,0.257963E-01,0.410156,0.122036E-01,1697.86,3839.84,0.109410E-01,44.2171,2141.97,288.094,-1.63099,-0.362016E-01,0.871464E-01,1.63371,-0.202533E-12,0.174543E-13,1.63371,5.39641,7.57854,181.272,3.05775,-9999,0.174803,1.69061,-2.74438,-0.732406,0.600266,0.841439,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.337141E-01,1.01093,178.400,1.02016,212.922,1.30333,4.85647,1.30333,0.673783E-02,1.22582,-0.708618E-04,1.07959,800009000,800009000,800009000,800009000,800009000,800019011,800009011,801009011,80111,80111,80,81,5,0,1,40,16,0,0,0.749682,2.52572,0.105845,0.905916,0.677479,0.158949E-03,0.483252E-05,0.157524,0.125279,0.176902E-03,-0.186048E-05,33.0000,0.505278,1.94608,0.319607,47.6777,0.950000,3.00000
CH-CHA_202107221300.csv,2021-07-22,14:30,203.604,1,36000,36000,-0.693249E-01,0,0.137901E-01,159.699,0,11.5562,290.997,0,19.0151,6.63919,0,0.433835,-0.144042E-02,2,0.414479E-02,0.225443E-03,0,0.177702E-03,0.453980,-0.318517,-0.726708E-02,-0.189977E-03,-0.313129E-05,-0.510902E-12,-0.572938E-13,-0.942665E-14,39.3204,17.3184,17.6236,1.80000,1,0.440949E-02,1.94213,1.97375,1.75000,1,0.725501E-03,0.319542,0.324744,1.75000,1,311.705,301.769,97136.0,1.11406,1015.28,0.258288E-01,0.430220,0.120825E-01,1682.69,3907.23,0.108455E-01,43.0661,2224.54,287.955,-1.56503,-0.383778,0.100434,1.61452,0.120923E-12,-0.129933E-13,1.61452,5.45775,350.393,193.778,3.56648,-9999,0.249454,1.41377,-8.31753,-0.241658,0.548799,0.566002,0,25.1087,-3.81033,8.61899,21.4625,32.7317,45.9066,68.7765,-0.685738E-01,1.01095,172.746,1.02013,229.710,1.26680,5.24092,1.26680,-0.117740E-02,1.22339,0.208958E-03,1.07889,800009000,800009000,800009000,800009000,800009010,800019011,800009011,800009011,80100,80100,80,81,0,5,3,42,16,0,0,1.23795,1.48560,0.103972,0.837723,0.771383,0.182210E-03,0.488848E-05,0.152727,0.135367,-0.309470E-04,0.549229E-05,33.0000,0.505611,1.94212,0.319542,47.6851,0.950000,3.00000
CH-CHA_202107221300.csv,2021-07-22,15:00,203.625,1,36000,36000,-0.125286,1,0.245035E-01,118.692,1,9.27263,244.661,1,15.5975,5.58247,1,0.355891,-0.179514E-02,2,0.529237E-02,0.106055E-03,1,0.166858E-03,0.123207,0.972195,0.221827E-01,0.253905E-03,-0.718058E-05,0.124670E-12,0.136541E-13,0.223937E-14,40.3703,17.7811,18.1030,1.80000,1,0.442144E-02,1.94743,1.97994,1.75000,1,0.725150E-03,0.319392,0.324725,1.75000,1,311.906,301.851,97109.2,1.11326,1015.53,0.258429E-01,0.361744,0.123986E-01,1727.17,3925.71,0.111372E-01,43.9965,2198.53,288.360,-1.56296,-0.299311,0.131417,1.59678,-0.100419E-12,0.308815E-14,1.59678,6.01655,4.42862,190.841,4.72084,-9999,0.335470,1.39730,-27.2153,-0.738555E-01,0.485129,0.312952,0,33.3014,-5.05361,11.4313,28.4655,43.4117,60.8855,91.2176,-0.123926,1.01098,129.749,1.02011,190.595,1.28367,4.34883,1.28367,-0.146950E-02,1.22160,0.983221E-04,1.07865,800009000,800009000,800009000,800009000,800009000,800009011,800009011,810009011,80111,80111,80,81,1,0,3,16,4,0,0,1.79000,0.911767,0.928189E-01,0.717311,0.687248,0.287235E-03,0.479128E-05,0.114766,0.112387,-0.386638E-04,0.258694E-05,33.0000,0.505389,1.94738,0.319392,47.6917,0.950000,3.00000
